date and time,value
[2020-04-10 15:02:45.007] ,708
[2020-04-10 15:02:45.096] ,676
[2020-04-10 15:02:45.196] ,727
[2020-04-10 15:02:45.296] ,756
[2020-04-10 15:02:45.396] ,734
[2020-04-10 15:02:45.496] ,722
[2020-04-10 15:02:45.596] ,709
[2020-04-10 15:02:45.696] ,717
[2020-04-10 15:02:45.796] ,746
[2020-04-10 15:02:45.905] ,725
[2020-04-10 15:02:46.005] ,706
[2020-04-10 15:02:46.106] ,704
[2020-04-10 15:02:46.206] ,706
[2020-04-10 15:02:46.306] ,693
[2020-04-10 15:02:46.406] ,652
[2020-04-10 15:02:46.507] ,644
[2020-04-10 15:02:46.607] ,709
[2020-04-10 15:02:46.707] ,752
[2020-04-10 15:02:46.808] ,737
[2020-04-10 15:02:46.908] ,729
[2020-04-10 15:02:47.008] ,729
[2020-04-10 15:02:47.108] ,726
[2020-04-10 15:02:47.209] ,709
[2020-04-10 15:02:47.308] ,642
[2020-04-10 15:02:47.409] ,642
[2020-04-10 15:02:47.509] ,721
[2020-04-10 15:02:47.609] ,748
[2020-04-10 15:02:47.709] ,752
[2020-04-10 15:02:47.809] ,725
[2020-04-10 15:02:47.905] ,721
[2020-04-10 15:02:48.005] ,692
[2020-04-10 15:02:48.105] ,649
[2020-04-10 15:02:48.205] ,610
[2020-04-10 15:02:48.304] ,625
[2020-04-10 15:02:48.404] ,685
[2020-04-10 15:02:48.504] ,709
[2020-04-10 15:02:48.604] ,703
[2020-04-10 15:02:48.704] ,696
[2020-04-10 15:02:48.814] ,712
[2020-04-10 15:02:48.915] ,703
[2020-04-10 15:02:49.015] ,653
[2020-04-10 15:02:49.116] ,666
[2020-04-10 15:02:49.217] ,675
[2020-04-10 15:02:49.317] ,715
[2020-04-10 15:02:49.418] ,685
[2020-04-10 15:02:49.517] ,670
[2020-04-10 15:02:49.617] ,673
[2020-04-10 15:02:49.717] ,715
[2020-04-10 15:02:49.818] ,689
[2020-04-10 15:02:49.917] ,654
[2020-04-10 15:02:50.017] ,654
[2020-04-10 15:02:50.117] ,718
[2020-04-10 15:02:50.217] ,728
[2020-04-10 15:02:50.317] ,709
[2020-04-10 15:02:50.417] ,708
