date and time,value
[2020-04-10 15:48:14.718] ,454
[2020-04-10 15:48:14.817] ,426
[2020-04-10 15:48:14.918] ,384
[2020-04-10 15:48:15.018] ,381
[2020-04-10 15:48:15.119] ,278
[2020-04-10 15:48:15.219] ,194
[2020-04-10 15:48:15.319] ,253
[2020-04-10 15:48:15.419] ,161
[2020-04-10 15:48:15.520] ,121
[2020-04-10 15:48:15.620] ,376
[2020-04-10 15:48:15.720] ,523
[2020-04-10 15:48:15.817] ,423
[2020-04-10 15:48:15.921] ,185
[2020-04-10 15:48:16.021] ,229
[2020-04-10 15:48:16.121] ,122
[2020-04-10 15:48:16.221] ,128
[2020-04-10 15:48:16.321] ,320
[2020-04-10 15:48:16.421] ,343
[2020-04-10 15:48:16.521] ,196
[2020-04-10 15:48:16.622] ,165
[2020-04-10 15:48:16.722] ,243
[2020-04-10 15:48:16.819] ,136
[2020-04-10 15:48:16.919] ,159
[2020-04-10 15:48:17.019] ,327
[2020-04-10 15:48:17.119] ,394
[2020-04-10 15:48:17.219] ,252
[2020-04-10 15:48:17.319] ,321
[2020-04-10 15:48:17.419] ,366
[2020-04-10 15:48:17.519] ,332
[2020-04-10 15:48:17.619] ,230
[2020-04-10 15:48:17.719] ,289
[2020-04-10 15:48:17.825] ,268
[2020-04-10 15:48:17.925] ,157
[2020-04-10 15:48:18.025] ,201
[2020-04-10 15:48:18.126] ,248
[2020-04-10 15:48:18.226] ,150
[2020-04-10 15:48:18.326] ,240
[2020-04-10 15:48:18.426] ,505
[2020-04-10 15:48:18.526] ,403
[2020-04-10 15:48:18.627] ,228
[2020-04-10 15:48:18.727] ,281
[2020-04-10 15:48:18.827] ,273
[2020-04-10 15:48:18.927] ,135
[2020-04-10 15:48:19.028] ,126
[2020-04-10 15:48:19.128] ,430
[2020-04-10 15:48:19.229] ,192
[2020-04-10 15:48:19.329] ,206
[2020-04-10 15:48:19.429] ,478
[2020-04-10 15:48:19.529] ,416
[2020-04-10 15:48:19.629] ,236
[2020-04-10 15:48:19.729] ,125
[2020-04-10 15:48:19.827] ,151
[2020-04-10 15:48:19.927] ,93
[2020-04-10 15:48:20.027] ,66
[2020-04-10 15:48:20.127] ,184
[2020-04-10 15:48:20.227] ,103
[2020-04-10 15:48:20.327] ,72
