,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
10,1371182078.0,0.0,6.0,8.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,12.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,4.0,6.0,0.0,2.0,11.0,2.0,0.0,7.0,4.0,2.0,0.0,21.0,5.0,1.0,0.0,8.0,0.0,3.0,14.0,8.0,1.0,3.0,16.0,13.0,0.0,0.0,1.0,0.0,1.0,31.0,10.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,5.0,3.0,0.0,7.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,14.0,0.0,6.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,0.0,15.0,2.0,5.0,12.0,1.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,15.0,2.0,3.0,2.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,2.0
11,1428723187.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1457277780.0,0.0,11.0,3.0,3.0,67.0,3.0,9.0,7.0,1.0,9.0,0.0,0.0,37.0,10.0,3.0,1.0,48.0,6.0,0.0,46.0,38.0,0.0,15.0,27.0,1.0,13.0,86.0,32.0,0.0,18.0,10.0,11.0,14.0,72.0,83.0,1.0,6.0,36.0,0.0,24.0,72.0,32.0,1.0,25.0,16.0,28.0,15.0,2.0,7.0,0.0,11.0,12.0,17.0,4.0,0.0,7.0,42.0,8.0,5.0,2.0,17.0,18.0,2.0,20.0,0.0,1.0,18.0,20.0,45.0,54.0,4.0,17.0,0.0,68.0,7.0,11.0,2.0,17.0,0.0,19.0,5.0,0.0,0.0,1.0,19.0,5.0,33.0,11.0,2.0,13.0,1.0,9.0,73.0,4.0,35.0,18.0,17.0,35.0,3.0,10.0,4.0,57.0,3.0,2.0,1.0,7.0,0.0,22.0,11.0,2.0,12.0,25.0,2.0,15.0
13,14601059.0,4.0,6.0,2.0,0.0,27.0,4.0,7.0,18.0,1.0,12.0,0.0,37.0,0.0,5.0,5.0,0.0,37.0,8.0,1.0,50.0,38.0,0.0,16.0,12.0,6.0,26.0,75.0,9.0,0.0,21.0,6.0,15.0,13.0,108.0,30.0,2.0,3.0,32.0,0.0,35.0,74.0,31.0,2.0,15.0,18.0,23.0,1.0,1.0,3.0,0.0,4.0,16.0,19.0,6.0,0.0,7.0,28.0,6.0,3.0,2.0,12.0,15.0,2.0,21.0,0.0,1.0,12.0,20.0,37.0,45.0,0.0,14.0,0.0,54.0,1.0,9.0,4.0,13.0,0.0,20.0,8.0,0.0,0.0,2.0,7.0,3.0,7.0,9.0,4.0,23.0,0.0,14.0,59.0,3.0,28.0,8.0,11.0,14.0,3.0,7.0,2.0,33.0,5.0,2.0,2.0,4.0,0.0,14.0,9.0,1.0,6.0,28.0,2.0,25.0
14,1494676476.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,5.0,0.0,1.0,0.0,7.0,1.0,0.0,5.0,6.0,0.0,5.0,5.0,0.0,1.0,10.0,5.0,0.0,1.0,1.0,1.0,0.0,6.0,8.0,1.0,3.0,3.0,0.0,3.0,8.0,3.0,1.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,5.0,5.0,6.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,2.0,0.0,3.0,11.0,0.0,9.0,3.0,2.0,5.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,0.0,3.0,5.0,0.0,3.0
15,154207904.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0,1.0,7.0,8.0,2.0,0.0,18.0,1.0,1.0,0.0,8.0,1.0,3.0,0.0,6.0,0.0,1.0,4.0,3.0,1.0,2.0,20.0,35.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,26.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,10.0,1.0,4.0,12.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16,155500681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1572684776.0,1.0,0.0,0.0,6.0,37.0,0.0,9.0,0.0,0.0,0.0,0.0,48.0,37.0,7.0,0.0,0.0,0.0,4.0,0.0,11.0,68.0,1.0,11.0,6.0,0.0,1.0,104.0,18.0,0.0,4.0,0.0,11.0,23.0,43.0,45.0,0.0,9.0,33.0,0.0,17.0,90.0,48.0,0.0,20.0,0.0,2.0,6.0,0.0,1.0,0.0,6.0,2.0,4.0,0.0,0.0,5.0,43.0,10.0,0.0,1.0,6.0,21.0,3.0,6.0,0.0,0.0,11.0,20.0,50.0,96.0,8.0,15.0,0.0,47.0,7.0,4.0,7.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,11.0,2.0,15.0,1.0,2.0,5.0,0.0,4.0,24.0,0.0,46.0,21.0,19.0,27.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,18.0,5.0,0.0,6.0,60.0,0.0,31.0
18,15775638.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,7.0,0.0,3.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.0,4.0,2.0,16.0,6.0,0.0,2.0,3.0,0.0,5.0,11.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,5.0,8.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,0.0,7.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0,5.0
19,161662833.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
