,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
23,3315587412.0,12.0,19.0,4.0,27.0,5.0,4.0,29.0,48.0,4.0,3.0,11.0,215.0,81.0,0.0,159.0,6.0,4.0,66.0,1.0,136.0,33.0,41.0,0.0,45.0,14.0,15.0,54.0,151.0,2.0,44.0,148.0,84.0,34.0,84.0,11.0,5.0,5.0,18.0,1.0,0.0,3.0,0.0,3.0,45.0,3.0,40.0,40.0,6.0,29.0,0.0,1.0,84.0,9.0,11.0,32.0,86.0,6.0,5.0,8.0
24,3319992475.0,0.0,137.0,9.0,39.0,42.0,152.0,14.0,400.0,34.0,186.0,457.0,293.0,456.0,0.0,214.0,7.0,71.0,296.0,14.0,110.0,83.0,389.0,45.0,0.0,196.0,1.0,212.0,224.0,17.0,223.0,253.0,335.0,322.0,678.0,234.0,464.0,326.0,98.0,179.0,2.0,114.0,0.0,110.0,70.0,12.0,427.0,142.0,48.0,84.0,0.0,0.0,43.0,16.0,37.0,206.0,64.0,83.0,62.0,10.0
25,4079033294.0,0.0,127.0,3.0,29.0,23.0,86.0,10.0,277.0,31.0,108.0,333.0,189.0,200.0,0.0,183.0,7.0,51.0,170.0,12.0,63.0,57.0,170.0,14.0,196.0,0.0,1.0,162.0,154.0,11.0,100.0,115.0,359.0,221.0,385.0,163.0,265.0,364.0,28.0,25.0,2.0,34.0,0.0,67.0,43.0,9.0,162.0,110.0,34.0,53.0,0.0,0.0,23.0,13.0,29.0,155.0,43.0,52.0,49.0,9.0
26,4131624921.0,14.0,1.0,0.0,3.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,34.0,30.0,0.0,45.0,0.0,1.0,4.0,0.0,33.0,3.0,5.0,15.0,1.0,1.0,0.0,4.0,41.0,0.0,10.0,29.0,14.0,4.0,20.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,5.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,5.0,18.0,0.0,0.0,3.0
27,413729906.0,2.0,120.0,7.0,43.0,41.0,65.0,20.0,440.0,38.0,126.0,274.0,351.0,274.0,0.0,278.0,9.0,37.0,238.0,12.0,175.0,89.0,224.0,54.0,212.0,162.0,4.0,0.0,376.0,16.0,142.0,244.0,329.0,249.0,508.0,217.0,302.0,262.0,39.0,53.0,3.0,38.0,0.0,80.0,89.0,12.0,165.0,137.0,38.0,62.0,0.0,0.0,64.0,16.0,43.0,120.0,92.0,58.0,36.0,13.0
28,4586148074.0,18.0,147.0,8.0,55.0,34.0,53.0,24.0,509.0,37.0,114.0,244.0,613.0,339.0,0.0,583.0,13.0,60.0,285.0,12.0,332.0,117.0,232.0,151.0,224.0,154.0,41.0,376.0,0.0,16.0,169.0,526.0,403.0,251.0,526.0,197.0,251.0,220.0,39.0,25.0,3.0,30.0,0.0,72.0,163.0,15.0,157.0,176.0,42.0,78.0,0.0,0.0,149.0,28.0,43.0,126.0,183.0,58.0,31.0,15.0
29,4713727810.0,0.0,13.0,1.0,6.0,7.0,6.0,3.0,19.0,6.0,13.0,13.0,19.0,17.0,0.0,14.0,1.0,2.0,17.0,3.0,14.0,8.0,12.0,2.0,17.0,11.0,0.0,16.0,16.0,0.0,11.0,15.0,16.0,13.0,22.0,10.0,13.0,12.0,4.0,1.0,0.0,3.0,0.0,7.0,10.0,4.0,13.0,11.0,7.0,6.0,0.0,0.0,8.0,1.0,6.0,13.0,9.0,7.0,8.0,2.0
30,4755832759.0,6.0,112.0,5.0,27.0,31.0,99.0,18.0,265.0,26.0,122.0,269.0,219.0,301.0,0.0,179.0,5.0,30.0,211.0,12.0,122.0,67.0,224.0,44.0,223.0,100.0,10.0,142.0,169.0,11.0,0.0,249.0,226.0,191.0,402.0,127.0,253.0,199.0,53.0,112.0,2.0,84.0,0.0,82.0,63.0,7.0,287.0,94.0,40.0,60.0,0.0,0.0,39.0,25.0,29.0,154.0,65.0,70.0,51.0,11.0
31,51855176.0,15.0,146.0,8.0,51.0,30.0,90.0,22.0,420.0,33.0,127.0,265.0,559.0,403.0,0.0,479.0,13.0,37.0,314.0,10.0,309.0,103.0,247.0,148.0,253.0,115.0,29.0,244.0,526.0,15.0,249.0,0.0,322.0,245.0,564.0,132.0,220.0,185.0,54.0,77.0,2.0,76.0,0.0,78.0,131.0,12.0,299.0,153.0,50.0,84.0,0.0,0.0,145.0,27.0,43.0,161.0,179.0,70.0,55.0,15.0
32,552633255.0,10.0,199.0,6.0,48.0,37.0,177.0,25.0,565.0,37.0,191.0,561.0,523.0,470.0,0.0,426.0,12.0,95.0,388.0,13.0,233.0,105.0,326.0,84.0,335.0,359.0,14.0,329.0,403.0,16.0,226.0,322.0,0.0,398.0,807.0,271.0,433.0,659.0,55.0,76.0,2.0,64.0,0.0,98.0,137.0,15.0,358.0,198.0,48.0,113.0,0.0,0.0,104.0,26.0,53.0,242.0,147.0,84.0,76.0,18.0
33,552686514.0,2.0,160.0,8.0,30.0,32.0,157.0,13.0,531.0,33.0,201.0,406.0,269.0,340.0,0.0,212.0,8.0,85.0,281.0,12.0,107.0,70.0,268.0,34.0,322.0,221.0,4.0,249.0,251.0,13.0,191.0,245.0,398.0,0.0,567.0,232.0,427.0,418.0,49.0,74.0,1.0,71.0,0.0,111.0,71.0,17.0,277.0,147.0,48.0,62.0,0.0,0.0,34.0,22.0,32.0,171.0,69.0,84.0,59.0,12.0
