,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
10,8.202322469049508e+17,661.0,1382.0,2672.0,697.0,398.0,1031.0,1491.0,1055.0,94.0,0.0,364.0,1719.0,1391.0,1098.0,600.0,830.0,210.0,915.0,395.0,744.0,703.0,186.0,1057.0,509.0,120.0,0.0,79.0,1529.0,490.0,1013.0,25.0,1735.0,63.0,1138.0,352.0,321.0,107.0,78.0,1228.0,0.0,59.0,222.0,191.0,78.0,1132.0,201.0,85.0,795.0,1140.0,447.0,912.0,226.0,262.0,426.0,232.0,133.0,36.0,750.0,68.0,715.0,6.0,17.0,735.0,133.0,268.0,976.0,639.0,218.0,504.0,1364.0,512.0,0.0,153.0,168.0,259.0,810.0,88.0,1213.0,775.0,66.0,0.0,122.0,769.0,46.0,82.0,111.0,322.0,65.0,198.0,55.0
11,8.232017006768579e+17,141.0,310.0,402.0,222.0,133.0,212.0,334.0,265.0,40.0,364.0,0.0,337.0,258.0,238.0,137.0,266.0,66.0,237.0,165.0,135.0,184.0,46.0,208.0,161.0,23.0,0.0,17.0,403.0,100.0,207.0,16.0,308.0,18.0,187.0,122.0,77.0,24.0,24.0,210.0,0.0,21.0,69.0,83.0,16.0,210.0,33.0,36.0,232.0,255.0,156.0,192.0,67.0,69.0,138.0,74.0,38.0,2.0,248.0,22.0,168.0,2.0,6.0,200.0,31.0,53.0,299.0,151.0,61.0,170.0,296.0,133.0,0.0,21.0,84.0,76.0,268.0,25.0,379.0,215.0,38.0,0.0,40.0,176.0,23.0,27.0,46.0,83.0,11.0,67.0,14.0
12,8.245251575447593e+17,611.0,999.0,1951.0,555.0,340.0,753.0,1004.0,903.0,71.0,1719.0,337.0,0.0,1551.0,1095.0,569.0,522.0,155.0,735.0,377.0,430.0,573.0,137.0,924.0,451.0,49.0,0.0,62.0,1307.0,289.0,517.0,24.0,1619.0,49.0,642.0,344.0,184.0,96.0,57.0,784.0,0.0,39.0,153.0,147.0,70.0,703.0,183.0,56.0,562.0,723.0,368.0,721.0,130.0,164.0,339.0,166.0,77.0,29.0,576.0,35.0,597.0,4.0,12.0,485.0,115.0,145.0,838.0,501.0,134.0,427.0,865.0,293.0,0.0,127.0,119.0,188.0,562.0,72.0,967.0,658.0,47.0,0.0,96.0,486.0,40.0,48.0,91.0,180.0,57.0,151.0,26.0
13,8.246256278063063e+17,545.0,813.0,1492.0,470.0,329.0,686.0,759.0,720.0,55.0,1391.0,258.0,1551.0,0.0,1049.0,538.0,381.0,98.0,800.0,281.0,246.0,517.0,89.0,980.0,498.0,55.0,0.0,51.0,946.0,165.0,394.0,24.0,1560.0,55.0,397.0,344.0,185.0,77.0,56.0,732.0,0.0,42.0,143.0,143.0,68.0,570.0,153.0,54.0,529.0,717.0,429.0,808.0,100.0,133.0,343.0,167.0,91.0,27.0,432.0,40.0,598.0,5.0,15.0,441.0,101.0,135.0,735.0,543.0,73.0,401.0,586.0,273.0,0.0,111.0,128.0,198.0,433.0,71.0,653.0,731.0,53.0,0.0,34.0,428.0,31.0,54.0,92.0,158.0,58.0,155.0,29.0
14,8.257113405641196e+17,549.0,575.0,1302.0,375.0,246.0,525.0,590.0,660.0,53.0,1098.0,238.0,1095.0,1049.0,0.0,516.0,292.0,91.0,434.0,338.0,171.0,564.0,91.0,961.0,286.0,34.0,0.0,41.0,579.0,127.0,306.0,25.0,739.0,37.0,260.0,260.0,108.0,77.0,39.0,451.0,0.0,29.0,98.0,135.0,50.0,427.0,190.0,52.0,379.0,454.0,272.0,699.0,95.0,114.0,240.0,140.0,53.0,40.0,496.0,30.0,738.0,6.0,15.0,306.0,149.0,130.0,482.0,494.0,64.0,404.0,402.0,208.0,0.0,144.0,99.0,156.0,438.0,69.0,568.0,547.0,41.0,0.0,42.0,379.0,29.0,42.0,80.0,139.0,69.0,108.0,33.0
15,8.280457086872412e+17,354.0,322.0,673.0,206.0,175.0,363.0,320.0,415.0,23.0,600.0,137.0,569.0,538.0,516.0,0.0,152.0,37.0,261.0,149.0,69.0,343.0,46.0,487.0,206.0,17.0,0.0,34.0,307.0,53.0,180.0,20.0,423.0,30.0,115.0,179.0,64.0,53.0,26.0,289.0,0.0,24.0,75.0,102.0,29.0,239.0,113.0,34.0,215.0,248.0,168.0,376.0,49.0,72.0,149.0,90.0,28.0,34.0,217.0,19.0,378.0,4.0,14.0,188.0,79.0,99.0,249.0,294.0,30.0,246.0,214.0,124.0,0.0,118.0,69.0,87.0,189.0,39.0,250.0,271.0,25.0,0.0,11.0,231.0,21.0,22.0,61.0,83.0,56.0,74.0,25.0
16,8.317340556956877e+17,181.0,635.0,835.0,358.0,206.0,392.0,644.0,393.0,65.0,830.0,266.0,522.0,381.0,292.0,152.0,0.0,151.0,375.0,245.0,462.0,251.0,81.0,289.0,235.0,69.0,0.0,29.0,759.0,306.0,512.0,14.0,535.0,25.0,652.0,157.0,136.0,36.0,38.0,463.0,0.0,36.0,130.0,92.0,35.0,489.0,50.0,36.0,402.0,515.0,221.0,345.0,166.0,159.0,209.0,136.0,96.0,3.0,397.0,35.0,229.0,3.0,8.0,347.0,48.0,124.0,510.0,240.0,173.0,247.0,767.0,273.0,0.0,24.0,127.0,145.0,447.0,47.0,706.0,299.0,54.0,0.0,97.0,359.0,31.0,58.0,68.0,198.0,15.0,105.0,29.0
17,8.327992698998661e+17,65.0,206.0,281.0,81.0,39.0,176.0,188.0,158.0,80.0,210.0,66.0,155.0,98.0,91.0,37.0,151.0,0.0,77.0,68.0,653.0,91.0,273.0,82.0,53.0,13.0,0.0,11.0,270.0,101.0,108.0,5.0,128.0,8.0,226.0,38.0,33.0,17.0,13.0,102.0,0.0,10.0,35.0,23.0,7.0,114.0,22.0,13.0,97.0,98.0,39.0,79.0,228.0,144.0,42.0,38.0,24.0,4.0,190.0,7.0,54.0,1.0,2.0,97.0,15.0,28.0,125.0,48.0,45.0,124.0,252.0,45.0,0.0,17.0,23.0,28.0,131.0,12.0,627.0,62.0,13.0,0.0,207.0,65.0,17.0,17.0,15.0,31.0,3.0,19.0,5.0
18,8.328520204491203e+17,270.0,709.0,882.0,499.0,292.0,459.0,666.0,455.0,56.0,915.0,237.0,735.0,800.0,434.0,261.0,375.0,77.0,0.0,241.0,258.0,316.0,70.0,502.0,418.0,51.0,0.0,31.0,933.0,166.0,346.0,17.0,1098.0,42.0,402.0,275.0,145.0,50.0,48.0,565.0,0.0,40.0,141.0,105.0,53.0,510.0,62.0,38.0,538.0,726.0,398.0,487.0,101.0,90.0,336.0,133.0,97.0,1.0,402.0,39.0,306.0,3.0,4.0,391.0,32.0,99.0,705.0,329.0,89.0,267.0,592.0,260.0,0.0,12.0,137.0,169.0,427.0,40.0,658.0,612.0,49.0,0.0,45.0,338.0,27.0,51.0,63.0,147.0,6.0,132.0,18.0
19,8.380344727297065e+17,175.0,290.0,431.0,281.0,151.0,219.0,354.0,302.0,42.0,395.0,165.0,377.0,281.0,338.0,149.0,245.0,68.0,241.0,0.0,161.0,186.0,47.0,271.0,157.0,33.0,0.0,28.0,371.0,133.0,221.0,14.0,315.0,15.0,212.0,127.0,80.0,41.0,21.0,242.0,0.0,20.0,78.0,81.0,25.0,231.0,57.0,24.0,243.0,269.0,161.0,236.0,71.0,83.0,143.0,85.0,42.0,11.0,311.0,39.0,220.0,2.0,5.0,187.0,63.0,85.0,330.0,177.0,63.0,213.0,310.0,146.0,0.0,38.0,90.0,98.0,311.0,42.0,357.0,233.0,47.0,0.0,43.0,199.0,20.0,34.0,56.0,106.0,20.0,82.0,20.0
20,8.512751046756925e+17,172.0,624.0,803.0,225.0,125.0,461.0,634.0,328.0,293.0,744.0,135.0,430.0,246.0,171.0,69.0,462.0,653.0,258.0,161.0,0.0,147.0,966.0,185.0,154.0,85.0,0.0,68.0,701.0,579.0,503.0,9.0,419.0,17.0,1444.0,95.0,149.0,39.0,27.0,377.0,0.0,29.0,121.0,66.0,15.0,607.0,20.0,30.0,327.0,432.0,143.0,321.0,1199.0,620.0,140.0,108.0,80.0,0.0,423.0,29.0,143.0,1.0,2.0,283.0,27.0,124.0,409.0,158.0,394.0,139.0,949.0,207.0,0.0,7.0,75.0,105.0,359.0,37.0,1440.0,201.0,38.0,0.0,919.0,323.0,19.0,36.0,35.0,158.0,1.0,63.0,27.0
21,8.742453289916539e+17,390.0,392.0,792.0,310.0,226.0,364.0,463.0,509.0,39.0,703.0,184.0,573.0,517.0,564.0,343.0,251.0,91.0,316.0,186.0,147.0,0.0,56.0,678.0,222.0,33.0,0.0,27.0,467.0,111.0,277.0,16.0,466.0,34.0,229.0,220.0,106.0,90.0,32.0,396.0,0.0,32.0,97.0,112.0,41.0,358.0,163.0,34.0,329.0,360.0,239.0,481.0,89.0,111.0,188.0,123.0,51.0,49.0,400.0,30.0,681.0,5.0,16.0,308.0,78.0,135.0,370.0,466.0,62.0,313.0,391.0,219.0,0.0,193.0,94.0,126.0,330.0,59.0,437.0,345.0,45.0,0.0,39.0,385.0,33.0,40.0,89.0,139.0,47.0,108.0,39.0
22,8.782936188547359e+17,163.0,114.0,204.0,83.0,26.0,247.0,116.0,215.0,120.0,186.0,46.0,137.0,89.0,91.0,46.0,81.0,273.0,70.0,47.0,966.0,56.0,0.0,85.0,47.0,13.0,0.0,231.0,147.0,157.0,79.0,4.0,111.0,9.0,261.0,28.0,37.0,7.0,13.0,75.0,0.0,11.0,29.0,27.0,6.0,157.0,12.0,13.0,61.0,84.0,30.0,107.0,365.0,136.0,43.0,22.0,13.0,0.0,209.0,7.0,202.0,1.0,2.0,60.0,7.0,25.0,92.0,42.0,87.0,59.0,154.0,44.0,0.0,5.0,17.0,15.0,80.0,4.0,631.0,47.0,8.0,0.0,707.0,60.0,9.0,11.0,8.0,24.0,4.0,14.0,5.0
23,8.789571088128123e+17,709.0,518.0,1222.0,531.0,283.0,606.0,559.0,863.0,53.0,1057.0,208.0,924.0,980.0,961.0,487.0,289.0,82.0,502.0,271.0,185.0,678.0,85.0,0.0,356.0,37.0,0.0,36.0,594.0,125.0,313.0,20.0,824.0,55.0,259.0,349.0,137.0,98.0,55.0,574.0,0.0,36.0,125.0,135.0,69.0,475.0,258.0,47.0,420.0,535.0,350.0,848.0,87.0,134.0,259.0,160.0,78.0,60.0,547.0,44.0,1640.0,8.0,17.0,368.0,136.0,145.0,533.0,626.0,67.0,559.0,431.0,292.0,0.0,177.0,127.0,224.0,463.0,85.0,519.0,570.0,53.0,0.0,39.0,509.0,30.0,54.0,104.0,156.0,84.0,145.0,41.0
24,8.814603345733673e+17,238.0,426.0,485.0,279.0,213.0,327.0,344.0,280.0,33.0,509.0,161.0,451.0,498.0,286.0,206.0,235.0,53.0,418.0,157.0,154.0,222.0,47.0,356.0,0.0,39.0,0.0,28.0,444.0,89.0,199.0,20.0,574.0,34.0,210.0,229.0,115.0,33.0,40.0,367.0,0.0,29.0,88.0,89.0,44.0,327.0,42.0,33.0,315.0,400.0,263.0,369.0,62.0,63.0,217.0,113.0,68.0,0.0,207.0,26.0,231.0,3.0,4.0,241.0,26.0,58.0,367.0,227.0,50.0,221.0,332.0,180.0,0.0,11.0,97.0,115.0,235.0,34.0,351.0,351.0,45.0,0.0,23.0,218.0,19.0,41.0,53.0,92.0,10.0,86.0,11.0
25,8.815528372131758e+17,32.0,94.0,114.0,42.0,27.0,74.0,90.0,50.0,5.0,120.0,23.0,49.0,55.0,34.0,17.0,69.0,13.0,51.0,33.0,85.0,33.0,13.0,37.0,39.0,0.0,0.0,11.0,96.0,71.0,72.0,2.0,76.0,7.0,120.0,19.0,24.0,10.0,8.0,70.0,0.0,10.0,32.0,9.0,6.0,95.0,7.0,7.0,64.0,81.0,32.0,62.0,32.0,36.0,30.0,18.0,16.0,0.0,45.0,5.0,25.0,1.0,1.0,53.0,4.0,25.0,73.0,37.0,42.0,24.0,129.0,43.0,0.0,2.0,15.0,26.0,59.0,11.0,83.0,44.0,12.0,0.0,15.0,57.0,3.0,5.0,4.0,25.0,1.0,16.0,10.0
