date and time,value
[2020-04-10 15:43:15.711] ,663
[2020-04-10 15:43:15.811] ,651
[2020-04-10 15:43:15.912] ,253
[2020-04-10 15:43:16.007] ,102
[2020-04-10 15:43:16.107] ,494
[2020-04-10 15:43:16.207] ,656
[2020-04-10 15:43:16.307] ,536
[2020-04-10 15:43:16.407] ,185
[2020-04-10 15:43:16.507] ,62
[2020-04-10 15:43:16.607] ,377
[2020-04-10 15:43:16.707] ,592
[2020-04-10 15:43:16.807] ,459
[2020-04-10 15:43:16.914] ,159
[2020-04-10 15:43:17.013] ,61
[2020-04-10 15:43:17.114] ,379
[2020-04-10 15:43:17.214] ,584
[2020-04-10 15:43:17.315] ,413
[2020-04-10 15:43:17.415] ,137
[2020-04-10 15:43:17.514] ,58
[2020-04-10 15:43:17.616] ,305
[2020-04-10 15:43:17.717] ,471
[2020-04-10 15:43:17.817] ,389
[2020-04-10 15:43:17.919] ,161
[2020-04-10 15:43:18.018] ,72
[2020-04-10 15:43:18.119] ,283
[2020-04-10 15:43:18.219] ,514
[2020-04-10 15:43:18.315] ,433
[2020-04-10 15:43:18.415] ,185
[2020-04-10 15:43:18.515] ,96
[2020-04-10 15:43:18.615] ,302
[2020-04-10 15:43:18.715] ,576
[2020-04-10 15:43:18.815] ,601
[2020-04-10 15:43:18.920] ,253
[2020-04-10 15:43:19.020] ,97
[2020-04-10 15:43:19.116] ,288
[2020-04-10 15:43:19.216] ,585
[2020-04-10 15:43:19.316] ,614
[2020-04-10 15:43:19.416] ,268
[2020-04-10 15:43:19.515] ,100
[2020-04-10 15:43:19.616] ,57
[2020-04-10 15:43:19.715] ,363
[2020-04-10 15:43:19.815] ,354
[2020-04-10 15:43:19.924] ,264
[2020-04-10 15:43:20.024] ,148
[2020-04-10 15:43:20.123] ,92
[2020-04-10 15:43:20.225] ,401
[2020-04-10 15:43:20.325] ,558
[2020-04-10 15:43:20.425] ,496
[2020-04-10 15:43:20.525] ,204
[2020-04-10 15:43:20.623] ,94
[2020-04-10 15:43:20.725] ,399
[2020-04-10 15:43:20.826] ,582
[2020-04-10 15:43:20.919] ,545
[2020-04-10 15:43:21.019] ,220
[2020-04-10 15:43:21.119] ,89
[2020-04-10 15:43:21.219] ,218
[2020-04-10 15:43:21.319] ,486
[2020-04-10 15:43:21.419] ,535
[2020-04-10 15:43:21.519] ,257
[2020-04-10 15:43:21.619] ,106
[2020-04-10 15:43:21.719] ,90
[2020-04-10 15:43:21.828] ,365
[2020-04-10 15:43:21.928] ,436
[2020-04-10 15:43:22.028] ,248
[2020-04-10 15:43:22.129] ,123
[2020-04-10 15:43:22.228] ,74
[2020-04-10 15:43:22.329] ,243
[2020-04-10 15:43:22.429] ,354
[2020-04-10 15:43:22.529] ,257
[2020-04-10 15:43:22.629] ,135
[2020-04-10 15:43:22.729] ,87
[2020-04-10 15:43:22.830] ,175
[2020-04-10 15:43:22.930] ,282
[2020-04-10 15:43:23.028] ,255
[2020-04-10 15:43:23.127] ,154
[2020-04-10 15:43:23.227] ,105
[2020-04-10 15:43:23.327] ,195
[2020-04-10 15:43:23.427] ,440
[2020-04-10 15:43:23.527] ,309
[2020-04-10 15:43:23.627] ,183
[2020-04-10 15:43:23.727] ,110
[2020-04-10 15:43:23.832] ,218
