,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
11,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1904502458.0,0.0,18.0,4.0,25.0,42.0,7.0,36.0,13.0,18.0,14.0,0.0,0.0,1.0,7.0,36.0,16.0,0.0,20.0,11.0,26.0,32.0,12.0,4.0,38.0,7.0,7.0,22.0,0.0,8.0,20.0,0.0,26.0,20.0,14.0,1.0,2.0,2.0,19.0,17.0
13,19296773.0,0.0,11.0,0.0,16.0,45.0,25.0,10.0,10.0,2.0,0.0,0.0,1.0,0.0,14.0,10.0,1.0,0.0,7.0,29.0,0.0,2.0,0.0,1.0,76.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
14,19594298.0,0.0,37.0,2.0,62.0,88.0,51.0,63.0,64.0,31.0,14.0,0.0,7.0,14.0,0.0,57.0,23.0,0.0,29.0,63.0,18.0,47.0,15.0,23.0,101.0,9.0,12.0,31.0,0.0,13.0,29.0,0.0,39.0,27.0,8.0,0.0,3.0,0.0,24.0,18.0
15,2176204562.0,0.0,117.0,26.0,171.0,308.0,108.0,306.0,70.0,156.0,76.0,0.0,36.0,10.0,57.0,0.0,111.0,0.0,128.0,103.0,123.0,285.0,103.0,78.0,345.0,42.0,82.0,172.0,4.0,46.0,235.0,0.0,238.0,155.0,238.0,8.0,16.0,10.0,175.0,77.0
16,2393561035.0,0.0,50.0,11.0,88.0,143.0,15.0,147.0,36.0,84.0,54.0,0.0,16.0,1.0,23.0,111.0,0.0,0.0,55.0,35.0,71.0,118.0,64.0,35.0,117.0,26.0,57.0,82.0,1.0,30.0,71.0,0.0,136.0,94.0,36.0,3.0,8.0,8.0,105.0,36.0
17,2415567751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2535308683.0,0.0,48.0,13.0,94.0,153.0,45.0,133.0,46.0,81.0,41.0,0.0,20.0,7.0,29.0,128.0,55.0,0.0,0.0,51.0,56.0,125.0,51.0,38.0,178.0,21.0,44.0,92.0,6.0,32.0,74.0,0.0,108.0,79.0,41.0,2.0,7.0,6.0,76.0,32.0
19,2667844086.0,0.0,86.0,27.0,111.0,146.0,102.0,135.0,101.0,47.0,33.0,0.0,11.0,29.0,63.0,103.0,35.0,0.0,51.0,0.0,43.0,88.0,40.0,50.0,254.0,19.0,22.0,54.0,6.0,20.0,55.0,0.0,100.0,50.0,22.0,2.0,5.0,8.0,55.0,28.0
20,2929488516.0,0.0,60.0,15.0,91.0,116.0,43.0,161.0,22.0,93.0,63.0,0.0,26.0,0.0,18.0,123.0,71.0,0.0,56.0,43.0,0.0,138.0,80.0,46.0,129.0,39.0,56.0,110.0,0.0,24.0,83.0,0.0,141.0,101.0,44.0,2.0,16.0,10.0,111.0,49.0
21,2970824012.0,0.0,88.0,29.0,185.0,307.0,94.0,317.0,61.0,220.0,90.0,0.0,32.0,2.0,47.0,285.0,118.0,0.0,125.0,88.0,138.0,0.0,130.0,72.0,270.0,72.0,256.0,251.0,3.0,48.0,139.0,0.0,311.0,220.0,95.0,9.0,158.0,15.0,212.0,73.0
22,3193336167.0,0.0,41.0,7.0,79.0,125.0,46.0,146.0,20.0,91.0,49.0,0.0,12.0,0.0,15.0,103.0,64.0,0.0,51.0,40.0,80.0,130.0,0.0,48.0,96.0,38.0,63.0,101.0,0.0,23.0,62.0,0.0,136.0,89.0,35.0,2.0,20.0,11.0,95.0,31.0
23,3287291396.0,0.0,42.0,7.0,53.0,87.0,52.0,87.0,25.0,42.0,29.0,0.0,4.0,1.0,23.0,78.0,35.0,0.0,38.0,50.0,46.0,72.0,48.0,0.0,85.0,26.0,28.0,65.0,1.0,14.0,56.0,0.0,74.0,48.0,32.0,2.0,7.0,6.0,58.0,30.0
24,384436983.0,0.0,260.0,45.0,227.0,561.0,314.0,391.0,206.0,174.0,63.0,0.0,38.0,76.0,101.0,345.0,117.0,0.0,178.0,254.0,129.0,270.0,96.0,85.0,0.0,37.0,74.0,197.0,36.0,86.0,134.0,0.0,265.0,166.0,91.0,7.0,16.0,7.0,160.0,97.0
