,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
12,1659464958.0,106.0,370.0,15.0,38.0,159.0,4.0,42.0,59.0,242.0,56.0,43.0,0.0,92.0,77.0,40.0,14.0,222.0,196.0,21.0,166.0,54.0,123.0,294.0,16.0,1.0,65.0,60.0,466.0,5.0,40.0,88.0,50.0,165.0,59.0,12.0,111.0,74.0,99.0,98.0,98.0,56.0,19.0,37.0,17.0,152.0,5.0,48.0,26.0,19.0,47.0,17.0,88.0,101.0,16.0,56.0,55.0,90.0,164.0,0.0,28.0,46.0,124.0,24.0,444.0,123.0,14.0,47.0,17.0,40.0,0.0
13,168717139.0,80.0,126.0,15.0,14.0,92.0,1.0,16.0,24.0,45.0,27.0,16.0,92.0,0.0,39.0,18.0,7.0,18.0,76.0,11.0,27.0,21.0,30.0,55.0,7.0,0.0,27.0,7.0,68.0,1.0,15.0,27.0,13.0,62.0,12.0,4.0,48.0,19.0,40.0,21.0,37.0,46.0,3.0,42.0,8.0,47.0,0.0,37.0,6.0,7.0,19.0,5.0,35.0,44.0,9.0,11.0,28.0,34.0,73.0,0.0,21.0,8.0,83.0,26.0,47.0,72.0,9.0,21.0,3.0,19.0,0.0
14,1899217712.0,93.0,127.0,14.0,17.0,59.0,3.0,7.0,110.0,30.0,93.0,17.0,77.0,39.0,0.0,49.0,31.0,5.0,58.0,38.0,27.0,25.0,43.0,25.0,2.0,1.0,110.0,10.0,51.0,9.0,41.0,19.0,75.0,81.0,106.0,13.0,37.0,16.0,31.0,35.0,54.0,10.0,43.0,42.0,22.0,30.0,1.0,26.0,8.0,35.0,53.0,2.0,15.0,169.0,20.0,4.0,94.0,12.0,94.0,0.0,14.0,3.0,58.0,35.0,13.0,64.0,31.0,10.0,3.0,70.0,0.0
15,1969018100.0,19.0,37.0,7.0,11.0,31.0,7.0,6.0,65.0,16.0,54.0,4.0,40.0,18.0,49.0,0.0,20.0,3.0,25.0,19.0,17.0,16.0,35.0,30.0,1.0,2.0,116.0,8.0,20.0,7.0,6.0,11.0,27.0,39.0,67.0,15.0,14.0,7.0,12.0,12.0,29.0,11.0,31.0,14.0,21.0,11.0,0.0,11.0,4.0,213.0,46.0,2.0,10.0,101.0,15.0,6.0,55.0,10.0,61.0,0.0,9.0,2.0,19.0,19.0,11.0,24.0,60.0,11.0,5.0,45.0,0.0
16,2254592418.0,19.0,19.0,2.0,5.0,9.0,0.0,0.0,79.0,4.0,29.0,1.0,14.0,7.0,31.0,20.0,0.0,1.0,9.0,65.0,6.0,6.0,10.0,10.0,0.0,20.0,35.0,2.0,12.0,44.0,9.0,6.0,16.0,18.0,33.0,68.0,4.0,1.0,8.0,3.0,12.0,1.0,16.0,5.0,35.0,10.0,0.0,3.0,1.0,27.0,86.0,1.0,2.0,41.0,42.0,2.0,114.0,3.0,22.0,0.0,1.0,0.0,8.0,53.0,3.0,12.0,9.0,2.0,1.0,22.0,0.0
17,2286454225.0,5.0,151.0,2.0,0.0,5.0,1.0,18.0,2.0,108.0,5.0,40.0,222.0,18.0,5.0,3.0,1.0,0.0,62.0,0.0,133.0,18.0,37.0,209.0,16.0,0.0,3.0,47.0,337.0,0.0,0.0,50.0,4.0,59.0,3.0,2.0,32.0,63.0,35.0,57.0,17.0,23.0,0.0,1.0,2.0,50.0,0.0,11.0,22.0,1.0,6.0,6.0,88.0,7.0,2.0,50.0,3.0,55.0,46.0,0.0,18.0,45.0,32.0,0.0,317.0,52.0,1.0,13.0,25.0,2.0,0.0
18,2320221720.0,96.0,255.0,15.0,8.0,107.0,1.0,20.0,39.0,133.0,39.0,30.0,196.0,76.0,58.0,25.0,9.0,62.0,0.0,17.0,77.0,57.0,93.0,127.0,14.0,1.0,56.0,34.0,166.0,5.0,31.0,47.0,21.0,150.0,28.0,7.0,80.0,48.0,90.0,36.0,49.0,50.0,10.0,45.0,15.0,121.0,3.0,45.0,14.0,8.0,28.0,9.0,193.0,89.0,12.0,37.0,34.0,65.0,162.0,0.0,29.0,26.0,121.0,35.0,136.0,115.0,9.0,41.0,10.0,31.0,0.0
19,2444955261.0,19.0,19.0,1.0,6.0,9.0,2.0,0.0,82.0,9.0,36.0,2.0,21.0,11.0,38.0,19.0,65.0,0.0,17.0,0.0,7.0,8.0,8.0,12.0,0.0,17.0,32.0,2.0,11.0,37.0,7.0,3.0,23.0,19.0,28.0,65.0,6.0,2.0,5.0,5.0,9.0,3.0,14.0,8.0,48.0,12.0,0.0,2.0,3.0,14.0,88.0,0.0,2.0,42.0,55.0,2.0,96.0,0.0,25.0,0.0,1.0,0.0,10.0,56.0,5.0,14.0,10.0,1.0,0.0,17.0,0.0
20,2501382415.0,40.0,152.0,8.0,1.0,38.0,1.0,26.0,16.0,106.0,20.0,20.0,166.0,27.0,27.0,17.0,6.0,133.0,77.0,7.0,0.0,27.0,52.0,159.0,4.0,0.0,29.0,34.0,247.0,5.0,8.0,44.0,10.0,80.0,9.0,2.0,39.0,51.0,40.0,32.0,28.0,29.0,4.0,24.0,7.0,81.0,0.0,42.0,22.0,3.0,18.0,5.0,78.0,37.0,7.0,39.0,15.0,47.0,78.0,0.0,10.0,28.0,58.0,14.0,232.0,77.0,2.0,27.0,17.0,24.0,0.0
21,2516008195.0,32.0,73.0,4.0,4.0,27.0,1.0,3.0,22.0,46.0,20.0,12.0,54.0,21.0,25.0,16.0,6.0,18.0,57.0,8.0,27.0,0.0,51.0,36.0,5.0,0.0,32.0,10.0,49.0,2.0,6.0,10.0,15.0,49.0,26.0,4.0,27.0,17.0,29.0,14.0,21.0,15.0,9.0,10.0,7.0,12.0,1.0,19.0,3.0,6.0,15.0,2.0,15.0,45.0,7.0,10.0,21.0,21.0,65.0,0.0,12.0,6.0,38.0,12.0,39.0,35.0,7.0,17.0,3.0,14.0,0.0
22,2579138893.0,60.0,165.0,13.0,6.0,64.0,1.0,16.0,43.0,98.0,56.0,23.0,123.0,30.0,43.0,35.0,10.0,37.0,93.0,8.0,52.0,51.0,0.0,67.0,12.0,1.0,68.0,22.0,95.0,2.0,19.0,41.0,19.0,97.0,62.0,6.0,56.0,25.0,59.0,32.0,47.0,27.0,10.0,26.0,12.0,30.0,1.0,31.0,5.0,22.0,39.0,9.0,24.0,115.0,13.0,13.0,55.0,41.0,133.0,0.0,17.0,16.0,80.0,22.0,99.0,73.0,11.0,33.0,4.0,38.0,0.0
23,2581730947.0,49.0,235.0,11.0,13.0,60.0,2.0,22.0,26.0,138.0,38.0,38.0,294.0,55.0,25.0,30.0,10.0,209.0,127.0,12.0,159.0,36.0,67.0,0.0,9.0,1.0,44.0,51.0,618.0,4.0,16.0,55.0,12.0,130.0,26.0,7.0,50.0,106.0,67.0,66.0,42.0,53.0,11.0,31.0,15.0,141.0,1.0,44.0,35.0,11.0,27.0,7.0,160.0,52.0,8.0,88.0,33.0,69.0,139.0,0.0,28.0,48.0,100.0,16.0,313.0,126.0,8.0,32.0,31.0,28.0,0.0
24,268814279.0,3.0,15.0,2.0,0.0,2.0,0.0,1.0,0.0,15.0,1.0,9.0,16.0,7.0,2.0,1.0,0.0,16.0,14.0,0.0,4.0,5.0,12.0,9.0,0.0,0.0,1.0,5.0,15.0,0.0,1.0,9.0,1.0,12.0,1.0,0.0,9.0,8.0,12.0,8.0,4.0,5.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,6.0,1.0,0.0,4.0,0.0,15.0,4.0,0.0,8.0,9.0,8.0,1.0,17.0,6.0,0.0,5.0,2.0,1.0,0.0
25,2744149739.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,20.0,0.0,1.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,26.0,1.0,1.0,0.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,2.0,23.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
26,2762807425.0,61.0,90.0,11.0,12.0,51.0,3.0,9.0,136.0,41.0,123.0,7.0,65.0,27.0,110.0,116.0,35.0,3.0,56.0,32.0,29.0,32.0,68.0,44.0,1.0,1.0,0.0,10.0,45.0,21.0,19.0,20.0,54.0,84.0,153.0,19.0,30.0,13.0,36.0,21.0,45.0,15.0,54.0,31.0,32.0,22.0,4.0,20.0,6.0,101.0,64.0,3.0,11.0,226.0,27.0,10.0,111.0,13.0,129.0,0.0,10.0,1.0,48.0,37.0,20.0,57.0,36.0,14.0,4.0,79.0,0.0
27,2871615239.0,10.0,62.0,4.0,4.0,9.0,0.0,7.0,6.0,49.0,6.0,16.0,60.0,7.0,10.0,8.0,2.0,47.0,34.0,2.0,34.0,10.0,22.0,51.0,5.0,0.0,10.0,0.0,86.0,0.0,0.0,13.0,4.0,40.0,7.0,2.0,19.0,14.0,22.0,21.0,15.0,10.0,1.0,8.0,4.0,13.0,0.0,12.0,4.0,3.0,7.0,4.0,18.0,10.0,3.0,14.0,5.0,20.0,27.0,0.0,9.0,17.0,28.0,4.0,55.0,22.0,1.0,16.0,8.0,7.0,0.0
