,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
10,2842406474.0,244.0,140.0,5.0,22.0,128.0,20.0,120.0,192.0,46.0,0.0,105.0,153.0,36.0,264.0,26.0,117.0,60.0,59.0,186.0,194.0,79.0,0.0,42.0,91.0,171.0,17.0,64.0,148.0,195.0,30.0,58.0,34.0,287.0,16.0,64.0,94.0,116.0,480.0,302.0,93.0,9.0,51.0,43.0,38.0,66.0,49.0,69.0,248.0,89.0,177.0,44.0,73.0,148.0,192.0,243.0,84.0,25.0,193.0,79.0,28.0,21.0,126.0,41.0,59.0,150.0,130.0,13.0,0.0,83.0,46.0,38.0,84.0,554.0,36.0,65.0,36.0,0.0,26.0,52.0,11.0,41.0,377.0,40.0,329.0,64.0,33.0,3.0,33.0,117.0
11,2921306660.0,131.0,109.0,5.0,11.0,89.0,10.0,25.0,65.0,6.0,105.0,0.0,64.0,17.0,43.0,23.0,36.0,45.0,18.0,124.0,52.0,71.0,0.0,7.0,56.0,41.0,16.0,13.0,66.0,42.0,17.0,31.0,26.0,121.0,10.0,23.0,34.0,63.0,140.0,105.0,53.0,8.0,31.0,17.0,14.0,31.0,15.0,29.0,94.0,69.0,93.0,32.0,32.0,37.0,64.0,77.0,17.0,15.0,67.0,50.0,15.0,3.0,28.0,35.0,28.0,65.0,38.0,12.0,0.0,48.0,22.0,18.0,27.0,148.0,14.0,15.0,16.0,0.0,7.0,25.0,7.0,25.0,98.0,17.0,64.0,18.0,11.0,5.0,16.0,70.0
12,327043630.0,149.0,102.0,3.0,15.0,98.0,8.0,47.0,76.0,39.0,153.0,64.0,0.0,27.0,108.0,15.0,62.0,32.0,26.0,109.0,109.0,50.0,0.0,19.0,62.0,76.0,11.0,27.0,72.0,53.0,15.0,47.0,17.0,164.0,6.0,38.0,61.0,62.0,211.0,135.0,57.0,4.0,33.0,37.0,26.0,42.0,21.0,39.0,107.0,51.0,102.0,25.0,34.0,77.0,118.0,137.0,54.0,17.0,93.0,51.0,20.0,13.0,73.0,25.0,33.0,84.0,69.0,7.0,0.0,49.0,27.0,27.0,61.0,239.0,27.0,33.0,28.0,0.0,26.0,40.0,5.0,29.0,203.0,40.0,117.0,30.0,25.0,2.0,25.0,69.0
13,327444253.0,33.0,25.0,2.0,8.0,47.0,4.0,5.0,10.0,11.0,36.0,17.0,27.0,0.0,50.0,8.0,25.0,10.0,7.0,20.0,89.0,11.0,0.0,4.0,18.0,17.0,4.0,7.0,25.0,10.0,9.0,197.0,3.0,32.0,1.0,13.0,33.0,24.0,62.0,36.0,22.0,2.0,9.0,20.0,6.0,43.0,8.0,22.0,83.0,11.0,25.0,6.0,18.0,32.0,77.0,88.0,23.0,11.0,41.0,20.0,13.0,2.0,26.0,13.0,10.0,32.0,29.0,5.0,0.0,9.0,7.0,225.0,34.0,42.0,13.0,20.0,230.0,0.0,8.0,18.0,4.0,14.0,197.0,26.0,43.0,32.0,10.0,1.0,221.0,14.0
14,3395146690.0,121.0,75.0,4.0,20.0,95.0,9.0,61.0,96.0,65.0,264.0,43.0,108.0,50.0,0.0,20.0,82.0,34.0,54.0,62.0,178.0,32.0,0.0,32.0,56.0,122.0,6.0,61.0,80.0,156.0,16.0,109.0,21.0,161.0,7.0,41.0,59.0,61.0,245.0,166.0,46.0,5.0,33.0,40.0,33.0,82.0,33.0,44.0,138.0,39.0,90.0,23.0,50.0,89.0,175.0,209.0,75.0,34.0,118.0,48.0,22.0,16.0,105.0,26.0,41.0,84.0,100.0,9.0,0.0,55.0,31.0,53.0,61.0,262.0,31.0,42.0,50.0,0.0,45.0,37.0,8.0,27.0,373.0,40.0,196.0,44.0,32.0,2.0,48.0,65.0
15,346499792.0,25.0,22.0,3.0,8.0,25.0,8.0,10.0,18.0,5.0,26.0,23.0,15.0,8.0,20.0,0.0,11.0,14.0,7.0,26.0,12.0,15.0,0.0,5.0,16.0,11.0,4.0,6.0,13.0,16.0,7.0,10.0,6.0,23.0,5.0,5.0,12.0,17.0,28.0,21.0,10.0,4.0,10.0,3.0,5.0,11.0,4.0,11.0,19.0,17.0,19.0,11.0,14.0,14.0,14.0,21.0,7.0,7.0,19.0,16.0,7.0,1.0,8.0,13.0,11.0,19.0,9.0,7.0,0.0,13.0,9.0,7.0,9.0,28.0,9.0,5.0,5.0,0.0,4.0,9.0,2.0,11.0,22.0,6.0,12.0,8.0,6.0,2.0,6.0,15.0
16,3669478513.0,85.0,44.0,2.0,12.0,53.0,6.0,53.0,71.0,24.0,117.0,36.0,62.0,25.0,82.0,11.0,0.0,32.0,38.0,43.0,81.0,35.0,0.0,24.0,41.0,71.0,5.0,43.0,70.0,69.0,20.0,35.0,19.0,89.0,5.0,33.0,46.0,48.0,163.0,119.0,50.0,4.0,29.0,33.0,31.0,41.0,25.0,39.0,94.0,43.0,73.0,27.0,30.0,63.0,94.0,117.0,34.0,14.0,75.0,36.0,16.0,5.0,64.0,27.0,45.0,67.0,73.0,9.0,0.0,55.0,37.0,26.0,42.0,161.0,14.0,27.0,26.0,0.0,17.0,22.0,7.0,19.0,145.0,27.0,132.0,26.0,19.0,1.0,24.0,41.0
17,3690672558.0,80.0,48.0,3.0,10.0,49.0,8.0,19.0,35.0,8.0,60.0,45.0,32.0,10.0,34.0,14.0,32.0,0.0,13.0,57.0,32.0,45.0,0.0,7.0,46.0,23.0,6.0,11.0,46.0,33.0,17.0,20.0,16.0,67.0,6.0,21.0,21.0,50.0,84.0,57.0,41.0,5.0,28.0,11.0,11.0,23.0,11.0,25.0,62.0,56.0,62.0,29.0,18.0,21.0,35.0,45.0,16.0,16.0,36.0,35.0,10.0,3.0,21.0,31.0,21.0,42.0,36.0,9.0,0.0,44.0,21.0,12.0,19.0,73.0,12.0,7.0,10.0,0.0,9.0,19.0,7.0,20.0,59.0,11.0,54.0,13.0,12.0,2.0,10.0,36.0
18,3697461972.0,30.0,17.0,2.0,5.0,20.0,3.0,30.0,48.0,6.0,59.0,18.0,26.0,7.0,54.0,7.0,38.0,13.0,0.0,21.0,12.0,15.0,0.0,12.0,17.0,19.0,4.0,34.0,31.0,59.0,8.0,10.0,8.0,42.0,2.0,13.0,13.0,19.0,57.0,46.0,14.0,2.0,14.0,16.0,17.0,16.0,11.0,14.0,24.0,17.0,31.0,17.0,16.0,27.0,22.0,39.0,9.0,8.0,20.0,14.0,12.0,1.0,18.0,15.0,18.0,23.0,25.0,5.0,0.0,29.0,19.0,8.0,13.0,55.0,8.0,7.0,7.0,0.0,5.0,10.0,5.0,14.0,45.0,9.0,60.0,8.0,9.0,1.0,7.0,23.0
19,3867235214.0,293.0,174.0,4.0,12.0,111.0,26.0,26.0,135.0,24.0,186.0,124.0,109.0,20.0,62.0,26.0,43.0,57.0,21.0,0.0,73.0,112.0,0.0,7.0,73.0,73.0,17.0,10.0,77.0,60.0,41.0,34.0,64.0,220.0,12.0,32.0,35.0,110.0,296.0,155.0,116.0,7.0,40.0,12.0,11.0,51.0,16.0,31.0,179.0,111.0,194.0,45.0,32.0,45.0,69.0,98.0,42.0,21.0,72.0,66.0,13.0,6.0,35.0,42.0,25.0,68.0,63.0,6.0,0.0,69.0,19.0,16.0,32.0,337.0,20.0,19.0,17.0,0.0,17.0,42.0,6.0,29.0,185.0,15.0,115.0,16.0,20.0,5.0,14.0,120.0
