,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
17,2482630440.0,0.0,22.0,11.0,27.0,159.0,0.0,0.0,0.0,121.0,210.0,219.0,0.0,31.0,8.0,96.0,52.0,0.0,6.0,12.0,97.0,190.0,138.0,164.0,48.0,55.0,18.0,6.0,138.0,0.0,76.0,34.0,8.0,83.0,1.0,45.0,75.0,141.0,120.0,81.0,44.0,53.0,0.0,127.0,98.0,65.0,67.0,21.0,73.0,67.0,21.0,0.0,74.0
18,2737752324.0,4.0,3.0,1.0,19.0,15.0,0.0,0.0,0.0,20.0,22.0,33.0,0.0,16.0,3.0,26.0,4.0,6.0,0.0,0.0,7.0,14.0,18.0,30.0,18.0,14.0,2.0,0.0,19.0,1.0,14.0,17.0,4.0,9.0,2.0,1.0,2.0,7.0,11.0,11.0,3.0,1.0,0.0,8.0,6.0,15.0,14.0,2.0,7.0,19.0,5.0,1.0,11.0
19,2752498194.0,4.0,4.0,0.0,14.0,30.0,1.0,0.0,0.0,30.0,28.0,50.0,0.0,12.0,7.0,27.0,5.0,12.0,0.0,0.0,6.0,22.0,15.0,30.0,12.0,6.0,1.0,1.0,18.0,0.0,23.0,11.0,0.0,7.0,2.0,1.0,2.0,8.0,14.0,28.0,5.0,3.0,0.0,7.0,8.0,27.0,6.0,0.0,15.0,14.0,4.0,0.0,20.0
20,2757618141.0,6.0,27.0,1.0,25.0,177.0,0.0,0.0,0.0,104.0,213.0,163.0,0.0,22.0,8.0,45.0,69.0,97.0,7.0,6.0,0.0,175.0,144.0,123.0,26.0,58.0,19.0,5.0,111.0,3.0,29.0,20.0,10.0,91.0,2.0,68.0,67.0,123.0,115.0,53.0,56.0,82.0,0.0,96.0,110.0,37.0,58.0,50.0,89.0,37.0,20.0,0.0,78.0
21,2874712030.0,9.0,24.0,12.0,65.0,261.0,1.0,0.0,0.0,199.0,398.0,369.0,0.0,60.0,20.0,165.0,79.0,190.0,14.0,22.0,175.0,0.0,202.0,285.0,88.0,94.0,23.0,7.0,230.0,2.0,126.0,57.0,13.0,116.0,5.0,65.0,92.0,208.0,177.0,138.0,69.0,67.0,0.0,161.0,134.0,92.0,109.0,21.0,115.0,119.0,36.0,2.0,113.0
22,298368845.0,2.0,43.0,10.0,56.0,220.0,0.0,0.0,0.0,207.0,297.0,342.0,0.0,109.0,3.0,155.0,79.0,138.0,18.0,15.0,144.0,202.0,0.0,277.0,106.0,144.0,21.0,8.0,196.0,6.0,112.0,50.0,25.0,102.0,2.0,48.0,58.0,177.0,162.0,109.0,50.0,71.0,0.0,114.0,118.0,93.0,173.0,28.0,140.0,206.0,38.0,2.0,112.0
23,301897844.0,25.0,130.0,17.0,126.0,260.0,2.0,0.0,0.0,279.0,512.0,640.0,0.0,172.0,38.0,411.0,56.0,164.0,30.0,30.0,123.0,285.0,277.0,0.0,213.0,113.0,21.0,10.0,257.0,2.0,216.0,113.0,32.0,96.0,9.0,37.0,54.0,166.0,146.0,181.0,53.0,42.0,0.0,144.0,89.0,142.0,189.0,24.0,267.0,590.0,48.0,5.0,143.0
24,3145685875.0,5.0,10.0,6.0,70.0,78.0,1.0,0.0,1.0,121.0,148.0,201.0,0.0,98.0,6.0,150.0,17.0,48.0,18.0,12.0,26.0,88.0,106.0,213.0,0.0,60.0,6.0,2.0,95.0,10.0,108.0,62.0,78.0,47.0,5.0,11.0,9.0,48.0,51.0,67.0,14.0,13.0,0.0,37.0,33.0,66.0,100.0,2.0,42.0,241.0,28.0,1.0,68.0
25,3300687463.0,1.0,15.0,7.0,41.0,96.0,0.0,0.0,0.0,120.0,132.0,174.0,0.0,53.0,2.0,104.0,40.0,55.0,14.0,6.0,58.0,94.0,144.0,113.0,60.0,0.0,6.0,5.0,99.0,2.0,72.0,45.0,7.0,75.0,1.0,31.0,24.0,108.0,86.0,64.0,24.0,33.0,0.0,57.0,58.0,57.0,103.0,5.0,54.0,66.0,31.0,0.0,71.0
26,3556938143.0,0.0,2.0,0.0,5.0,24.0,0.0,0.0,0.0,16.0,24.0,23.0,0.0,2.0,3.0,9.0,16.0,18.0,2.0,1.0,19.0,23.0,21.0,21.0,6.0,6.0,0.0,2.0,23.0,0.0,8.0,6.0,1.0,14.0,1.0,6.0,13.0,16.0,16.0,9.0,10.0,9.0,0.0,14.0,15.0,8.0,8.0,3.0,13.0,9.0,6.0,0.0,11.0
