,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
10,147181716.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,6.0,0.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,158025648.0,0.0,3.0,26.0,4.0,3.0,91.0,4.0,0.0,1.0,8.0,0.0,1.0,30.0,8.0,23.0,3.0,1.0,0.0,0.0,2.0,31.0,1.0,0.0,0.0,0.0,22.0,68.0,5.0,0.0,7.0,5.0,8.0,0.0,5.0,5.0,10.0,64.0,1.0,16.0,0.0,6.0,4.0,0.0,1.0,1.0,16.0,1.0,15.0,6.0,5.0,0.0,14.0,7.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,37.0,3.0,0.0,34.0,7.0,1.0,8.0,15.0,33.0,2.0,0.0,1.0,0.0,15.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,21.0,51.0,0.0,0.0,5.0,3.0
12,1685837238.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,19167916.0,1.0,1.0,18.0,2.0,1.0,13.0,2.0,0.0,0.0,7.0,30.0,1.0,0.0,5.0,13.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,27.0,24.0,9.0,0.0,36.0,3.0,0.0,0.0,2.0,6.0,3.0,10.0,1.0,27.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,2.0,5.0,11.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,12.0,4.0,0.0,29.0,6.0,3.0,16.0,4.0,6.0,1.0,0.0,5.0,0.0,5.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,24.0,1.0,0.0,2.0,2.0
14,1938189192.0,0.0,0.0,4.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,2.0,0.0
15,20526287.0,0.0,3.0,7.0,3.0,2.0,26.0,14.0,0.0,1.0,2.0,23.0,1.0,13.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,5.0,29.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,2.0,4.0,20.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,10.0,1.0,7.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,1.0,0.0,18.0,6.0,1.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,0.0,0.0,1.0,2.0
16,2191192088.0,10.0,10.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,1.0,3.0,8.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,34.0,3.0,3.0,1.0,0.0,1.0,2.0
17,220177325.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,7.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,76.0,1.0,5.0,1.0,24.0,0.0,1.0,18.0,6.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,2.0,0.0,0.0,0.0,1.0
18,2212610394.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,221514648.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
20,229366102.0,35.0,26.0,1.0,1.0,1.0,27.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,9.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,15.0,1.0,2.0,2.0,2.0,41.0,0.0,0.0,107.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,7.0,0.0,11.0,5.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,2.0,8.0,0.0,0.0,0.0,1.0
21,242074147.0,0.0,1.0,13.0,3.0,3.0,36.0,1.0,1.0,1.0,2.0,31.0,0.0,9.0,6.0,7.0,1.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,217.0,1.0,1.0,1.0,2.0,11.0,0.0,12.0,2.0,169.0,17.0,1.0,10.0,0.0,17.0,4.0,0.0,1.0,1.0,27.0,1.0,61.0,3.0,14.0,0.0,6.0,218.0,31.0,0.0,12.0,0.0,0.0,47.0,0.0,20.0,1.0,0.0,23.0,6.0,2.0,5.0,47.0,71.0,3.0,0.0,0.0,0.0,8.0,11.0,0.0,3.0,3.0,2.0,0.0,0.0,5.0,312.0,30.0,1.0,0.0,4.0,17.0
22,2495858150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23,2509545043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
