,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
10,163557119.0,3.0,3.0,10.0,3.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,12.0,7.0,4.0,1.0,9.0,6.0,1.0,9.0,0.0,5.0,2.0,0.0,0.0,9.0,4.0,4.0,9.0,0.0,13.0,1.0,2.0,0.0,18.0,2.0,41.0,5.0,17.0,3.0,19.0,0.0,6.0,3.0,19.0,42.0,1.0,4.0,2.0,19.0,9.0,2.0,0.0,19.0,23.0,49.0,7.0,23.0,14.0
11,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,17964981.0,9.0,26.0,10.0,144.0,44.0,15.0,37.0,5.0,26.0,12.0,1.0,0.0,8.0,7.0,2.0,22.0,4.0,13.0,33.0,10.0,13.0,5.0,0.0,9.0,35.0,9.0,11.0,60.0,0.0,57.0,65.0,69.0,3.0,4.0,4.0,77.0,11.0,38.0,40.0,61.0,0.0,24.0,6.0,173.0,26.0,3.0,8.0,0.0,348.0,26.0,0.0,1.0,1.0,8.0,36.0,15.0,58.0,22.0
13,1926527911.0,3.0,1.0,5.0,1.0,7.0,0.0,10.0,2.0,0.0,7.0,0.0,8.0,0.0,2.0,1.0,10.0,5.0,1.0,16.0,1.0,3.0,9.0,0.0,0.0,9.0,10.0,4.0,10.0,0.0,12.0,1.0,1.0,0.0,5.0,0.0,18.0,8.0,11.0,2.0,11.0,0.0,9.0,7.0,11.0,18.0,6.0,3.0,3.0,13.0,9.0,10.0,5.0,3.0,8.0,38.0,11.0,8.0,5.0
14,194918485.0,3.0,4.0,4.0,6.0,7.0,0.0,11.0,2.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,8.0,0.0,7.0,2.0,8.0,2.0,1.0,1.0,12.0,3.0,5.0,1.0,9.0,0.0,11.0,0.0,18.0,6.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,1.0,6.0,3.0,11.0,5.0
15,2393746339.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0
16,2447364171.0,6.0,3.0,4.0,13.0,22.0,0.0,29.0,1.0,0.0,9.0,0.0,22.0,10.0,6.0,1.0,0.0,4.0,5.0,27.0,1.0,1.0,7.0,1.0,0.0,26.0,2.0,3.0,38.0,0.0,52.0,0.0,11.0,2.0,1.0,1.0,40.0,11.0,37.0,4.0,35.0,0.0,39.0,5.0,44.0,13.0,0.0,2.0,0.0,53.0,24.0,0.0,0.0,0.0,1.0,43.0,10.0,17.0,19.0
17,2457942650.0,2.0,0.0,6.0,0.0,5.0,0.0,8.0,1.0,0.0,6.0,0.0,4.0,5.0,3.0,0.0,4.0,0.0,1.0,7.0,0.0,52.0,3.0,0.0,0.0,8.0,3.0,3.0,6.0,0.0,7.0,0.0,0.0,0.0,8.0,1.0,14.0,3.0,9.0,0.0,9.0,0.0,6.0,0.0,6.0,10.0,2.0,2.0,0.0,7.0,5.0,2.0,1.0,0.0,3.0,15.0,5.0,8.0,2.0
18,260638630.0,3.0,14.0,5.0,0.0,13.0,2.0,7.0,21.0,0.0,1.0,0.0,13.0,1.0,4.0,1.0,5.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,4.0,5.0,0.0,9.0,5.0,18.0,8.0,1.0,0.0,19.0,2.0,5.0,3.0,8.0,0.0,6.0,0.0,41.0,5.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,4.0,6.0,4.0,20.0,6.0
19,2838321558.0,8.0,10.0,6.0,6.0,26.0,0.0,28.0,3.0,0.0,9.0,0.0,33.0,16.0,4.0,2.0,27.0,7.0,7.0,0.0,0.0,7.0,16.0,0.0,9.0,32.0,16.0,9.0,43.0,0.0,73.0,13.0,16.0,1.0,6.0,1.0,40.0,14.0,31.0,12.0,25.0,0.0,25.0,9.0,35.0,25.0,11.0,11.0,4.0,49.0,29.0,9.0,4.0,2.0,11.0,50.0,16.0,23.0,19.0
20,2848697688.0,0.0,2.0,1.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,7.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0
