,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,1653216348.0,161.0,58.0,112.0,116.0,35.0,133.0,29.0,211.0,368.0,0.0,2.0,3.0,25.0,17.0,40.0,29.0,42.0,20.0,104.0,43.0,167.0,308.0,64.0,160.0,17.0,65.0,129.0,68.0,3.0,106.0,272.0,226.0,4.0,40.0,2.0,94.0,83.0,16.0,22.0,74.0,0.0,104.0,55.0,76.0,8.0,0.0,252.0,4.0,16.0,51.0,46.0,97.0,17.0,290.0,259.0,14.0,160.0,417.0,13.0,191.0,44.0,152.0,4.0,5.0,25.0,17.0,189.0,30.0,6.0,1.0,161.0
11,1728086898.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0
12,177192126.0,4.0,0.0,4.0,10.0,0.0,2.0,8.0,3.0,3.0,3.0,0.0,0.0,4.0,1.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,21.0,5.0,0.0,6.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,2187050920.0,20.0,13.0,28.0,23.0,2.0,41.0,15.0,24.0,60.0,25.0,2.0,4.0,0.0,14.0,21.0,35.0,1.0,15.0,6.0,19.0,25.0,88.0,42.0,29.0,2.0,14.0,19.0,16.0,5.0,20.0,57.0,38.0,0.0,23.0,0.0,6.0,35.0,8.0,6.0,17.0,0.0,9.0,57.0,6.0,7.0,0.0,11.0,3.0,13.0,16.0,11.0,28.0,23.0,35.0,42.0,6.0,28.0,64.0,5.0,20.0,19.0,30.0,2.0,6.0,3.0,9.0,37.0,30.0,4.0,2.0,3.0
14,229804350.0,14.0,8.0,18.0,14.0,1.0,23.0,4.0,20.0,27.0,17.0,0.0,1.0,14.0,0.0,5.0,18.0,2.0,6.0,6.0,12.0,21.0,24.0,11.0,21.0,2.0,15.0,18.0,17.0,5.0,14.0,18.0,22.0,0.0,6.0,0.0,7.0,19.0,0.0,3.0,16.0,0.0,14.0,15.0,8.0,3.0,0.0,13.0,2.0,3.0,9.0,10.0,19.0,6.0,25.0,26.0,0.0,17.0,31.0,3.0,19.0,14.0,25.0,1.0,0.0,2.0,5.0,23.0,14.0,5.0,1.0,6.0
15,242684798.0,34.0,9.0,57.0,45.0,6.0,18.0,66.0,38.0,63.0,40.0,3.0,9.0,21.0,5.0,0.0,15.0,1.0,10.0,8.0,17.0,19.0,79.0,49.0,23.0,2.0,21.0,10.0,11.0,2.0,22.0,94.0,35.0,0.0,58.0,2.0,3.0,19.0,6.0,8.0,7.0,0.0,8.0,33.0,7.0,1.0,0.0,24.0,5.0,13.0,13.0,10.0,26.0,18.0,36.0,25.0,9.0,24.0,51.0,2.0,17.0,10.0,19.0,1.0,5.0,4.0,12.0,23.0,30.0,2.0,0.0,8.0
16,2482229306.0,19.0,15.0,37.0,19.0,3.0,31.0,15.0,44.0,73.0,29.0,1.0,0.0,35.0,18.0,15.0,0.0,3.0,14.0,9.0,29.0,33.0,71.0,44.0,39.0,4.0,21.0,33.0,26.0,4.0,26.0,52.0,41.0,0.0,8.0,4.0,11.0,58.0,0.0,4.0,24.0,0.0,18.0,36.0,7.0,2.0,0.0,18.0,0.0,5.0,19.0,22.0,33.0,11.0,38.0,54.0,1.0,35.0,56.0,7.0,38.0,32.0,44.0,1.0,4.0,6.0,5.0,43.0,41.0,6.0,2.0,10.0
17,271542060.0,15.0,9.0,10.0,13.0,9.0,14.0,1.0,16.0,32.0,42.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,4.0,19.0,6.0,18.0,29.0,3.0,21.0,7.0,8.0,18.0,11.0,1.0,8.0,33.0,23.0,1.0,1.0,0.0,11.0,12.0,0.0,3.0,54.0,0.0,16.0,8.0,13.0,1.0,0.0,24.0,0.0,3.0,9.0,5.0,8.0,1.0,23.0,25.0,0.0,16.0,43.0,2.0,16.0,6.0,14.0,0.0,0.0,5.0,3.0,20.0,2.0,2.0,1.0,10.0
18,2752498194.0,24.0,10.0,15.0,13.0,4.0,19.0,8.0,31.0,37.0,20.0,1.0,1.0,15.0,6.0,10.0,14.0,4.0,0.0,12.0,15.0,23.0,37.0,21.0,18.0,3.0,14.0,11.0,13.0,1.0,17.0,25.0,25.0,1.0,5.0,0.0,6.0,21.0,0.0,2.0,9.0,0.0,8.0,23.0,10.0,4.0,0.0,13.0,1.0,1.0,11.0,9.0,10.0,12.0,29.0,30.0,0.0,20.0,40.0,4.0,27.0,17.0,21.0,0.0,5.0,4.0,7.0,23.0,18.0,3.0,0.0,11.0
19,2864877319.0,34.0,18.0,34.0,34.0,5.0,40.0,6.0,64.0,86.0,104.0,2.0,0.0,6.0,6.0,8.0,9.0,19.0,12.0,0.0,19.0,49.0,73.0,9.0,71.0,19.0,24.0,47.0,58.0,0.0,38.0,53.0,65.0,1.0,9.0,0.0,28.0,39.0,2.0,6.0,25.0,0.0,52.0,13.0,29.0,5.0,0.0,49.0,0.0,5.0,18.0,9.0,25.0,2.0,71.0,84.0,2.0,36.0,86.0,7.0,60.0,17.0,50.0,0.0,1.0,8.0,2.0,48.0,5.0,3.0,0.0,48.0
