,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
10,157654264.0,0.0,5.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,7.0,1.0,1.0,12.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,5.0,3.0,1.0,11.0,7.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,1.0,3.0,2.0,1.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,8.0,9.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
11,164958548.0,20.0,10.0,2.0,9.0,46.0,10.0,1.0,12.0,0.0,7.0,0.0,7.0,0.0,77.0,3.0,1.0,8.0,2.0,0.0,0.0,1.0,2.0,0.0,52.0,7.0,11.0,2.0,42.0,30.0,2.0,7.0,0.0,0.0,2.0,5.0,0.0,1.0,25.0,13.0,0.0,8.0,6.0,16.0,2.0,11.0,2.0,29.0,4.0,17.0,1.0,1.0,10.0,37.0,31.0,12.0,9.0,1.0,1.0,6.0,1.0,1.0
12,170187186.0,6.0,2.0,3.0,4.0,18.0,8.0,1.0,5.0,2.0,1.0,7.0,0.0,1.0,39.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,34.0,2.0,7.0,1.0,19.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,4.0,1.0,10.0,9.0,8.0,1.0,7.0,4.0,3.0,4.0,16.0,0.0,0.0,9.0,25.0,20.0,1.0,6.0,2.0,2.0,5.0,0.0,0.0
13,184737830.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18711950.0,16.0,16.0,11.0,20.0,95.0,22.0,3.0,10.0,3.0,12.0,77.0,39.0,2.0,0.0,11.0,2.0,15.0,13.0,0.0,0.0,3.0,3.0,0.0,212.0,8.0,19.0,1.0,144.0,131.0,1.0,10.0,2.0,1.0,4.0,7.0,0.0,1.0,94.0,30.0,2.0,43.0,12.0,31.0,2.0,11.0,8.0,28.0,14.0,47.0,1.0,1.0,22.0,145.0,41.0,5.0,9.0,4.0,1.0,15.0,1.0,2.0
15,1941172716.0,3.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,2.0,7.0,5.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0
16,2283484512.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,4.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,229829840.0,4.0,3.0,3.0,4.0,16.0,4.0,0.0,2.0,0.0,2.0,8.0,3.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,2.0,0.0,9.0,4.0,10.0,0.0,11.0,1.0,5.0,18.0,3.0,0.0,0.0,4.0,15.0,4.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0
18,238447043.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2389257901.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
