,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
10,1106546958.0,1.0,0.0,0.0,0.0,5.0,30.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,8.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0
11,111652047.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,112555383.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,113009001.0,2.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,7.0,8.0,2.0,2.0,5.0,26.0,1.0,77.0,23.0,0.0,1.0,7.0,29.0,1.0,3.0,1.0,1.0,3.0,0.0,11.0,0.0,3.0,31.0,94.0,1.0,87.0,6.0,3.0,0.0,14.0,11.0,18.0,14.0,2.0,1.0,11.0,0.0,0.0,2.0,2.0,1.0,2.0,6.0,0.0,16.0,11.0,5.0,1.0,3.0,0.0,0.0,1.0,44.0,0.0,3.0,6.0,2.0,1.0,1.0,10.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,36.0,65.0,13.0,4.0,1.0,19.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,73.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,5.0,7.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,33.0,3.0,2.0,5.0,8.0,93.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,15.0,2.0,1.0,0.0,1.0,3.0
14,113547701.0,1.0,0.0,3.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,2.0,5.0,20.0,8.0,0.0,4.0,17.0,0.0,14.0,8.0,3.0,0.0,9.0,30.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,19.0,2.0,40.0,2.0,1.0,0.0,12.0,6.0,12.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,16.0,18.0,4.0,0.0,3.0,1.0,0.0,0.0,16.0,1.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,26.0,3.0,0.0,1.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,13.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,31.0,3.0,4.0,2.0,6.0,23.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
15,115171828.0,2.0,3.0,2.0,0.0,25.0,7.0,20.0,0.0,3.0,3.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0,5.0,1.0,13.0,3.0,12.0,0.0,5.0,4.0,5.0,0.0,0.0,8.0,6.0,5.0,21.0,4.0,6.0,4.0,0.0,42.0,2.0,2.0,3.0,10.0,13.0,4.0,21.0,1.0,0.0,10.0,0.0,7.0,6.0,0.0,2.0,22.0,0.0,0.0,5.0,5.0,1.0,4.0,1.0,0.0,1.0,0.0,18.0,3.0,21.0,6.0,8.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,10.0,5.0,3.0,0.0,20.0,1.0,9.0,0.0,0.0,1.0,10.0,4.0,4.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,15.0,8.0,1.0,1.0,0.0,3.0,17.0,1.0,3.0,0.0,14.0,1.0,13.0,2.0,2.0,1.0,2.0,8.0,1.0,0.0,4.0,20.0,1.0,3.0,5.0,5.0,10.0,24.0,15.0,4.0,2.0,13.0,1.0,12.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,8.0
16,11679522.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,24.0,0.0,4.0,1.0,4.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,22.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,1.0,7.0,7.0,0.0,5.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
17,117776777.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
18,118310418.0,4.0,1.0,2.0,1.0,18.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,7.0,5.0,5.0,0.0,0.0,0.0,5.0,3.0,2.0,7.0,4.0,0.0,9.0,4.0,0.0,3.0,9.0,11.0,5.0,1.0,10.0,2.0,4.0,0.0,3.0,2.0,3.0,5.0,11.0,3.0,9.0,3.0,1.0,0.0,5.0,0.0,11.0,7.0,0.0,0.0,15.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,7.0,3.0,11.0,0.0,6.0,1.0,0.0,0.0,5.0,4.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,16.0,12.0,3.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,1.0,0.0,10.0,3.0,0.0,3.0,0.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,7.0,3.0,11.0,6.0,2.0,4.0,18.0,10.0,3.0,1.0,9.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0
19,1185159512.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,20.0,1.0,0.0,1.0,5.0,0.0,7.0,1.0,1.0,7.0,0.0,10.0,7.0,7.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,14.0,0.0,18.0,1.0,9.0,0.0,5.0,4.0,5.0,5.0,29.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,47.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,1.0,1.0,2.0,3.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0
