,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
21,357984828.0,12.0,11.0,4.0,2.0,3.0,4.0,23.0,4.0,5.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,15.0,2.0,2.0,1.0,3.0,5.0,6.0,15.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,18.0
22,360529443.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
23,3668038033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,45137931.0,5.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
25,54605056.0,14.0,14.0,8.0,8.0,3.0,4.0,53.0,3.0,4.0,0.0,2.0,3.0,9.0,2.0,3.0,2.0,3.0,0.0,1.0,17.0,9.0,2.0,0.0,1.0,0.0,24.0,4.0,4.0,4.0,11.0,4.0,8.0,21.0,0.0,5.0,0.0,3.0,4.0,0.0,5.0,31.0
26,54634852.0,31.0,33.0,18.0,21.0,8.0,8.0,170.0,6.0,21.0,0.0,29.0,17.0,22.0,7.0,3.0,10.0,11.0,2.0,5.0,47.0,15.0,3.0,0.0,5.0,24.0,0.0,44.0,7.0,15.0,59.0,20.0,9.0,89.0,0.0,20.0,0.0,29.0,18.0,0.0,16.0,104.0
27,570480143.0,7.0,23.0,9.0,13.0,2.0,3.0,81.0,0.0,1.0,0.0,3.0,16.0,10.0,0.0,0.0,6.0,0.0,3.0,0.0,11.0,2.0,0.0,0.0,0.0,4.0,44.0,0.0,1.0,13.0,37.0,7.0,6.0,59.0,0.0,5.0,0.0,39.0,18.0,0.0,12.0,66.0
28,57758737.0,6.0,1.0,2.0,1.0,0.0,2.0,13.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0
29,65885323.0,3.0,16.0,4.0,5.0,0.0,1.0,23.0,0.0,0.0,0.0,1.0,6.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,15.0,13.0,1.0,0.0,11.0,1.0,3.0,15.0,0.0,3.0,0.0,11.0,9.0,0.0,4.0,20.0
30,7.371646034995118e+17,24.0,32.0,13.0,14.0,13.0,6.0,131.0,2.0,4.0,0.0,19.0,11.0,14.0,5.0,0.0,10.0,10.0,8.0,1.0,27.0,3.0,0.0,0.0,3.0,11.0,59.0,37.0,2.0,11.0,0.0,13.0,19.0,78.0,0.0,15.0,0.0,30.0,22.0,0.0,22.0,62.0
