,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10,2197757270.0,15.0,7.0,0.0,19.0,2.0,1.0,7.0,11.0,0.0,0.0,26.0,2.0,2.0,4.0,15.0,7.0,5.0,2.0,1.0,0.0,0.0,9.0,1.0,3.0,0.0,0.0,19.0,8.0,3.0,1.0,0.0,3.0,5.0,2.0,1.0,2.0,1.0,4.0,0.0,3.0,4.0,0.0,1.0,2.0,2.0,0.0
11,241081044.0,20.0,9.0,0.0,42.0,2.0,3.0,32.0,7.0,0.0,26.0,0.0,6.0,4.0,15.0,38.0,9.0,9.0,5.0,4.0,2.0,1.0,8.0,0.0,22.0,1.0,2.0,33.0,11.0,13.0,0.0,5.0,9.0,9.0,6.0,6.0,6.0,3.0,13.0,0.0,8.0,7.0,0.0,3.0,2.0,3.0,1.0
12,269978757.0,47.0,43.0,3.0,20.0,1.0,5.0,49.0,3.0,0.0,2.0,6.0,0.0,17.0,34.0,56.0,18.0,16.0,6.0,6.0,6.0,0.0,20.0,1.0,3.0,18.0,2.0,23.0,5.0,4.0,0.0,0.0,21.0,20.0,10.0,8.0,6.0,8.0,21.0,0.0,14.0,26.0,0.0,12.0,9.0,11.0,1.0
13,2846362532.0,54.0,70.0,52.0,40.0,13.0,18.0,111.0,2.0,0.0,2.0,4.0,17.0,0.0,105.0,124.0,68.0,26.0,19.0,33.0,9.0,2.0,11.0,7.0,1.0,91.0,0.0,18.0,17.0,0.0,0.0,0.0,105.0,66.0,29.0,19.0,38.0,23.0,78.0,0.0,38.0,86.0,2.0,53.0,74.0,49.0,7.0
14,2889460490.0,105.0,132.0,13.0,85.0,21.0,171.0,295.0,4.0,0.0,4.0,15.0,34.0,105.0,0.0,459.0,147.0,83.0,48.0,51.0,13.0,3.0,28.0,9.0,3.0,256.0,3.0,37.0,38.0,6.0,0.0,0.0,279.0,260.0,210.0,41.0,18.0,54.0,202.0,0.0,82.0,181.0,16.0,140.0,219.0,54.0,208.0
15,2985478597.0,186.0,187.0,17.0,150.0,31.0,87.0,511.0,21.0,0.0,15.0,38.0,56.0,124.0,459.0,0.0,245.0,155.0,74.0,78.0,14.0,3.0,42.0,13.0,20.0,316.0,4.0,80.0,73.0,15.0,1.0,3.0,448.0,225.0,188.0,58.0,26.0,71.0,242.0,0.0,105.0,246.0,16.0,148.0,233.0,73.0,91.0
16,3018000188.0,65.0,76.0,8.0,79.0,31.0,24.0,254.0,8.0,0.0,7.0,9.0,18.0,68.0,147.0,245.0,0.0,34.0,41.0,52.0,9.0,5.0,10.0,9.0,2.0,114.0,1.0,37.0,41.0,4.0,0.0,5.0,203.0,82.0,62.0,41.0,13.0,40.0,111.0,0.0,52.0,133.0,5.0,62.0,102.0,46.0,11.0
17,3126889155.0,62.0,53.0,5.0,41.0,6.0,12.0,124.0,3.0,0.0,5.0,9.0,16.0,26.0,83.0,155.0,34.0,0.0,24.0,18.0,3.0,0.0,16.0,2.0,4.0,57.0,0.0,24.0,23.0,3.0,0.0,0.0,96.0,52.0,44.0,18.0,14.0,15.0,55.0,0.0,33.0,66.0,2.0,39.0,36.0,20.0,2.0
18,3229710585.0,26.0,32.0,4.0,25.0,5.0,14.0,74.0,3.0,0.0,2.0,5.0,6.0,19.0,48.0,74.0,41.0,24.0,0.0,9.0,6.0,2.0,6.0,2.0,0.0,26.0,0.0,12.0,7.0,0.0,0.0,0.0,47.0,25.0,24.0,19.0,10.0,16.0,35.0,0.0,17.0,48.0,1.0,18.0,25.0,23.0,2.0
19,3259921692.0,25.0,33.0,8.0,16.0,12.0,12.0,66.0,2.0,0.0,1.0,4.0,6.0,33.0,51.0,78.0,52.0,18.0,9.0,0.0,8.0,4.0,6.0,3.0,4.0,51.0,0.0,11.0,13.0,1.0,0.0,0.0,73.0,33.0,32.0,19.0,6.0,24.0,48.0,0.0,24.0,47.0,3.0,32.0,42.0,23.0,6.0
