,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
10,132037287.0,17.0,16.0,14.0,98.0,18.0,7.0,3.0,22.0,0.0,0.0,25.0,2.0,29.0,3.0,2.0,22.0,0.0,0.0,9.0,36.0,4.0,3.0,26.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,9.0,0.0,5.0,0.0,17.0,6.0,4.0,3.0,12.0,11.0,1.0,6.0,10.0,5.0,0.0,4.0,3.0,5.0,9.0,4.0,8.0,33.0,0.0,0.0,2.0,1.0,13.0,6.0,2.0,0.0,8.0,12.0,16.0,7.0,1.0,12.0,0.0,5.0,24.0,9.0,1.0,7.0,0.0,10.0,1.0,1.0,11.0,25.0,29.0,50.0,7.0,5.0,33.0,0.0,4.0,4.0,8.0,3.0,3.0,0.0,2.0,2.0,7.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,72.0,0.0,0.0
11,139795953.0,60.0,41.0,53.0,86.0,2.0,25.0,18.0,22.0,4.0,25.0,0.0,9.0,62.0,0.0,19.0,46.0,8.0,0.0,64.0,59.0,3.0,1.0,103.0,1.0,0.0,6.0,11.0,63.0,0.0,20.0,14.0,0.0,10.0,1.0,37.0,29.0,10.0,1.0,14.0,44.0,3.0,16.0,21.0,7.0,0.0,5.0,2.0,39.0,38.0,24.0,26.0,81.0,1.0,3.0,9.0,6.0,6.0,33.0,20.0,0.0,47.0,47.0,64.0,13.0,0.0,6.0,0.0,7.0,88.0,23.0,4.0,8.0,2.0,31.0,1.0,26.0,44.0,44.0,87.0,21.0,31.0,16.0,94.0,4.0,7.0,14.0,18.0,13.0,17.0,7.0,6.0,8.0,18.0,4.0,26.0,10.0,7.0,1.0,0.0,0.0,150.0,3.0,8.0
12,145535500.0,4.0,3.0,24.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,9.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,5.0,8.0,0.0,2.0,2.0,0.0,4.0,3.0,3.0,0.0,8.0,5.0,5.0,1.0,0.0,2.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,4.0,8.0,3.0,27.0,1.0,8.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0
13,1572975829.0,21.0,21.0,28.0,52.0,4.0,12.0,20.0,44.0,5.0,29.0,62.0,6.0,0.0,1.0,8.0,34.0,5.0,0.0,36.0,45.0,4.0,2.0,37.0,1.0,1.0,4.0,4.0,43.0,0.0,9.0,5.0,0.0,3.0,1.0,23.0,37.0,2.0,2.0,8.0,17.0,1.0,8.0,8.0,2.0,1.0,3.0,2.0,41.0,70.0,14.0,16.0,68.0,0.0,4.0,5.0,1.0,7.0,14.0,8.0,0.0,33.0,19.0,31.0,7.0,1.0,4.0,1.0,4.0,35.0,15.0,3.0,5.0,0.0,12.0,3.0,15.0,14.0,39.0,46.0,76.0,21.0,7.0,35.0,3.0,1.0,5.0,4.0,15.0,7.0,6.0,2.0,5.0,10.0,2.0,12.0,10.0,1.0,1.0,0.0,1.0,93.0,2.0,5.0
14,1623238100.0,1.0,0.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,52.0,58.0,24.0,0.0,1.0,1.0,40.0,43.0,1.0,10.0,4.0,15.0,1.0,0.0,0.0,32.0,0.0,0.0,48.0,18.0,5.0,0.0,54.0,47.0,0.0,50.0,46.0,44.0,6.0,0.0,3.0,23.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,42.0,0.0,0.0,0.0,55.0,1.0,49.0,14.0,0.0,15.0,42.0,77.0,59.0,38.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,39.0,0.0,0.0,57.0,4.0,35.0,40.0,0.0,0.0,0.0,0.0,64.0,25.0,0.0,5.0,1.0,4.0,24.0
15,1664041106.0,11.0,6.0,10.0,13.0,0.0,135.0,7.0,2.0,0.0,2.0,19.0,0.0,8.0,52.0,0.0,122.0,47.0,0.0,10.0,10.0,47.0,46.0,17.0,15.0,4.0,26.0,2.0,10.0,0.0,108.0,5.0,0.0,77.0,29.0,39.0,7.0,76.0,51.0,3.0,180.0,41.0,115.0,43.0,1.0,3.0,22.0,66.0,3.0,2.0,10.0,3.0,17.0,0.0,0.0,109.0,1.0,0.0,166.0,4.0,0.0,11.0,157.0,12.0,148.0,16.0,0.0,19.0,78.0,224.0,125.0,70.0,56.0,0.0,117.0,0.0,17.0,8.0,5.0,8.0,6.0,15.0,1.0,13.0,29.0,3.0,82.0,4.0,3.0,120.0,15.0,65.0,59.0,1.0,0.0,14.0,2.0,121.0,47.0,0.0,6.0,32.0,7.0,54.0
16,1688754036.0,24.0,22.0,30.0,43.0,0.0,144.0,13.0,14.0,3.0,22.0,46.0,5.0,34.0,58.0,122.0,0.0,51.0,0.0,47.0,48.0,67.0,41.0,43.0,17.0,7.0,34.0,11.0,34.0,0.0,85.0,19.0,0.0,115.0,31.0,47.0,17.0,84.0,67.0,21.0,223.0,40.0,80.0,49.0,12.0,3.0,34.0,62.0,24.0,37.0,12.0,17.0,56.0,1.0,1.0,81.0,15.0,3.0,181.0,20.0,0.0,23.0,177.0,32.0,174.0,14.0,3.0,20.0,118.0,286.0,142.0,79.0,78.0,2.0,140.0,0.0,31.0,22.0,27.0,37.0,22.0,28.0,6.0,37.0,31.0,9.0,102.0,17.0,7.0,154.0,12.0,75.0,68.0,10.0,2.0,15.0,7.0,130.0,56.0,0.0,6.0,99.0,11.0,63.0
17,1693000988.0,5.0,3.0,6.0,7.0,0.0,46.0,4.0,1.0,0.0,0.0,8.0,0.0,5.0,24.0,47.0,51.0,0.0,0.0,4.0,4.0,16.0,17.0,7.0,7.0,2.0,17.0,2.0,4.0,0.0,40.0,2.0,0.0,39.0,20.0,8.0,3.0,33.0,28.0,0.0,68.0,17.0,43.0,13.0,0.0,2.0,14.0,27.0,4.0,2.0,5.0,2.0,7.0,0.0,0.0,33.0,1.0,0.0,58.0,2.0,0.0,6.0,53.0,6.0,60.0,10.0,0.0,13.0,43.0,71.0,47.0,33.0,27.0,0.0,47.0,0.0,6.0,4.0,1.0,5.0,1.0,4.0,0.0,6.0,16.0,0.0,48.0,1.0,1.0,64.0,6.0,35.0,32.0,2.0,0.0,6.0,1.0,54.0,34.0,0.0,5.0,7.0,5.0,38.0
18,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,183970675.0,42.0,24.0,38.0,50.0,1.0,33.0,18.0,9.0,1.0,9.0,64.0,6.0,36.0,1.0,10.0,47.0,4.0,0.0,0.0,49.0,1.0,1.0,56.0,0.0,1.0,4.0,14.0,23.0,0.0,12.0,15.0,0.0,9.0,1.0,11.0,28.0,13.0,1.0,7.0,33.0,1.0,10.0,18.0,10.0,0.0,3.0,3.0,25.0,29.0,15.0,11.0,55.0,0.0,0.0,3.0,5.0,2.0,32.0,14.0,0.0,39.0,44.0,50.0,8.0,0.0,2.0,0.0,9.0,56.0,26.0,4.0,6.0,1.0,19.0,2.0,24.0,35.0,38.0,53.0,12.0,14.0,10.0,57.0,3.0,6.0,7.0,19.0,6.0,13.0,5.0,4.0,5.0,7.0,2.0,19.0,11.0,5.0,3.0,0.0,0.0,95.0,2.0,5.0
