,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
10,218748137.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,2.0,6.0,7.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,0.0
11,2319256634.0,4.0,0.0,9.0,5.0,7.0,38.0,1.0,20.0,3.0,1.0,0.0,0.0,11.0,13.0,20.0,9.0,3.0,2.0,2.0,0.0,0.0,31.0,4.0,11.0,4.0,5.0,1.0,0.0,2.0,13.0,3.0,2.0,12.0,32.0,0.0,44.0,1.0,14.0,4.0,6.0,25.0,11.0,15.0,0.0,47.0,5.0,1.0,5.0,24.0,4.0,0.0,20.0,14.0,9.0,0.0,0.0,2.0,7.0,9.0,10.0,4.0,7.0,7.0,14.0,0.0,11.0,9.0,4.0,5.0,3.0,10.0,3.0,9.0,3.0,19.0,35.0,21.0,0.0,2.0,2.0,0.0
12,2414198053.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
13,2428276874.0,11.0,0.0,64.0,32.0,45.0,22.0,2.0,57.0,23.0,1.0,11.0,0.0,0.0,104.0,55.0,59.0,31.0,62.0,5.0,1.0,0.0,45.0,13.0,106.0,171.0,36.0,1.0,7.0,206.0,80.0,24.0,10.0,56.0,36.0,2.0,61.0,1.0,73.0,9.0,233.0,93.0,52.0,104.0,1.0,22.0,16.0,0.0,19.0,33.0,39.0,1.0,154.0,579.0,112.0,0.0,6.0,5.0,124.0,33.0,46.0,19.0,17.0,152.0,68.0,2.0,131.0,24.0,10.0,49.0,8.0,17.0,15.0,67.0,34.0,67.0,7.0,61.0,2.0,8.0,89.0,15.0
14,253442776.0,19.0,3.0,75.0,63.0,79.0,37.0,2.0,107.0,56.0,1.0,13.0,1.0,104.0,0.0,98.0,91.0,71.0,116.0,9.0,2.0,0.0,86.0,29.0,165.0,101.0,45.0,2.0,8.0,175.0,119.0,56.0,28.0,89.0,69.0,7.0,98.0,2.0,124.0,21.0,132.0,172.0,65.0,206.0,0.0,51.0,21.0,0.0,34.0,57.0,99.0,0.0,273.0,500.0,115.0,0.0,8.0,7.0,137.0,35.0,58.0,32.0,25.0,188.0,139.0,1.0,197.0,38.0,24.0,88.0,14.0,49.0,34.0,116.0,15.0,133.0,14.0,77.0,6.0,13.0,126.0,36.0
15,2579735260.0,12.0,0.0,48.0,37.0,77.0,67.0,3.0,98.0,13.0,1.0,20.0,0.0,55.0,98.0,0.0,90.0,21.0,20.0,5.0,2.0,0.0,101.0,25.0,115.0,49.0,23.0,1.0,5.0,23.0,106.0,41.0,17.0,92.0,82.0,5.0,109.0,3.0,137.0,6.0,72.0,195.0,58.0,133.0,0.0,43.0,24.0,0.0,34.0,56.0,13.0,0.0,197.0,96.0,77.0,0.0,6.0,2.0,52.0,48.0,53.0,25.0,40.0,55.0,161.0,2.0,125.0,46.0,21.0,57.0,4.0,25.0,19.0,93.0,25.0,134.0,13.0,101.0,1.0,13.0,9.0,6.0
16,2599840188.0,19.0,0.0,47.0,39.0,58.0,24.0,0.0,83.0,6.0,4.0,9.0,0.0,59.0,91.0,90.0,0.0,19.0,14.0,9.0,0.0,0.0,59.0,32.0,95.0,47.0,18.0,3.0,4.0,37.0,94.0,31.0,12.0,97.0,52.0,3.0,86.0,4.0,115.0,8.0,65.0,136.0,49.0,107.0,0.0,47.0,14.0,0.0,23.0,27.0,14.0,0.0,192.0,139.0,55.0,0.0,6.0,3.0,59.0,40.0,43.0,26.0,37.0,50.0,123.0,2.0,96.0,54.0,19.0,49.0,4.0,54.0,12.0,71.0,15.0,100.0,11.0,85.0,0.0,14.0,6.0,5.0
17,2648738877.0,6.0,0.0,24.0,32.0,26.0,10.0,0.0,26.0,19.0,0.0,3.0,0.0,31.0,71.0,21.0,19.0,0.0,43.0,3.0,0.0,0.0,23.0,13.0,45.0,33.0,19.0,1.0,5.0,46.0,28.0,18.0,9.0,24.0,20.0,3.0,23.0,0.0,35.0,2.0,50.0,32.0,24.0,53.0,0.0,10.0,5.0,0.0,5.0,15.0,26.0,0.0,49.0,58.0,35.0,0.0,5.0,1.0,54.0,12.0,18.0,16.0,7.0,46.0,30.0,0.0,50.0,9.0,7.0,34.0,1.0,18.0,19.0,38.0,5.0,27.0,0.0,21.0,1.0,5.0,36.0,16.0
18,2671657419.0,7.0,0.0,26.0,31.0,37.0,10.0,1.0,30.0,36.0,0.0,2.0,1.0,62.0,116.0,20.0,14.0,43.0,0.0,2.0,0.0,0.0,19.0,11.0,61.0,70.0,32.0,0.0,7.0,117.0,27.0,22.0,10.0,15.0,12.0,4.0,31.0,0.0,44.0,1.0,81.0,33.0,24.0,89.0,1.0,11.0,7.0,0.0,7.0,20.0,60.0,0.0,77.0,172.0,50.0,0.0,5.0,0.0,95.0,9.0,17.0,12.0,5.0,118.0,29.0,0.0,86.0,8.0,11.0,30.0,2.0,19.0,19.0,43.0,6.0,22.0,1.0,25.0,1.0,7.0,100.0,26.0
19,2698231958.0,1.0,0.0,8.0,9.0,4.0,3.0,0.0,14.0,2.0,0.0,2.0,0.0,5.0,9.0,5.0,9.0,3.0,2.0,0.0,0.0,0.0,9.0,2.0,9.0,6.0,1.0,0.0,0.0,6.0,7.0,4.0,0.0,7.0,9.0,0.0,11.0,0.0,7.0,4.0,4.0,12.0,11.0,7.0,0.0,11.0,1.0,0.0,4.0,6.0,2.0,0.0,13.0,10.0,10.0,0.0,0.0,1.0,7.0,4.0,4.0,7.0,2.0,5.0,15.0,0.0,6.0,8.0,0.0,3.0,6.0,6.0,1.0,9.0,1.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0
