,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
10,1407285660.0,47.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,28.0,0.0,16.0,2.0,16.0,2.0,0.0,3.0,1.0,9.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,25.0,2.0,8.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,27.0,3.0,7.0,3.0,10.0,12.0,22.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,1.0,1.0,3.0,0.0,38.0,4.0,0.0,31.0,34.0,1.0,0.0,1.0,0.0,70.0,1.0,0.0,45.0,0.0,2.0,1.0,1.0,38.0,0.0,0.0,2.0,1.0,2.0,0.0,14.0,0.0,1.0
11,1412750708.0,24.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,18.0,16.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,21.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,13.0,23.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
12,145889874.0,24.0,2.0,7.0,0.0,0.0,3.0,2.0,6.0,9.0,2.0,1.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,2.0,1.0,1.0,1.0,9.0,3.0,1.0,0.0,2.0,4.0,15.0,1.0,1.0,0.0,26.0,4.0,23.0,1.0,4.0,0.0,1.0,41.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,34.0,39.0,5.0,10.0,14.0,8.0,3.0,10.0,0.0,1.0,16.0,4.0,0.0,8.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,9.0,15.0,0.0,13.0,16.0,12.0,0.0,1.0,4.0,21.0,2.0,0.0,5.0,1.0,14.0,4.0,2.0,7.0,2.0,1.0,1.0,14.0,1.0,1.0,1.0,0.0,13.0
13,153768854.0,37.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,44.0,16.0,12.0,2.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,5.0,15.0,24.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,4.0,27.0,1.0,0.0,27.0,30.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,45.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0
14,1547057516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,155507514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,158025648.0,15.0,3.0,23.0,0.0,0.0,3.0,6.0,10.0,16.0,3.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,23.0,6.0,0.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,21.0,4.0,68.0,0.0,5.0,0.0,2.0,11.0,0.0,0.0,4.0,0.0,3.0,10.0,1.0,8.0,20.0,3.0,1.0,3.0,5.0,0.0,11.0,2.0,6.0,1.0,3.0,0.0,8.0,0.0,1.0,0.0,1.0,1.0,15.0,12.0,30.0,83.0,13.0,0.0,59.0,13.0,13.0,0.0,2.0,0.0,51.0,0.0,0.0,9.0,4.0,18.0,2.0,2.0,5.0,0.0,1.0,5.0,10.0,1.0,2.0,7.0,0.0,3.0
17,1582734432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,169583675.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,11.0,12.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
19,183002920.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
