,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,1413184656.0,2.0,0.0,7.0,4.0,4.0,11.0,6.0,0.0,0.0,0.0,10.0,2.0,10.0,15.0,13.0,0.0,0.0,18.0,6.0,0.0,2.0,2.0,1.0,0.0,22.0,5.0,0.0,14.0,4.0,0.0,25.0,17.0,0.0,0.0,7.0,1.0,6.0,9.0,2.0,0.0,9.0,0.0,2.0,9.0,0.0,13.0,3.0,1.0,1.0,0.0,0.0,9.0,5.0,2.0,1.0,2.0,16.0,1.0,3.0,8.0,19.0,1.0,3.0,22.0,3.0,22.0,0.0,4.0,5.0,3.0,0.0,1.0,7.0,0.0
11,1428381847.0,9.0,2.0,16.0,8.0,16.0,65.0,14.0,0.0,3.0,10.0,0.0,4.0,24.0,80.0,57.0,0.0,0.0,37.0,1.0,0.0,8.0,4.0,9.0,0.0,57.0,4.0,2.0,45.0,0.0,2.0,19.0,40.0,5.0,4.0,28.0,31.0,17.0,5.0,1.0,12.0,10.0,6.0,1.0,29.0,0.0,58.0,5.0,6.0,3.0,0.0,7.0,17.0,28.0,0.0,0.0,0.0,77.0,1.0,0.0,19.0,59.0,14.0,3.0,71.0,13.0,18.0,1.0,21.0,1.0,1.0,5.0,3.0,10.0,1.0
12,145535500.0,2.0,0.0,2.0,3.0,1.0,4.0,2.0,2.0,9.0,2.0,4.0,0.0,3.0,5.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,10.0,1.0,0.0,2.0,6.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,5.0,1.0,3.0,5.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,13.0,1.0,0.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,1490064805.0,8.0,3.0,8.0,9.0,7.0,4.0,8.0,0.0,1.0,10.0,24.0,3.0,0.0,61.0,2.0,0.0,0.0,30.0,1.0,0.0,2.0,2.0,4.0,0.0,36.0,1.0,2.0,30.0,0.0,2.0,9.0,35.0,4.0,4.0,26.0,22.0,12.0,3.0,0.0,12.0,8.0,7.0,1.0,18.0,0.0,43.0,2.0,11.0,1.0,0.0,4.0,8.0,14.0,1.0,0.0,0.0,35.0,1.0,0.0,9.0,45.0,18.0,1.0,41.0,7.0,12.0,1.0,6.0,1.0,0.0,0.0,4.0,6.0,1.0
14,155562569.0,18.0,11.0,19.0,17.0,19.0,17.0,32.0,0.0,3.0,15.0,80.0,5.0,61.0,0.0,9.0,0.0,0.0,84.0,1.0,1.0,2.0,7.0,12.0,0.0,105.0,3.0,13.0,96.0,1.0,8.0,16.0,91.0,39.0,5.0,67.0,52.0,19.0,8.0,2.0,62.0,12.0,11.0,3.0,71.0,0.0,124.0,10.0,13.0,7.0,0.0,11.0,14.0,74.0,1.0,0.0,0.0,105.0,1.0,0.0,18.0,160.0,52.0,2.0,189.0,20.0,46.0,1.0,29.0,3.0,2.0,2.0,10.0,10.0,1.0
15,163810080.0,1.0,0.0,13.0,4.0,21.0,95.0,22.0,0.0,1.0,13.0,57.0,1.0,2.0,9.0,0.0,0.0,0.0,24.0,2.0,2.0,1.0,2.0,0.0,0.0,18.0,3.0,0.0,10.0,0.0,0.0,23.0,29.0,1.0,0.0,7.0,4.0,5.0,4.0,0.0,0.0,2.0,2.0,0.0,13.0,1.0,8.0,2.0,2.0,4.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,36.0,0.0,0.0,19.0,9.0,2.0,4.0,24.0,6.0,26.0,0.0,12.0,4.0,4.0,6.0,0.0,2.0,0.0
16,169522837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,17964981.0,9.0,2.0,55.0,21.0,28.0,47.0,144.0,15.0,11.0,18.0,37.0,5.0,30.0,84.0,24.0,0.0,1.0,0.0,18.0,10.0,24.0,6.0,8.0,0.0,63.0,7.0,0.0,85.0,2.0,2.0,107.0,86.0,6.0,5.0,35.0,14.0,23.0,30.0,10.0,10.0,58.0,9.0,12.0,39.0,1.0,60.0,6.0,12.0,39.0,2.0,6.0,46.0,33.0,4.0,0.0,1.0,61.0,4.0,3.0,49.0,173.0,12.0,8.0,171.0,27.0,49.0,5.0,9.0,34.0,6.0,2.0,4.0,13.0,1.0
19,185534602.0,1.0,0.0,6.0,1.0,8.0,7.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,27.0,0.0,4.0,5.0,0.0,47.0,58.0,0.0,0.0,1.0,1.0,4.0,79.0,13.0,0.0,3.0,0.0,37.0,3.0,0.0,3.0,1.0,0.0,4.0,14.0,0.0,84.0,3.0,29.0,22.0,37.0,1.0,102.0,18.0,66.0,8.0,0.0,24.0,6.0,27.0,16.0,32.0,2.0,40.0,40.0,14.0,0.0,16.0,7.0
