,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
13,8.049194593327677e+17,16.0,29.0,10.0,19.0,23.0,22.0,6.0,21.0,12.0,24.0,21.0,0.0,0.0,8.0,50.0,19.0,18.0,17.0,37.0,21.0,0.0,0.0,29.0,43.0,24.0,21.0,34.0,0.0,0.0,28.0,26.0,3.0,10.0,49.0,10.0,28.0,11.0,3.0,20.0,1.0,6.0,22.0,18.0,15.0,17.0,11.0,0.0,27.0,33.0,19.0
14,8.109193173783183e+17,7.0,8.0,3.0,9.0,11.0,14.0,5.0,7.0,6.0,8.0,11.0,0.0,8.0,0.0,11.0,9.0,8.0,3.0,11.0,8.0,0.0,2.0,9.0,13.0,8.0,8.0,10.0,1.0,2.0,6.0,7.0,11.0,8.0,8.0,5.0,11.0,8.0,3.0,4.0,7.0,3.0,13.0,5.0,8.0,7.0,3.0,0.0,6.0,11.0,5.0
15,8.14188733511725e+17,45.0,82.0,13.0,43.0,55.0,40.0,31.0,29.0,26.0,55.0,54.0,0.0,50.0,11.0,0.0,45.0,42.0,40.0,74.0,63.0,0.0,0.0,54.0,113.0,70.0,34.0,97.0,0.0,0.0,42.0,58.0,2.0,20.0,142.0,21.0,80.0,21.0,7.0,54.0,1.0,9.0,63.0,28.0,36.0,43.0,21.0,0.0,56.0,74.0,31.0
16,8.25510533759656e+17,10.0,48.0,10.0,33.0,45.0,34.0,9.0,21.0,17.0,19.0,47.0,0.0,19.0,9.0,45.0,0.0,20.0,26.0,35.0,44.0,0.0,1.0,32.0,43.0,23.0,18.0,35.0,0.0,0.0,25.0,42.0,3.0,16.0,45.0,21.0,37.0,18.0,7.0,19.0,1.0,10.0,44.0,24.0,21.0,45.0,21.0,0.0,25.0,56.0,19.0
17,8.455751191415726e+17,12.0,21.0,9.0,19.0,24.0,36.0,9.0,17.0,17.0,21.0,29.0,0.0,18.0,8.0,42.0,20.0,0.0,13.0,30.0,22.0,0.0,0.0,24.0,34.0,24.0,13.0,29.0,0.0,0.0,17.0,25.0,3.0,14.0,39.0,21.0,30.0,14.0,5.0,13.0,2.0,6.0,29.0,11.0,16.0,17.0,9.0,0.0,20.0,34.0,10.0
18,8.473193706153165e+17,16.0,45.0,1.0,27.0,31.0,36.0,6.0,14.0,19.0,24.0,28.0,0.0,17.0,3.0,40.0,26.0,13.0,0.0,32.0,38.0,0.0,1.0,25.0,33.0,12.0,11.0,33.0,0.0,0.0,22.0,41.0,4.0,10.0,37.0,15.0,28.0,6.0,2.0,9.0,5.0,12.0,27.0,21.0,15.0,37.0,23.0,0.0,29.0,46.0,16.0
19,8.688252137560351e+17,23.0,49.0,11.0,35.0,46.0,43.0,12.0,24.0,25.0,46.0,44.0,0.0,37.0,11.0,74.0,35.0,30.0,32.0,0.0,43.0,0.0,0.0,55.0,73.0,40.0,28.0,46.0,0.0,0.0,40.0,47.0,3.0,27.0,78.0,25.0,60.0,19.0,7.0,39.0,2.0,13.0,43.0,25.0,32.0,34.0,24.0,0.0,79.0,56.0,21.0
20,8.692855178120397e+17,35.0,63.0,8.0,41.0,51.0,45.0,10.0,22.0,34.0,33.0,39.0,0.0,21.0,8.0,63.0,44.0,22.0,38.0,43.0,0.0,0.0,1.0,36.0,64.0,24.0,17.0,54.0,0.0,0.0,26.0,54.0,3.0,17.0,63.0,22.0,47.0,15.0,6.0,20.0,1.0,13.0,37.0,29.0,26.0,49.0,26.0,0.0,40.0,69.0,17.0
21,8.843927734696018e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8.923646005529395e+17,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8.968033349836227e+17,30.0,51.0,158.0,36.0,47.0,46.0,19.0,22.0,23.0,29.0,45.0,1.0,29.0,9.0,54.0,32.0,24.0,25.0,55.0,36.0,0.0,0.0,0.0,99.0,34.0,56.0,92.0,0.0,0.0,65.0,54.0,4.0,36.0,74.0,40.0,83.0,33.0,18.0,34.0,3.0,39.0,57.0,19.0,73.0,28.0,20.0,0.0,39.0,75.0,23.0
24,8.985872616330527e+17,44.0,74.0,61.0,43.0,58.0,50.0,21.0,25.0,31.0,49.0,46.0,0.0,43.0,13.0,113.0,43.0,34.0,33.0,73.0,64.0,0.0,0.0,99.0,0.0,45.0,49.0,117.0,0.0,0.0,63.0,72.0,5.0,30.0,161.0,28.0,120.0,34.0,10.0,34.0,2.0,20.0,62.0,37.0,43.0,43.0,25.0,0.0,50.0,97.0,34.0
25,9.12499292765483e+17,16.0,30.0,15.0,25.0,30.0,20.0,10.0,19.0,13.0,28.0,29.0,0.0,24.0,8.0,70.0,23.0,24.0,12.0,40.0,24.0,0.0,0.0,34.0,45.0,0.0,20.0,34.0,0.0,0.0,24.0,25.0,1.0,14.0,52.0,14.0,29.0,16.0,5.0,34.0,1.0,9.0,37.0,19.0,25.0,21.0,9.0,0.0,26.0,34.0,18.0
26,9.140551214320681e+17,11.0,24.0,21.0,14.0,21.0,22.0,8.0,16.0,10.0,12.0,22.0,0.0,21.0,8.0,34.0,18.0,13.0,11.0,28.0,17.0,0.0,0.0,56.0,49.0,20.0,0.0,50.0,0.0,0.0,29.0,26.0,2.0,22.0,33.0,15.0,51.0,19.0,10.0,15.0,1.0,10.0,31.0,15.0,21.0,14.0,12.0,0.0,17.0,26.0,15.0
27,9.187978567099351e+17,51.0,66.0,122.0,36.0,40.0,37.0,19.0,22.0,23.0,37.0,31.0,0.0,34.0,10.0,97.0,35.0,29.0,33.0,46.0,54.0,0.0,0.0,92.0,117.0,34.0,50.0,0.0,0.0,0.0,53.0,65.0,1.0,18.0,115.0,33.0,86.0,34.0,13.0,30.0,1.0,36.0,55.0,23.0,59.0,31.0,20.0,0.0,41.0,110.0,38.0
28,9.216766457312051e+17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9.216821936839639e+17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9.219679853795123e+17,18.0,39.0,41.0,26.0,25.0,30.0,12.0,19.0,15.0,30.0,29.0,1.0,28.0,6.0,42.0,25.0,17.0,22.0,40.0,26.0,0.0,0.0,65.0,63.0,24.0,29.0,53.0,0.0,0.0,0.0,33.0,3.0,22.0,52.0,17.0,43.0,22.0,6.0,26.0,1.0,16.0,34.0,19.0,35.0,20.0,18.0,0.0,28.0,43.0,18.0
31,9.221367286384067e+17,24.0,53.0,26.0,43.0,48.0,47.0,9.0,20.0,30.0,33.0,37.0,0.0,26.0,7.0,58.0,42.0,25.0,41.0,47.0,54.0,0.0,0.0,54.0,72.0,25.0,26.0,65.0,0.0,0.0,33.0,0.0,3.0,19.0,66.0,24.0,54.0,15.0,5.0,24.0,1.0,29.0,41.0,25.0,32.0,47.0,24.0,0.0,35.0,77.0,25.0
32,9.267826405348557e+17,1.0,4.0,2.0,3.0,15.0,21.0,2.0,1.0,3.0,2.0,6.0,0.0,3.0,11.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,28.0,4.0,5.0,1.0,2.0,1.0,7.0,5.0,3.0,3.0,0.0,7.0,8.0,1.0,16.0,1.0,1.0,1.0,23.0,3.0,8.0,1.0,1.0,1.0,2.0,0.0,3.0,7.0,2.0
33,9.284780241184276e+17,11.0,22.0,12.0,18.0,24.0,22.0,6.0,11.0,10.0,15.0,25.0,1.0,10.0,8.0,20.0,16.0,14.0,10.0,27.0,17.0,0.0,0.0,36.0,30.0,14.0,22.0,18.0,0.0,0.0,22.0,19.0,7.0,0.0,25.0,12.0,37.0,14.0,9.0,13.0,3.0,9.0,21.0,9.0,14.0,16.0,8.0,0.0,17.0,25.0,10.0
