,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
10,14579992.0,0.0,61.0,34.0,0.0,0.0,6.0,1.0,0.0,18.0,0.0,1.0,2.0,1.0,1.0,0.0,42.0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,18.0,7.0,108.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,130.0,1.0,0.0,40.0,18.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,6.0,4.0,1.0,0.0
11,154049390.0,2.0,1.0,59.0,1.0,37.0,2.0,22.0,4.0,1.0,1.0,0.0,5.0,50.0,29.0,2.0,30.0,74.0,1.0,0.0,4.0,58.0,2.0,0.0,21.0,0.0,1.0,32.0,2.0,21.0,0.0,0.0,2.0,36.0,7.0,4.0,1.0,0.0,21.0,0.0,20.0,2.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,8.0,14.0,11.0,2.0,0.0,2.0,0.0,20.0,12.0,10.0,1.0,0.0,0.0,1.0,5.0,40.0,57.0,0.0,58.0,16.0,29.0,62.0,1.0,0.0,10.0,0.0,0.0,12.0,0.0,20.0,27.0,0.0
12,15917040.0,7.0,26.0,51.0,0.0,5.0,8.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,4.0,3.0,61.0,59.0,3.0,1.0,3.0,48.0,2.0,0.0,10.0,0.0,61.0,3.0,0.0,13.0,0.0,2.0,5.0,23.0,3.0,9.0,19.0,0.0,44.0,0.0,13.0,1.0,6.0,0.0,2.0,24.0,6.0,0.0,3.0,5.0,5.0,13.0,6.0,2.0,4.0,14.0,3.0,7.0,11.0,7.0,0.0,2.0,4.0,21.0,14.0,30.0,0.0,10.0,3.0,17.0,2.0,2.0,0.0,2.0,7.0,0.0,9.0,3.0,0.0,3.0,0.0
13,1651092140.0,2.0,1.0,59.0,1.0,52.0,1.0,25.0,3.0,1.0,1.0,50.0,2.0,0.0,44.0,1.0,30.0,84.0,0.0,0.0,3.0,60.0,1.0,0.0,25.0,0.0,0.0,49.0,2.0,16.0,0.0,0.0,3.0,42.0,7.0,4.0,4.0,0.0,15.0,0.0,19.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0,6.0,11.0,9.0,1.0,0.0,1.0,1.0,16.0,15.0,12.0,0.0,0.0,0.0,1.0,1.0,53.0,46.0,0.0,60.0,11.0,39.0,46.0,1.0,0.0,11.0,2.0,0.0,19.0,0.0,30.0,27.0,0.0
14,165798073.0,1.0,0.0,37.0,1.0,31.0,0.0,16.0,3.0,0.0,1.0,29.0,4.0,44.0,0.0,1.0,44.0,67.0,0.0,0.0,3.0,65.0,1.0,2.0,17.0,1.0,0.0,34.0,0.0,22.0,0.0,0.0,2.0,34.0,3.0,4.0,2.0,0.0,13.0,0.0,20.0,5.0,2.0,2.0,5.0,4.0,1.0,0.0,2.0,3.0,5.0,16.0,0.0,0.0,1.0,3.0,5.0,13.0,5.0,2.0,0.0,1.0,5.0,1.0,31.0,45.0,0.0,42.0,6.0,21.0,38.0,0.0,0.0,11.0,1.0,0.0,8.0,0.0,17.0,15.0,0.0
15,16597470.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,174169508.0,1.0,31.0,115.0,1.0,45.0,3.0,20.0,5.0,7.0,42.0,30.0,61.0,30.0,44.0,4.0,0.0,119.0,97.0,1.0,4.0,124.0,7.0,0.0,22.0,6.0,13.0,28.0,1.0,31.0,0.0,1.0,9.0,72.0,88.0,16.0,37.0,0.0,108.0,0.0,49.0,3.0,31.0,1.0,4.0,39.0,12.0,0.0,2.0,116.0,29.0,22.0,21.0,4.0,6.0,23.0,41.0,21.0,27.0,39.0,11.0,5.0,19.0,168.0,48.0,74.0,0.0,49.0,12.0,41.0,24.0,12.0,0.0,11.0,9.0,0.0,16.0,6.0,14.0,18.0,0.0
17,18711950.0,14.0,92.0,194.0,1.0,63.0,34.0,31.0,10.0,2.0,7.0,74.0,59.0,84.0,67.0,2.0,119.0,0.0,18.0,7.0,6.0,215.0,5.0,0.0,55.0,4.0,14.0,65.0,3.0,40.0,0.0,4.0,15.0,80.0,35.0,12.0,14.0,0.0,134.0,0.0,40.0,4.0,18.0,4.0,11.0,24.0,14.0,0.0,7.0,52.0,22.0,43.0,16.0,5.0,12.0,2.0,31.0,43.0,33.0,8.0,0.0,3.0,14.0,39.0,94.0,125.0,1.0,123.0,13.0,101.0,118.0,3.0,0.0,19.0,6.0,0.0,49.0,7.0,39.0,44.0,0.0
18,1903677397.0,0.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,97.0,18.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,2.0,1.0,0.0,31.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,153.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,0.0,0.0,1.0,68.0,2.0,3.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,194175199.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
