,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
10,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2428489305.0,6.0,0.0,0.0,0.0,1.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,18.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,15.0,1.0,0.0,22.0,1.0,0.0,1.0,1.0,17.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0
12,257042156.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
13,272753147.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
14,2786928739.0,23.0,1.0,2.0,1.0,2.0,109.0,12.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,16.0,193.0,1.0,3.0,0.0,11.0,2.0,6.0,4.0,11.0,0.0,9.0,7.0,107.0,2.0,3.0,121.0,1.0,1.0,2.0,2.0,89.0,0.0,1.0,4.0,15.0,2.0,3.0,10.0,0.0,1.0,8.0,9.0,1.0,14.0,0.0,0.0,0.0,17.0
15,2900533861.0,56.0,10.0,13.0,7.0,37.0,7.0,18.0,15.0,2.0,0.0,4.0,1.0,0.0,16.0,0.0,61.0,10.0,21.0,0.0,258.0,18.0,75.0,24.0,241.0,2.0,36.0,73.0,109.0,20.0,53.0,126.0,11.0,7.0,23.0,13.0,66.0,0.0,5.0,23.0,12.0,16.0,15.0,82.0,0.0,11.0,21.0,23.0,5.0,148.0,0.0,0.0,3.0,2.0
16,2940472412.0,39.0,5.0,1.0,8.0,13.0,138.0,26.0,4.0,1.0,0.0,18.0,0.0,0.0,193.0,61.0,0.0,15.0,5.0,0.0,65.0,6.0,52.0,13.0,72.0,1.0,38.0,52.0,207.0,19.0,17.0,238.0,10.0,7.0,6.0,19.0,142.0,0.0,2.0,4.0,23.0,3.0,3.0,51.0,0.0,8.0,15.0,24.0,0.0,101.0,0.0,0.0,2.0,15.0
17,2967051045.0,6.0,1.0,0.0,1.0,5.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,15.0,0.0,3.0,0.0,20.0,0.0,86.0,7.0,21.0,0.0,97.0,21.0,27.0,32.0,3.0,35.0,68.0,36.0,33.0,25.0,18.0,5.0,10.0,30.0,84.0,1.0,0.0,75.0,0.0,56.0,5.0,57.0,9.0,76.0,0.0,0.0,17.0,0.0
18,2968291499.0,16.0,11.0,7.0,0.0,16.0,1.0,3.0,28.0,6.0,0.0,1.0,2.0,1.0,3.0,21.0,5.0,3.0,0.0,0.0,27.0,15.0,18.0,6.0,18.0,8.0,9.0,14.0,28.0,6.0,4.0,38.0,3.0,2.0,19.0,2.0,13.0,0.0,2.0,18.0,3.0,7.0,13.0,11.0,0.0,1.0,4.0,5.0,2.0,75.0,0.0,0.0,0.0,1.0
19,2994840781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
