,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
20,7.154919439505859e+17,0.0,27.0,2.0,0.0,0.0,4.0,9.0,0.0,8.0,2.0,4.0,9.0,27.0,29.0,6.0,13.0,2.0,1.0,1.0,0.0,13.0,2.0,12.0,14.0,23.0,9.0,8.0,6.0,0.0,24.0,67.0,18.0
21,7.302814517453619e+17,2.0,75.0,5.0,0.0,0.0,7.0,21.0,0.0,36.0,7.0,20.0,24.0,93.0,99.0,23.0,46.0,10.0,5.0,12.0,13.0,0.0,1.0,62.0,34.0,36.0,20.0,25.0,1.0,2.0,60.0,35.0,84.0
22,7.900731426014044e+17,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
23,7.985374790495928e+17,5.0,77.0,5.0,0.0,0.0,12.0,35.0,0.0,27.0,3.0,17.0,19.0,83.0,87.0,35.0,34.0,12.0,2.0,6.0,12.0,62.0,1.0,0.0,48.0,57.0,16.0,22.0,1.0,3.0,74.0,36.0,71.0
24,8.24601292718936e+17,5.0,91.0,1.0,0.0,0.0,7.0,60.0,0.0,18.0,1.0,10.0,11.0,47.0,64.0,59.0,23.0,12.0,5.0,8.0,14.0,34.0,1.0,48.0,0.0,108.0,15.0,19.0,1.0,4.0,61.0,27.0,61.0
25,8.358668750158684e+17,9.0,136.0,9.0,0.0,0.0,12.0,82.0,0.0,32.0,3.0,13.0,18.0,64.0,88.0,92.0,33.0,9.0,3.0,6.0,23.0,36.0,1.0,57.0,108.0,0.0,34.0,41.0,2.0,4.0,82.0,34.0,76.0
26,8.694481619826401e+17,2.0,51.0,11.0,0.0,0.0,9.0,23.0,0.0,98.0,1.0,7.0,13.0,34.0,28.0,36.0,24.0,2.0,0.0,231.0,9.0,20.0,0.0,16.0,15.0,34.0,0.0,131.0,0.0,3.0,17.0,16.0,17.0
27,8.73521970523947e+17,11.0,42.0,4.0,0.0,0.0,10.0,16.0,0.0,84.0,2.0,7.0,12.0,47.0,60.0,36.0,22.0,7.0,2.0,128.0,8.0,25.0,0.0,22.0,19.0,41.0,131.0,0.0,0.0,0.0,28.0,16.0,29.0
28,8.873168851375718e+17,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
29,9.036251601245389e+17,0.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0
30,9.083830030043873e+17,6.0,97.0,4.0,0.0,0.0,11.0,57.0,0.0,42.0,4.0,21.0,34.0,123.0,125.0,38.0,46.0,15.0,6.0,10.0,24.0,60.0,1.0,74.0,61.0,82.0,17.0,28.0,1.0,4.0,0.0,63.0,113.0
31,9.438973223536968e+17,6.0,54.0,2.0,0.0,0.0,25.0,23.0,0.0,36.0,0.0,12.0,27.0,60.0,67.0,22.0,47.0,8.0,4.0,4.0,67.0,35.0,1.0,36.0,27.0,34.0,16.0,16.0,1.0,0.0,63.0,0.0,55.0
32,9.48090855553876e+17,1.0,114.0,3.0,0.0,0.0,10.0,44.0,0.0,30.0,6.0,16.0,42.0,114.0,115.0,28.0,54.0,13.0,6.0,9.0,18.0,84.0,1.0,71.0,61.0,76.0,17.0,29.0,1.0,4.0,113.0,55.0,0.0
