,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
10,118992888.0,2.0,0.0,2.0,1.0,9.0,11.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,13.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,3.0,1.0,13.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,7.0,2.0,4.0,5.0,1.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,28.0,4.0,2.0,4.0,0.0,0.0,1.0,8.0,0.0,3.0,0.0,3.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,41.0,15.0,0.0,0.0,35.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,37.0,0.0,0.0,0.0
11,120012327.0,2.0,1.0,3.0,3.0,26.0,35.0,3.0,2.0,1.0,13.0,0.0,0.0,0.0,7.0,13.0,0.0,1.0,61.0,8.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,35.0,25.0,61.0,1.0,1.0,6.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,8.0,1.0,8.0,0.0,13.0,2.0,24.0,4.0,17.0,1.0,3.0,26.0,0.0,9.0,1.0,3.0,9.0,2.0,2.0,1.0,0.0,11.0,4.0,11.0,0.0,3.0,4.0,2.0,0.0,9.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,14.0,10.0,12.0,5.0,15.0,7.0,9.0,9.0,5.0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,3.0,7.0,42.0,0.0,0.0,3.0,1.0,27.0,2.0,0.0,9.0,10.0,2.0,5.0,0.0,2.0,4.0,61.0,20.0,6.0,19.0,0.0,0.0,2.0,8.0,1.0,12.0,1.0,7.0,16.0,2.0,0.0,0.0,58.0,1.0,2.0,2.0,10.0,112.0,82.0,1.0,0.0,78.0,0.0,0.0,2.0,9.0,0.0,7.0,0.0,2.0,4.0,15.0,0.0,1.0,32.0,1.0,5.0,99.0,0.0,0.0,1.0
12,1209017774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,124396174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,126145829.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,5.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,5.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
15,126297089.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,1.0,8.0,6.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,2.0,15.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
16,126832007.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
17,128555879.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,10.0,1.0,12.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0
18,134168504.0,7.0,1.0,1.0,3.0,23.0,97.0,13.0,3.0,1.0,23.0,61.0,0.0,0.0,6.0,12.0,0.0,5.0,0.0,119.0,0.0,3.0,7.0,4.0,24.0,7.0,2.0,4.0,3.0,30.0,38.0,109.0,3.0,2.0,2.0,0.0,5.0,14.0,9.0,14.0,0.0,7.0,50.0,18.0,13.0,0.0,15.0,46.0,60.0,16.0,39.0,1.0,10.0,29.0,3.0,97.0,1.0,57.0,46.0,15.0,6.0,2.0,2.0,28.0,15.0,61.0,0.0,6.0,18.0,1.0,38.0,58.0,14.0,0.0,1.0,9.0,1.0,7.0,7.0,14.0,44.0,9.0,10.0,30.0,41.0,55.0,5.0,19.0,0.0,82.0,0.0,0.0,1.0,2.0,13.0,16.0,38.0,35.0,20.0,61.0,0.0,1.0,8.0,3.0,94.0,12.0,1.0,11.0,15.0,3.0,22.0,2.0,25.0,5.0,115.0,76.0,11.0,32.0,10.0,0.0,27.0,25.0,0.0,41.0,1.0,71.0,30.0,1.0,0.0,1.0,60.0,2.0,13.0,13.0,12.0,136.0,90.0,7.0,10.0,86.0,0.0,0.0,8.0,44.0,0.0,24.0,2.0,3.0,9.0,59.0,0.0,16.0,52.0,10.0,4.0,103.0,3.0,0.0,0.0
19,134574318.0,0.0,1.0,1.0,1.0,3.0,46.0,8.0,4.0,1.0,2.0,8.0,0.0,0.0,2.0,3.0,1.0,4.0,119.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0,1.0,1.0,5.0,8.0,12.0,46.0,0.0,2.0,1.0,0.0,2.0,3.0,11.0,20.0,0.0,4.0,52.0,5.0,6.0,0.0,7.0,48.0,40.0,6.0,20.0,0.0,12.0,5.0,0.0,203.0,0.0,50.0,24.0,7.0,0.0,0.0,1.0,17.0,15.0,28.0,0.0,3.0,6.0,0.0,18.0,18.0,28.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,16.0,1.0,3.0,17.0,52.0,43.0,2.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,38.0,10.0,3.0,39.0,11.0,6.0,0.0,3.0,3.0,4.0,69.0,11.0,1.0,6.0,5.0,3.0,13.0,3.0,32.0,2.0,52.0,54.0,5.0,1.0,2.0,0.0,20.0,5.0,0.0,34.0,10.0,106.0,7.0,1.0,0.0,2.0,18.0,0.0,1.0,4.0,5.0,23.0,33.0,5.0,2.0,7.0,0.0,0.0,4.0,43.0,0.0,7.0,0.0,1.0,4.0,35.0,0.0,27.0,15.0,13.0,2.0,30.0,1.0,1.0,0.0
