,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
11,1912242896.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
12,2209010516.0,12.0,41.0,11.0,24.0,264.0,5.0,24.0,87.0,1.0,45.0,1.0,0.0,1.0,19.0,53.0,5.0,0.0,8.0,40.0,2.0,63.0,82.0,101.0,70.0,0.0,17.0,1.0,37.0,6.0,25.0,4.0,5.0,17.0,10.0,15.0,6.0,48.0,0.0,0.0,29.0,0.0,44.0,5.0,19.0,0.0,22.0,44.0,31.0,0.0,3.0,163.0,0.0
13,22368351.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,16.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,13.0,4.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
14,231620897.0,10.0,46.0,4.0,14.0,4.0,7.0,17.0,39.0,0.0,9.0,2.0,19.0,3.0,0.0,32.0,10.0,0.0,2.0,38.0,0.0,26.0,30.0,3.0,11.0,0.0,0.0,1.0,18.0,2.0,14.0,12.0,1.0,18.0,5.0,14.0,4.0,18.0,0.0,5.0,25.0,0.0,15.0,7.0,19.0,0.0,27.0,3.0,27.0,5.0,0.0,12.0,2.0
15,23758173.0,35.0,87.0,46.0,77.0,32.0,7.0,54.0,100.0,1.0,61.0,3.0,53.0,3.0,32.0,0.0,20.0,1.0,8.0,187.0,0.0,94.0,105.0,7.0,84.0,1.0,1.0,0.0,28.0,2.0,41.0,29.0,2.0,30.0,26.0,17.0,6.0,65.0,0.0,3.0,60.0,0.0,39.0,15.0,59.0,0.0,88.0,30.0,51.0,1.0,1.0,26.0,2.0
16,239921956.0,10.0,14.0,6.0,6.0,0.0,1.0,11.0,4.0,0.0,7.0,1.0,5.0,1.0,10.0,20.0,0.0,0.0,0.0,25.0,0.0,19.0,12.0,1.0,5.0,0.0,1.0,0.0,4.0,0.0,6.0,3.0,0.0,9.0,5.0,4.0,0.0,6.0,0.0,0.0,18.0,0.0,9.0,6.0,8.0,0.0,13.0,0.0,6.0,0.0,0.0,4.0,0.0
17,245440355.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18,27843220.0,5.0,22.0,18.0,5.0,10.0,2.0,8.0,47.0,0.0,12.0,0.0,8.0,1.0,2.0,8.0,0.0,2.0,0.0,8.0,3.0,24.0,22.0,4.0,12.0,1.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,16.0,12.0,5.0,0.0,19.0,0.0,3.0,21.0,3.0,14.0,2.0,28.0,0.0,8.0,5.0,5.0,0.0,2.0,2.0,1.0
19,2787471493.0,89.0,81.0,48.0,34.0,22.0,11.0,83.0,88.0,1.0,36.0,7.0,40.0,4.0,38.0,187.0,25.0,0.0,8.0,0.0,2.0,134.0,85.0,8.0,23.0,23.0,1.0,7.0,29.0,5.0,27.0,40.0,3.0,56.0,22.0,93.0,16.0,63.0,0.0,10.0,81.0,3.0,41.0,23.0,57.0,0.0,114.0,6.0,180.0,0.0,0.0,25.0,2.0
20,279973577.0,1.0,5.0,0.0,2.0,2.0,1.0,1.0,8.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
21,29229201.0,45.0,119.0,37.0,32.0,44.0,17.0,45.0,187.0,6.0,75.0,4.0,63.0,6.0,26.0,94.0,19.0,3.0,24.0,134.0,4.0,0.0,145.0,9.0,81.0,1.0,3.0,3.0,23.0,12.0,36.0,9.0,2.0,76.0,25.0,95.0,20.0,99.0,0.0,12.0,101.0,2.0,58.0,21.0,56.0,0.0,57.0,27.0,89.0,1.0,6.0,21.0,2.0
22,304156373.0,29.0,99.0,23.0,38.0,93.0,13.0,45.0,180.0,5.0,153.0,3.0,82.0,5.0,30.0,105.0,12.0,0.0,22.0,85.0,3.0,145.0,0.0,12.0,104.0,1.0,1.0,5.0,21.0,8.0,34.0,14.0,4.0,43.0,14.0,43.0,11.0,97.0,0.0,4.0,80.0,1.0,97.0,13.0,42.0,0.0,65.0,60.0,47.0,1.0,7.0,24.0,0.0
