,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
10,132037287.0,3.0,15.0,18.0,6.0,3.0,9.0,7.0,1.0,36.0,0.0,17.0,0.0,14.0,2.0,0.0,8.0,2.0,0.0,22.0,31.0,0.0,8.0,144.0,4.0,66.0,50.0,25.0,35.0,16.0,5.0,8.0,0.0,4.0,1.0,10.0,18.0,0.0,0.0,1.0,41.0,5.0,3.0,0.0,7.0,43.0,11.0,4.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,1.0,0.0,42.0,17.0,0.0,0.0,30.0,3.0,9.0,4.0,14.0,8.0,2.0,19.0,33.0,7.0,42.0,2.0,0.0,0.0,21.0,0.0,28.0,3.0
11,136351196.0,4.0,38.0,39.0,15.0,21.0,35.0,36.0,4.0,138.0,17.0,0.0,0.0,45.0,9.0,14.0,32.0,42.0,5.0,52.0,41.0,0.0,4.0,74.0,25.0,16.0,37.0,17.0,83.0,20.0,28.0,9.0,14.0,0.0,17.0,74.0,9.0,2.0,7.0,0.0,74.0,23.0,5.0,3.0,28.0,37.0,40.0,18.0,2.0,1.0,4.0,6.0,1.0,7.0,11.0,0.0,0.0,125.0,77.0,4.0,0.0,27.0,18.0,28.0,13.0,10.0,44.0,9.0,32.0,100.0,31.0,41.0,5.0,8.0,0.0,41.0,0.0,86.0,20.0
12,138019927.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,6.0,5.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
13,1428381847.0,5.0,27.0,32.0,8.0,19.0,31.0,17.0,3.0,83.0,14.0,45.0,0.0,0.0,4.0,11.0,24.0,28.0,3.0,87.0,35.0,0.0,0.0,37.0,21.0,24.0,19.0,11.0,45.0,11.0,8.0,7.0,3.0,0.0,11.0,42.0,8.0,1.0,3.0,0.0,82.0,21.0,3.0,0.0,22.0,25.0,41.0,23.0,2.0,0.0,1.0,3.0,0.0,4.0,10.0,0.0,0.0,77.0,43.0,2.0,0.0,18.0,9.0,16.0,6.0,1.0,35.0,3.0,36.0,54.0,21.0,33.0,11.0,1.0,0.0,10.0,0.0,50.0,21.0
14,145535500.0,0.0,2.0,2.0,5.0,3.0,3.0,6.0,1.0,18.0,2.0,9.0,0.0,4.0,0.0,4.0,3.0,5.0,6.0,4.0,8.0,0.0,1.0,5.0,21.0,2.0,3.0,5.0,6.0,2.0,4.0,3.0,13.0,0.0,4.0,6.0,2.0,1.0,1.0,0.0,12.0,7.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,10.0,0.0,0.0,8.0,5.0,2.0,1.0,0.0,7.0,2.0,3.0,8.0,3.0,4.0,0.0,6.0,0.0,10.0,0.0,8.0,0.0
15,14600122.0,1.0,12.0,11.0,9.0,12.0,12.0,16.0,4.0,26.0,0.0,14.0,0.0,11.0,4.0,0.0,9.0,10.0,3.0,10.0,18.0,0.0,1.0,13.0,12.0,10.0,8.0,8.0,13.0,9.0,9.0,7.0,11.0,0.0,7.0,19.0,5.0,3.0,4.0,0.0,21.0,4.0,2.0,0.0,8.0,9.0,8.0,7.0,2.0,1.0,2.0,3.0,0.0,4.0,4.0,1.0,0.0,21.0,21.0,1.0,0.0,15.0,10.0,10.0,5.0,1.0,18.0,4.0,13.0,18.0,10.0,12.0,3.0,6.0,0.0,11.0,0.0,19.0,6.0
16,1490064805.0,8.0,28.0,8.0,4.0,5.0,21.0,15.0,2.0,55.0,8.0,32.0,0.0,24.0,3.0,9.0,0.0,24.0,0.0,15.0,34.0,0.0,0.0,30.0,5.0,18.0,8.0,5.0,44.0,14.0,3.0,4.0,0.0,0.0,9.0,24.0,0.0,0.0,1.0,0.0,37.0,14.0,0.0,0.0,17.0,17.0,28.0,22.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,44.0,27.0,0.0,0.0,13.0,7.0,9.0,1.0,3.0,23.0,1.0,18.0,44.0,23.0,18.0,7.0,2.0,0.0,14.0,0.0,23.0,6.0
17,149525251.0,4.0,19.0,13.0,8.0,10.0,20.0,18.0,1.0,51.0,2.0,42.0,28.0,28.0,5.0,10.0,24.0,0.0,4.0,26.0,29.0,0.0,0.0,25.0,11.0,13.0,15.0,11.0,45.0,12.0,6.0,9.0,10.0,11.0,14.0,35.0,8.0,1.0,5.0,0.0,36.0,15.0,2.0,0.0,20.0,18.0,26.0,12.0,0.0,2.0,1.0,2.0,1.0,3.0,9.0,10.0,0.0,49.0,38.0,0.0,1.0,21.0,13.0,18.0,1.0,0.0,34.0,1.0,31.0,47.0,18.0,27.0,1.0,3.0,0.0,15.0,0.0,32.0,8.0
18,151078227.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,15.0,0.0,5.0,0.0,3.0,6.0,3.0,0.0,4.0,0.0,2.0,7.0,0.0,1.0,7.0,17.0,0.0,1.0,5.0,2.0,8.0,1.0,2.0,18.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0,4.0,1.0,8.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,6.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,8.0,0.0
19,153693557.0,3.0,28.0,63.0,9.0,27.0,28.0,32.0,3.0,102.0,22.0,52.0,1.0,87.0,4.0,10.0,15.0,26.0,2.0,0.0,25.0,0.0,0.0,28.0,19.0,25.0,14.0,14.0,51.0,20.0,18.0,10.0,5.0,2.0,12.0,51.0,12.0,1.0,7.0,0.0,111.0,7.0,3.0,2.0,21.0,21.0,32.0,11.0,0.0,0.0,0.0,4.0,0.0,4.0,10.0,0.0,0.0,65.0,52.0,3.0,0.0,16.0,12.0,18.0,7.0,6.0,36.0,9.0,40.0,51.0,20.0,41.0,5.0,3.0,0.0,9.0,0.0,75.0,27.0
20,16582906.0,5.0,31.0,22.0,15.0,8.0,29.0,24.0,4.0,91.0,31.0,41.0,1.0,35.0,8.0,18.0,34.0,29.0,7.0,25.0,0.0,0.0,4.0,64.0,31.0,60.0,17.0,18.0,68.0,20.0,11.0,9.0,22.0,2.0,13.0,30.0,15.0,2.0,7.0,0.0,58.0,21.0,7.0,1.0,19.0,46.0,33.0,23.0,3.0,3.0,3.0,5.0,2.0,2.0,8.0,1.0,0.0,95.0,41.0,5.0,0.0,55.0,26.0,25.0,7.0,14.0,45.0,6.0,44.0,75.0,20.0,25.0,6.0,4.0,1.0,27.0,0.0,59.0,10.0
21,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
