,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
10,145535500.0,0.0,5.0,4.0,0.0,3.0,1.0,5.0,2.0,3.0,0.0,8.0,0.0,10.0,0.0,6.0,3.0,9.0,14.0,8.0,1.0,2.0,0.0,3.0,4.0,0.0,10.0,1.0,0.0,0.0,3.0,3.0,4.0,1.0,11.0,1.0,5.0,4.0,0.0,1.0,7.0,0.0,2.0,12.0,1.0,4.0,0.0,0.0,6.0,6.0,1.0,1.0,4.0,12.0,3.0,4.0,6.0,28.0,1.0,1.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0
11,162267352.0,7.0,78.0,12.0,2.0,5.0,14.0,34.0,11.0,19.0,8.0,0.0,2.0,101.0,0.0,49.0,3.0,56.0,76.0,99.0,0.0,18.0,0.0,34.0,17.0,0.0,16.0,8.0,4.0,5.0,20.0,3.0,12.0,17.0,12.0,16.0,23.0,12.0,0.0,0.0,77.0,0.0,13.0,41.0,1.0,41.0,2.0,7.0,22.0,93.0,2.0,9.0,15.0,104.0,6.0,19.0,31.0,18.0,6.0,8.0,59.0,17.0,16.0,0.0,4.0,0.0,46.0,53.0,12.0,4.0,1.0,3.0,0.0,2.0
12,169260355.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13,172396492.0,11.0,253.0,31.0,10.0,6.0,45.0,80.0,103.0,28.0,10.0,101.0,1.0,0.0,0.0,129.0,9.0,125.0,133.0,279.0,2.0,55.0,0.0,81.0,22.0,0.0,35.0,4.0,7.0,9.0,70.0,5.0,35.0,59.0,18.0,32.0,67.0,31.0,0.0,0.0,180.0,1.0,40.0,68.0,0.0,59.0,6.0,20.0,112.0,209.0,5.0,16.0,120.0,518.0,10.0,98.0,64.0,63.0,28.0,16.0,154.0,116.0,59.0,0.0,4.0,0.0,89.0,119.0,23.0,9.0,1.0,5.0,0.0,1.0
14,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,183970675.0,1.0,50.0,6.0,4.0,3.0,9.0,24.0,9.0,19.0,6.0,49.0,1.0,129.0,0.0,0.0,4.0,43.0,56.0,72.0,2.0,21.0,0.0,29.0,14.0,0.0,5.0,2.0,4.0,4.0,27.0,2.0,16.0,15.0,4.0,15.0,11.0,13.0,0.0,0.0,62.0,0.0,7.0,29.0,0.0,34.0,0.0,12.0,15.0,69.0,2.0,12.0,15.0,126.0,7.0,35.0,18.0,16.0,6.0,7.0,47.0,17.0,14.0,0.0,3.0,0.0,35.0,57.0,12.0,7.0,2.0,2.0,0.0,2.0
16,189102208.0,1.0,4.0,13.0,0.0,0.0,2.0,6.0,1.0,3.0,3.0,3.0,1.0,9.0,0.0,4.0,0.0,12.0,20.0,7.0,5.0,9.0,0.0,4.0,4.0,0.0,11.0,1.0,0.0,0.0,5.0,3.0,0.0,3.0,15.0,3.0,5.0,5.0,0.0,1.0,5.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,2.0,6.0,0.0,1.0,2.0,14.0,1.0,4.0,1.0,10.0,7.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
17,195235963.0,7.0,47.0,23.0,1.0,2.0,17.0,39.0,5.0,17.0,9.0,56.0,1.0,125.0,0.0,43.0,12.0,0.0,67.0,100.0,0.0,54.0,0.0,32.0,24.0,0.0,35.0,8.0,2.0,4.0,31.0,4.0,10.0,49.0,13.0,11.0,25.0,16.0,0.0,1.0,54.0,0.0,15.0,49.0,0.0,32.0,2.0,10.0,32.0,49.0,3.0,6.0,17.0,102.0,8.0,21.0,18.0,24.0,31.0,14.0,44.0,61.0,13.0,0.0,3.0,0.0,53.0,42.0,10.0,3.0,1.0,2.0,0.0,0.0
18,20306005.0,9.0,102.0,38.0,5.0,7.0,18.0,56.0,26.0,25.0,14.0,76.0,1.0,133.0,0.0,56.0,20.0,67.0,0.0,120.0,3.0,44.0,0.0,45.0,21.0,0.0,37.0,9.0,1.0,5.0,24.0,4.0,18.0,20.0,29.0,22.0,34.0,30.0,0.0,0.0,102.0,0.0,19.0,47.0,1.0,45.0,1.0,8.0,29.0,119.0,1.0,11.0,30.0,130.0,7.0,30.0,40.0,27.0,11.0,12.0,65.0,27.0,33.0,0.0,2.0,0.0,54.0,79.0,13.0,6.0,1.0,3.0,0.0,2.0
19,216998316.0,8.0,156.0,22.0,3.0,5.0,28.0,56.0,30.0,25.0,8.0,99.0,1.0,279.0,0.0,72.0,7.0,100.0,120.0,0.0,0.0,52.0,0.0,69.0,16.0,0.0,21.0,3.0,5.0,19.0,27.0,3.0,13.0,39.0,11.0,34.0,37.0,16.0,0.0,0.0,204.0,1.0,24.0,47.0,1.0,62.0,0.0,9.0,76.0,186.0,4.0,7.0,35.0,200.0,8.0,31.0,35.0,20.0,12.0,15.0,134.0,110.0,34.0,0.0,2.0,0.0,71.0,105.0,20.0,4.0,1.0,4.0,0.0,2.0
