,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
25,7.261144668536136e+17,5.0,20.0,30.0,2.0,5.0,14.0,14.0,9.0,2.0,48.0,445.0,33.0,51.0,15.0,19.0,21.0,42.0,124.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,848.0,76.0,0.0,0.0,22.0,42.0,82.0,25.0,6.0,0.0,0.0,23.0,0.0,21.0
26,7.469687692437996e+17,3.0,7.0,31.0,5.0,5.0,14.0,2.0,1.0,0.0,43.0,413.0,15.0,20.0,6.0,19.0,14.0,15.0,123.0,1.0,0.0,1.0,4.0,1.0,0.0,848.0,0.0,81.0,0.0,0.0,20.0,26.0,115.0,6.0,2.0,0.0,0.0,10.0,0.0,14.0
27,755370463.0,2.0,4.0,15.0,1.0,3.0,2.0,1.0,1.0,0.0,8.0,85.0,3.0,2.0,5.0,6.0,7.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,81.0,0.0,0.0,0.0,12.0,5.0,17.0,3.0,2.0,0.0,0.0,4.0,0.0,3.0
28,8.151510162367447e+17,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,47.0,0.0,0.0,148.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,234.0,0.0,0.0,4.0,0.0
29,8.376553525607424e+17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0
30,8.823765363591864e+17,4.0,6.0,10.0,2.0,3.0,2.0,3.0,4.0,0.0,11.0,26.0,9.0,16.0,4.0,7.0,6.0,12.0,16.0,1.0,0.0,2.0,3.0,0.0,0.0,22.0,20.0,12.0,0.0,0.0,0.0,14.0,14.0,11.0,0.0,1.0,0.0,9.0,0.0,9.0
31,8.972677363964314e+17,11.0,29.0,16.0,7.0,10.0,10.0,13.0,15.0,1.0,29.0,60.0,39.0,59.0,13.0,19.0,17.0,33.0,36.0,0.0,0.0,6.0,23.0,0.0,0.0,42.0,26.0,5.0,0.0,0.0,14.0,0.0,33.0,34.0,4.0,1.0,0.0,27.0,0.0,16.0
32,9.23226559934165e+17,1.0,12.0,17.0,4.0,3.0,14.0,6.0,4.0,0.0,42.0,118.0,24.0,28.0,6.0,19.0,8.0,16.0,55.0,0.0,0.0,2.0,6.0,0.0,0.0,82.0,115.0,17.0,0.0,0.0,14.0,33.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,15.0
33,9.310017041111613e+17,99.0,48.0,4.0,23.0,53.0,4.0,19.0,39.0,1.0,21.0,128.0,82.0,215.0,38.0,44.0,29.0,182.0,21.0,0.0,14.0,13.0,47.0,1.0,6.0,25.0,6.0,3.0,2.0,0.0,11.0,34.0,12.0,0.0,8.0,1.0,0.0,75.0,0.0,9.0
34,9.51372431456813e+17,1.0,147.0,0.0,0.0,1.0,1.0,12.0,34.0,12.0,2.0,7.0,53.0,130.0,227.0,0.0,113.0,12.0,1.0,0.0,0.0,1.0,129.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,173.0,0.0,1.0
35,9.514860270966088e+17,11.0,2.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,17.0,4.0,0.0,109.0,152.0,3.0,2.0,737.0,64.0,0.0,0.0,0.0,234.0,36.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0
