,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
10,2723949330.0,7.0,0.0,14.0,7.0,8.0,5.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,6.0,11.0,6.0,6.0,5.0,3.0,0.0,9.0,0.0,11.0,11.0,7.0,1.0,2.0,0.0,4.0,9.0,4.0,2.0,1.0,0.0,2.0,9.0,0.0,9.0,14.0,0.0,4.0,13.0,1.0,0.0,10.0,0.0,10.0,13.0,2.0,1.0,17.0,10.0,4.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,14.0,14.0,7.0,9.0,7.0,0.0,0.0,9.0,0.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,8.0,5.0,0.0,8.0,7.0,0.0,3.0,0.0,5.0,10.0,5.0,0.0,0.0,13.0,1.0,0.0,1.0,5.0,14.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,9.0,9.0,0.0,3.0,7.0,0.0,1.0,9.0,6.0,5.0,0.0,10.0,5.0,5.0,12.0,9.0,1.0,8.0,3.0,0.0
11,27535665.0,0.0,6.0,1.0,0.0,0.0,0.0,24.0,16.0,35.0,0.0,0.0,2.0,33.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,24.0,0.0,4.0,0.0,0.0,0.0,17.0,31.0,37.0,14.0,0.0,0.0,18.0,38.0,7.0,7.0,0.0,28.0,0.0,1.0,33.0,13.0,0.0,30.0,7.0,0.0,9.0,0.0,1.0,18.0,55.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,0.0,28.0,15.0,0.0,0.0,0.0,1.0,0.0,20.0,16.0,1.0,8.0,0.0,5.0,0.0,8.0,29.0,0.0,0.0,2.0,3.0,0.0,26.0,0.0,0.0,7.0,0.0,1.0,4.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,16.0,0.0,0.0,17.0,11.0,27.0,6.0,0.0,3.0,0.0,0.0,0.0,21.0,33.0,0.0,4.0,13.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0
12,2765732160.0,73.0,1.0,142.0,7.0,23.0,5.0,1.0,0.0,14.0,16.0,2.0,0.0,0.0,74.0,4.0,0.0,47.0,58.0,17.0,36.0,23.0,0.0,0.0,78.0,0.0,152.0,83.0,13.0,7.0,9.0,13.0,3.0,89.0,12.0,3.0,9.0,0.0,11.0,48.0,2.0,69.0,91.0,3.0,6.0,146.0,25.0,1.0,37.0,0.0,105.0,82.0,2.0,12.0,216.0,63.0,8.0,120.0,1.0,0.0,0.0,89.0,2.0,2.0,141.0,75.0,90.0,68.0,41.0,4.0,1.0,61.0,1.0,4.0,0.0,7.0,2.0,6.0,29.0,0.0,0.0,0.0,12.0,0.0,50.0,22.0,1.0,59.0,29.0,0.0,6.0,4.0,39.0,93.0,24.0,0.0,0.0,210.0,5.0,0.0,2.0,6.0,102.0,3.0,5.0,5.0,4.0,7.0,1.0,0.0,48.0,54.0,1.0,7.0,145.0,0.0,6.0,38.0,13.0,6.0,0.0,57.0,24.0,43.0,129.0,70.0,2.0,41.0,6.0,6.0
13,2886820757.0,0.0,6.0,12.0,0.0,0.0,0.0,26.0,14.0,48.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,22.0,0.0,7.0,0.0,1.0,0.0,15.0,32.0,44.0,18.0,1.0,0.0,20.0,87.0,8.0,14.0,0.0,33.0,0.0,0.0,43.0,14.0,0.0,27.0,10.0,0.0,10.0,0.0,0.0,15.0,80.0,0.0,0.0,0.0,1.0,8.0,4.0,8.0,3.0,25.0,13.0,1.0,5.0,0.0,4.0,0.0,20.0,23.0,1.0,9.0,0.0,5.0,1.0,7.0,41.0,0.0,0.0,2.0,2.0,0.0,29.0,0.0,0.0,6.0,0.0,0.0,6.0,27.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,9.0,0.0,0.0,24.0,10.0,36.0,9.0,0.0,2.0,0.0,0.0,0.0,31.0,40.0,0.0,3.0,13.0,0.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0
14,2905200708.0,35.0,0.0,56.0,7.0,17.0,5.0,0.0,0.0,2.0,6.0,0.0,74.0,0.0,0.0,0.0,0.0,28.0,39.0,11.0,15.0,11.0,0.0,0.0,35.0,0.0,70.0,52.0,12.0,0.0,0.0,0.0,0.0,26.0,7.0,0.0,0.0,0.0,7.0,20.0,0.0,34.0,41.0,0.0,1.0,75.0,1.0,0.0,26.0,0.0,54.0,44.0,1.0,0.0,75.0,21.0,6.0,48.0,0.0,0.0,0.0,39.0,0.0,0.0,66.0,34.0,35.0,23.0,15.0,0.0,0.0,28.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,31.0,20.0,0.0,33.0,11.0,0.0,1.0,0.0,22.0,36.0,13.0,0.0,0.0,85.0,0.0,0.0,1.0,2.0,39.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,34.0,21.0,0.0,1.0,52.0,0.0,0.0,13.0,8.0,2.0,0.0,34.0,13.0,28.0,54.0,60.0,1.0,28.0,4.0,0.0
15,30666576.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,7.0,3.0,5.0,6.0,0.0,0.0,3.0,10.0,3.0,3.0,2.0,4.0,0.0,0.0,4.0,3.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,7.0,13.0,6.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,1.0,6.0,0.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,4.0,5.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,5.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0
16,3171886518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3221051580.0,24.0,1.0,38.0,3.0,16.0,4.0,0.0,0.0,3.0,6.0,0.0,47.0,0.0,28.0,0.0,0.0,0.0,25.0,11.0,14.0,45.0,1.0,0.0,18.0,0.0,36.0,26.0,7.0,0.0,0.0,1.0,3.0,20.0,6.0,0.0,0.0,0.0,5.0,11.0,0.0,18.0,29.0,1.0,1.0,51.0,0.0,0.0,15.0,0.0,34.0,49.0,1.0,1.0,38.0,18.0,4.0,31.0,0.0,0.0,0.0,28.0,0.0,0.0,52.0,21.0,15.0,19.0,13.0,1.0,0.0,21.0,0.0,3.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,25.0,12.0,0.0,26.0,16.0,1.0,0.0,0.0,15.0,26.0,14.0,0.0,0.0,59.0,0.0,0.0,1.0,6.0,24.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,27.0,21.0,0.0,1.0,25.0,0.0,1.0,18.0,35.0,2.0,0.0,17.0,14.0,15.0,37.0,24.0,2.0,15.0,4.0,0.0
18,322204783.0,19.0,2.0,34.0,11.0,22.0,9.0,4.0,7.0,33.0,11.0,7.0,58.0,6.0,39.0,7.0,0.0,25.0,0.0,21.0,11.0,14.0,7.0,6.0,38.0,2.0,58.0,37.0,15.0,9.0,11.0,13.0,21.0,21.0,8.0,9.0,21.0,3.0,11.0,24.0,7.0,41.0,35.0,7.0,16.0,59.0,20.0,3.0,41.0,6.0,35.0,35.0,25.0,17.0,84.0,19.0,7.0,62.0,6.0,3.0,6.0,33.0,7.0,6.0,49.0,44.0,23.0,48.0,21.0,6.0,6.0,31.0,4.0,4.0,5.0,6.0,6.0,7.0,17.0,0.0,2.0,3.0,11.0,7.0,31.0,19.0,9.0,28.0,22.0,2.0,11.0,10.0,28.0,42.0,17.0,0.0,0.0,68.0,13.0,0.0,12.0,6.0,40.0,6.0,12.0,7.0,15.0,11.0,6.0,0.0,34.0,19.0,6.0,19.0,40.0,3.0,7.0,16.0,10.0,21.0,6.0,25.0,17.0,37.0,51.0,49.0,2.0,39.0,7.0,7.0
19,3240596224.0,7.0,0.0,13.0,5.0,13.0,4.0,0.0,0.0,6.0,6.0,0.0,17.0,0.0,11.0,0.0,0.0,11.0,21.0,0.0,7.0,8.0,0.0,0.0,14.0,0.0,20.0,16.0,7.0,0.0,0.0,0.0,8.0,8.0,7.0,3.0,5.0,0.0,5.0,11.0,0.0,18.0,18.0,0.0,2.0,18.0,2.0,0.0,20.0,0.0,12.0,16.0,11.0,0.0,22.0,7.0,4.0,22.0,0.0,1.0,0.0,13.0,0.0,0.0,19.0,18.0,14.0,19.0,11.0,0.0,0.0,13.0,0.0,4.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,17.0,9.0,0.0,11.0,9.0,0.0,1.0,0.0,16.0,16.0,10.0,0.0,0.0,17.0,5.0,0.0,1.0,7.0,14.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,16.0,8.0,0.0,6.0,12.0,0.0,1.0,7.0,5.0,4.0,0.0,12.0,10.0,16.0,16.0,15.0,2.0,16.0,5.0,0.0
