,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
11,14610740.0,0.0,1.0,0.0,6.0,2.0,43.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,31.0,1.0,0.0,9.0,0.0,5.0,5.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
12,15049217.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
13,1568718145.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
14,1853768942.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0
15,207033014.0,2.0,3.0,3.0,14.0,6.0,9.0,0.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0,12.0,5.0,1.0,5.0,6.0,3.0,1.0,6.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,117.0,7.0,2.0,7.0,8.0,9.0,26.0,5.0,4.0,16.0,11.0,0.0,1.0,0.0,2.0,0.0
16,2225046163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2284771098.0,1.0,2.0,0.0,14.0,12.0,12.0,1.0,1.0,2.0,25.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,1.0,17.0,4.0,0.0,1.0,3.0,21.0,1.0,1.0,0.0,5.0,0.0,4.0,8.0,3.0,0.0,0.0,9.0,0.0,3.0,39.0,7.0,1.0,40.0,9.0,23.0,16.0,10.0,6.0,25.0,5.0,1.0,12.0,4.0,3.0,0.0
18,2411092116.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
19,24329260.0,1.0,4.0,0.0,7.0,4.0,10.0,1.0,3.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,11.0,4.0,0.0,2.0,6.0,5.0,3.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,28.0,10.0,0.0,8.0,4.0,16.0,9.0,6.0,13.0,12.0,3.0,0.0,4.0,5.0,2.0,2.0
20,24533214.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,3.0,2.0,2.0,6.0,1.0,1.0,11.0,0.0,1.0,0.0,3.0,0.0
21,24696252.0,0.0,28.0,0.0,57.0,12.0,153.0,5.0,6.0,16.0,58.0,9.0,8.0,0.0,1.0,12.0,0.0,17.0,8.0,11.0,1.0,0.0,4.0,3.0,9.0,54.0,9.0,1.0,6.0,2.0,21.0,0.0,33.0,26.0,2.0,12.0,1.0,25.0,0.0,7.0,361.0,13.0,0.0,66.0,8.0,43.0,85.0,20.0,33.0,36.0,6.0,6.0,10.0,8.0,15.0,4.0
22,26546120.0,1.0,4.0,1.0,2.0,2.0,9.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,9.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,1.0,4.0,1.0,0.0,24.0,12.0,1.0,1.0,1.0,6.0,3.0,9.0,24.0,3.0,11.0,4.0,0.0,4.0,8.0,2.0
23,2691599196.0,0.0,5.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
24,26981507.0,0.0,3.0,0.0,6.0,4.0,11.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,9.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,66.0,3.0,12.0,9.0,0.0,5.0,6.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0
