,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
10,122110275.0,0.0,25.0,0.0,0.0,1.0,2.0,3.0,11.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,11.0,0.0,10.0,13.0,4.0,2.0,3.0,0.0,18.0,8.0,2.0,30.0,0.0,43.0,0.0,6.0,6.0,0.0,4.0,2.0,36.0,0.0,0.0,1.0,2.0,0.0,24.0,0.0,2.0,1.0,71.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,3.0,8.0,6.0,5.0,9.0,2.0,21.0,8.0,4.0,3.0,1.0,24.0,3.0,0.0,2.0,3.0,7.0,3.0,1.0,4.0,6.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,6.0,3.0,2.0,19.0,2.0,18.0,0.0,1.0,0.0,18.0,0.0,0.0,24.0,1.0,3.0,7.0,3.0,3.0,0.0,2.0,0.0,0.0,22.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,9.0,7.0,0.0,11.0,2.0,23.0,7.0,0.0,5.0,0.0,15.0,1.0,0.0,0.0,0.0,4.0,2.0
11,1245780218.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,0.0,1.0,5.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,8.0,0.0,4.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,4.0,8.0,5.0,1.0,1.0,4.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,12.0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,1.0,4.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,3.0,1.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
12,128722739.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,13.0,7.0,2.0,2.0,0.0,24.0,4.0,9.0,29.0,1.0,16.0,0.0,33.0,1.0,0.0,7.0,0.0,43.0,0.0,0.0,1.0,2.0,0.0,25.0,0.0,5.0,1.0,6.0,0.0,0.0,13.0,9.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,5.0,2.0,0.0,1.0,9.0,0.0,0.0,2.0,15.0,3.0,5.0,2.0,6.0,37.0,4.0,4.0,6.0,0.0,5.0,10.0,0.0,3.0,0.0,12.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,5.0,0.0,4.0,7.0,0.0,0.0,16.0,1.0,7.0,1.0,5.0,7.0,3.0,23.0,4.0,19.0,0.0,1.0,0.0,3.0,0.0,0.0,11.0,10.0,2.0,3.0,7.0,6.0,0.0,2.0,0.0,0.0,18.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,19.0,2.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,3.0,4.0
13,129184965.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,3.0,15.0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,10.0,0.0,3.0,2.0,0.0,1.0,1.0,6.0,1.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,7.0,2.0,6.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,3.0,7.0,2.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0
14,131077750.0,0.0,3.0,2.0,0.0,1.0,7.0,1.0,57.0,3.0,1.0,13.0,0.0,1.0,0.0,1.0,7.0,2.0,1.0,4.0,3.0,9.0,2.0,1.0,3.0,5.0,0.0,3.0,1.0,11.0,0.0,3.0,17.0,1.0,0.0,0.0,6.0,3.0,0.0,6.0,2.0,0.0,3.0,0.0,4.0,1.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,1.0,1.0,44.0,19.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,9.0,24.0,55.0,2.0,0.0,5.0,5.0,0.0,4.0,7.0,0.0,4.0,0.0,2.0,18.0,8.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,9.0,2.0,9.0,5.0,8.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,4.0,2.0,0.0,1.0,3.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,1.0,10.0,9.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
15,139639208.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,14126888.0,19.0,15.0,1.0,1.0,2.0,6.0,10.0,67.0,13.0,11.0,4.0,6.0,8.0,7.0,1.0,0.0,3.0,31.0,60.0,5.0,20.0,7.0,0.0,43.0,18.0,0.0,29.0,4.0,73.0,0.0,12.0,10.0,4.0,3.0,5.0,43.0,4.0,1.0,24.0,36.0,2.0,31.0,1.0,10.0,18.0,52.0,0.0,0.0,14.0,4.0,0.0,0.0,2.0,26.0,10.0,4.0,5.0,1.0,9.0,1.0,1.0,8.0,1.0,0.0,96.0,10.0,39.0,18.0,38.0,6.0,46.0,18.0,32.0,12.0,4.0,27.0,18.0,1.0,51.0,5.0,45.0,2.0,10.0,18.0,12.0,12.0,6.0,5.0,7.0,1.0,10.0,9.0,2.0,1.0,8.0,2.0,9.0,0.0,11.0,15.0,7.0,64.0,3.0,89.0,3.0,3.0,3.0,2.0,5.0,2.0,48.0,6.0,14.0,11.0,12.0,63.0,0.0,4.0,4.0,2.0,29.0,18.0,7.0,9.0,0.0,1.0,1.0,2.0,37.0,27.0,1.0,6.0,6.0,62.0,53.0,0.0,7.0,6.0,4.0,9.0,6.0,5.0,1.0,12.0,4.0
17,142201164.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,8.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,1.0,2.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
18,1431355759.0,0.0,5.0,1.0,1.0,0.0,3.0,3.0,21.0,11.0,10.0,2.0,2.0,3.0,1.0,0.0,31.0,4.0,0.0,14.0,4.0,9.0,7.0,0.0,15.0,5.0,1.0,19.0,5.0,27.0,0.0,14.0,8.0,4.0,0.0,2.0,18.0,3.0,1.0,15.0,1.0,1.0,11.0,0.0,8.0,3.0,15.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,14.0,4.0,3.0,0.0,0.0,9.0,3.0,1.0,7.0,2.0,0.0,4.0,5.0,34.0,4.0,12.0,1.0,15.0,4.0,8.0,8.0,11.0,4.0,21.0,0.0,6.0,5.0,13.0,0.0,14.0,7.0,7.0,5.0,2.0,7.0,7.0,1.0,10.0,2.0,2.0,0.0,4.0,0.0,3.0,0.0,7.0,11.0,3.0,16.0,1.0,36.0,2.0,1.0,2.0,1.0,4.0,0.0,11.0,2.0,5.0,8.0,9.0,14.0,0.0,5.0,4.0,1.0,21.0,3.0,7.0,2.0,0.0,1.0,0.0,1.0,17.0,6.0,0.0,6.0,4.0,33.0,15.0,0.0,7.0,4.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0
19,14366730.0,2.0,14.0,0.0,2.0,5.0,4.0,6.0,28.0,18.0,13.0,2.0,13.0,15.0,4.0,0.0,60.0,2.0,14.0,0.0,8.0,22.0,11.0,0.0,45.0,12.0,9.0,34.0,5.0,62.0,0.0,26.0,17.0,6.0,7.0,7.0,47.0,6.0,1.0,27.0,18.0,0.0,27.0,0.0,10.0,6.0,28.0,0.0,0.0,20.0,5.0,1.0,0.0,2.0,11.0,9.0,4.0,2.0,4.0,5.0,7.0,1.0,20.0,0.0,0.0,15.0,14.0,24.0,15.0,21.0,4.0,33.0,11.0,17.0,7.0,11.0,10.0,32.0,0.0,8.0,5.0,49.0,0.0,16.0,18.0,14.0,8.0,6.0,8.0,4.0,0.0,20.0,15.0,0.0,0.0,10.0,2.0,6.0,2.0,11.0,22.0,8.0,36.0,3.0,63.0,0.0,4.0,2.0,3.0,5.0,0.0,25.0,7.0,9.0,10.0,14.0,29.0,0.0,5.0,2.0,2.0,40.0,9.0,6.0,23.0,0.0,1.0,0.0,5.0,18.0,34.0,2.0,14.0,9.0,20.0,40.0,0.0,2.0,6.0,5.0,5.0,4.0,1.0,0.0,6.0,5.0
