,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
10,2905200708.0,35.0,56.0,7.0,17.0,5.0,16.0,30.0,6.0,74.0,0.0,28.0,39.0,11.0,15.0,11.0,35.0,70.0,52.0,12.0,26.0,7.0,15.0,7.0,20.0,34.0,41.0,75.0,26.0,54.0,44.0,75.0,21.0,6.0,48.0,39.0,66.0,34.0,35.0,23.0,15.0,28.0,2.0,2.0,0.0,10.0,0.0,11.0,31.0,20.0,33.0,11.0,22.0,36.0,13.0,0.0,85.0,2.0,39.0,34.0,21.0,52.0,13.0,8.0,34.0,13.0,28.0,54.0,2.0,60.0,1.0,28.0
11,3221051580.0,24.0,38.0,3.0,16.0,4.0,9.0,20.0,6.0,47.0,28.0,0.0,25.0,11.0,14.0,45.0,18.0,36.0,26.0,7.0,20.0,6.0,7.0,5.0,11.0,18.0,29.0,51.0,15.0,34.0,49.0,38.0,18.0,4.0,31.0,28.0,52.0,21.0,15.0,19.0,13.0,21.0,3.0,9.0,0.0,6.0,0.0,8.0,25.0,12.0,26.0,16.0,15.0,26.0,14.0,0.0,59.0,6.0,24.0,27.0,21.0,25.0,18.0,35.0,17.0,14.0,15.0,37.0,2.0,24.0,2.0,15.0
12,322204783.0,19.0,34.0,11.0,22.0,9.0,24.0,21.0,11.0,58.0,39.0,25.0,0.0,21.0,11.0,14.0,38.0,58.0,37.0,15.0,21.0,8.0,7.0,11.0,24.0,41.0,35.0,59.0,41.0,35.0,35.0,84.0,19.0,7.0,62.0,33.0,49.0,44.0,23.0,48.0,21.0,31.0,4.0,6.0,0.0,17.0,0.0,11.0,31.0,19.0,28.0,22.0,28.0,42.0,17.0,0.0,68.0,6.0,40.0,34.0,19.0,40.0,16.0,10.0,25.0,17.0,37.0,51.0,2.0,49.0,2.0,39.0
13,3240596224.0,7.0,13.0,5.0,13.0,4.0,9.0,10.0,6.0,17.0,11.0,11.0,21.0,0.0,7.0,8.0,14.0,20.0,16.0,7.0,8.0,7.0,5.0,5.0,11.0,18.0,18.0,18.0,20.0,12.0,16.0,22.0,7.0,4.0,22.0,13.0,19.0,18.0,14.0,19.0,11.0,13.0,4.0,4.0,0.0,8.0,0.0,8.0,17.0,9.0,11.0,9.0,16.0,16.0,10.0,0.0,17.0,7.0,14.0,16.0,8.0,12.0,7.0,5.0,12.0,10.0,16.0,16.0,2.0,15.0,2.0,16.0
14,3317015827.0,13.0,28.0,1.0,7.0,5.0,16.0,50.0,6.0,36.0,15.0,14.0,11.0,7.0,0.0,14.0,12.0,23.0,22.0,10.0,9.0,4.0,6.0,1.0,9.0,16.0,19.0,36.0,15.0,50.0,23.0,58.0,14.0,3.0,19.0,25.0,30.0,16.0,11.0,11.0,8.0,8.0,3.0,25.0,0.0,4.0,0.0,6.0,12.0,8.0,12.0,9.0,9.0,52.0,6.0,0.0,40.0,4.0,40.0,14.0,15.0,18.0,14.0,5.0,14.0,6.0,7.0,27.0,1.0,13.0,1.0,8.0
15,3320251608.0,18.0,29.0,2.0,11.0,4.0,9.0,14.0,5.0,23.0,11.0,45.0,14.0,8.0,14.0,0.0,7.0,14.0,13.0,5.0,11.0,7.0,9.0,5.0,8.0,12.0,13.0,21.0,11.0,17.0,24.0,18.0,10.0,4.0,16.0,14.0,43.0,9.0,10.0,6.0,8.0,9.0,3.0,12.0,0.0,3.0,0.0,5.0,25.0,11.0,14.0,9.0,5.0,19.0,6.0,0.0,25.0,7.0,12.0,23.0,12.0,17.0,12.0,12.0,10.0,6.0,7.0,19.0,1.0,11.0,1.0,7.0
16,3769684214.0,31.0,39.0,7.0,9.0,6.0,26.0,62.0,9.0,78.0,35.0,18.0,38.0,14.0,12.0,7.0,0.0,84.0,49.0,7.0,13.0,7.0,2.0,4.0,40.0,28.0,332.0,55.0,38.0,56.0,50.0,117.0,27.0,4.0,62.0,41.0,35.0,54.0,41.0,64.0,16.0,38.0,2.0,5.0,0.0,26.0,0.0,6.0,32.0,18.0,33.0,24.0,23.0,30.0,17.0,0.0,89.0,3.0,77.0,26.0,16.0,34.0,11.0,5.0,26.0,17.0,14.0,59.0,2.0,31.0,2.0,22.0
17,4090782444.0,39.0,85.0,6.0,21.0,7.0,21.0,63.0,11.0,152.0,70.0,36.0,58.0,20.0,23.0,14.0,84.0,0.0,60.0,11.0,41.0,12.0,9.0,9.0,43.0,50.0,74.0,128.0,50.0,94.0,62.0,158.0,49.0,8.0,119.0,69.0,95.0,61.0,55.0,80.0,32.0,53.0,4.0,6.0,0.0,20.0,0.0,13.0,46.0,21.0,59.0,27.0,84.0,64.0,17.0,0.0,139.0,6.0,90.0,43.0,32.0,91.0,30.0,11.0,52.0,17.0,39.0,86.0,2.0,69.0,2.0,44.0
18,439885517.0,51.0,62.0,11.0,16.0,5.0,22.0,66.0,11.0,84.0,52.0,26.0,37.0,16.0,22.0,13.0,49.0,60.0,0.0,15.0,34.0,9.0,7.0,4.0,26.0,46.0,61.0,66.0,28.0,58.0,61.0,98.0,30.0,7.0,46.0,39.0,65.0,36.0,59.0,37.0,24.0,38.0,4.0,5.0,0.0,15.0,0.0,14.0,29.0,15.0,28.0,22.0,18.0,40.0,13.0,0.0,92.0,6.0,69.0,36.0,33.0,49.0,23.0,12.0,40.0,13.0,22.0,60.0,2.0,38.0,2.0,22.0
19,447286009.0,8.0,11.0,3.0,9.0,3.0,10.0,9.0,7.0,13.0,12.0,7.0,15.0,7.0,10.0,5.0,7.0,11.0,15.0,0.0,6.0,4.0,7.0,6.0,8.0,13.0,12.0,17.0,9.0,10.0,13.0,17.0,7.0,4.0,10.0,11.0,16.0,11.0,6.0,7.0,7.0,8.0,3.0,5.0,0.0,3.0,0.0,7.0,11.0,9.0,11.0,11.0,4.0,11.0,5.0,0.0,17.0,5.0,9.0,12.0,7.0,7.0,8.0,5.0,10.0,5.0,7.0,13.0,2.0,16.0,2.0,8.0
