,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
10,11430852.0,14.0,13.0,4.0,18.0,0.0,0.0,2.0,39.0,2.0,0.0,20.0,31.0,0.0,1.0,30.0,91.0,11.0,20.0,3.0,1.0,3.0,14.0,1.0,18.0,10.0,16.0,1.0,5.0,24.0,4.0,20.0,22.0,3.0,4.0,11.0,8.0,0.0,35.0,58.0,16.0,0.0,20.0,3.0,4.0,16.0,16.0,1.0,9.0,43.0,8.0,4.0,2.0,4.0,7.0,4.0,5.0,4.0,10.0,1.0,0.0,17.0,12.0,1.0,5.0,14.0,24.0,33.0,3.0,21.0,1.0,10.0,1.0,49.0,4.0,12.0,1.0,23.0,0.0,5.0,18.0,0.0,0.0,1.0,32.0,22.0,3.0,11.0,1.0,4.0,4.0,0.0,12.0,17.0,10.0,13.0,1.0,9.0,2.0,3.0,7.0,18.0,6.0,1.0,25.0,0.0,0.0,7.0,1.0,2.0
11,115893687.0,4.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,2.0,20.0,0.0,5.0,0.0,2.0,7.0,4.0,2.0,6.0,7.0,1.0,1.0,13.0,0.0,12.0,5.0,11.0,1.0,1.0,12.0,3.0,9.0,8.0,6.0,1.0,2.0,6.0,2.0,6.0,15.0,11.0,0.0,6.0,0.0,0.0,7.0,8.0,1.0,0.0,8.0,9.0,1.0,1.0,5.0,6.0,1.0,3.0,17.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,9.0,6.0,4.0,2.0,1.0,0.0,0.0,1.0,24.0,2.0,4.0,1.0,14.0,0.0,2.0,11.0,0.0,1.0,1.0,9.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,9.0,9.0,2.0,1.0,3.0,2.0,3.0,0.0,7.0,3.0,4.0,1.0,2.0,1.0,2.0,9.0,0.0
12,11679492.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.0,5.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,5.0,0.0,0.0,9.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,23.0,0.0,0.0,1.0,15.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0
13,117776777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1224729361.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14546538.0,2.0,2.0,5.0,1.0,0.0,0.0,14.0,7.0,3.0,30.0,7.0,2.0,0.0,1.0,0.0,6.0,1.0,1.0,2.0,3.0,1.0,18.0,0.0,11.0,1.0,2.0,0.0,2.0,19.0,1.0,11.0,6.0,5.0,2.0,3.0,6.0,1.0,6.0,7.0,3.0,0.0,4.0,0.0,0.0,4.0,10.0,1.0,4.0,14.0,5.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,6.0,1.0,1.0,0.0,2.0,1.0,4.0,6.0,7.0,13.0,1.0,2.0,0.0,1.0,0.0,33.0,17.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,1.0,12.0,11.0,1.0,0.0,1.0,2.0,2.0,0.0,5.0,18.0,2.0,8.0,0.0,5.0,1.0,4.0,0.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0
16,145622254.0,30.0,20.0,4.0,97.0,0.0,2.0,0.0,77.0,0.0,91.0,4.0,4.0,0.0,0.0,6.0,0.0,9.0,35.0,0.0,0.0,1.0,1.0,2.0,5.0,20.0,19.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,19.0,4.0,1.0,0.0,40.0,39.0,6.0,0.0,0.0,9.0,2.0,29.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,6.0,25.0,0.0,8.0,18.0,9.0,63.0,0.0,12.0,2.0,0.0,0.0,17.0,1.0,10.0,0.0,41.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,5.0,0.0,27.0,2.0,19.0,4.0,0.0,0.0,5.0,3.0,2.0,1.0,0.0,2.0,0.0,9.0,10.0,1.0,0.0,19.0,0.0,0.0,3.0,0.0,4.0
17,1489361083.0,4.0,7.0,2.0,6.0,0.0,2.0,0.0,10.0,2.0,11.0,2.0,1.0,1.0,1.0,1.0,9.0,0.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,6.0,2.0,0.0,1.0,2.0,1.0,6.0,1.0,3.0,0.0,2.0,0.0,9.0,10.0,2.0,0.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,4.0,3.0,5.0,14.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0
18,154167199.0,3.0,13.0,0.0,7.0,0.0,0.0,1.0,32.0,0.0,20.0,6.0,6.0,0.0,0.0,1.0,35.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,11.0,11.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,7.0,1.0,3.0,0.0,22.0,18.0,3.0,0.0,0.0,6.0,2.0,11.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,3.0,7.0,0.0,7.0,10.0,5.0,31.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,18.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0
19,15528513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
