,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
10,121716202.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,122322961.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,5.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0
12,124044755.0,91.0,8.0,5.0,20.0,60.0,27.0,5.0,391.0,61.0,4.0,8.0,0.0,25.0,3.0,31.0,2.0,65.0,3.0,37.0,46.0,44.0,28.0,12.0,7.0,4.0,93.0,44.0,29.0,23.0,0.0,11.0,7.0,4.0,77.0,10.0,47.0,16.0,10.0,4.0,0.0,183.0,2.0,24.0,4.0,1.0,1.0,29.0,146.0,4.0,5.0,398.0,135.0,0.0,38.0,0.0,260.0,17.0,15.0,70.0,3.0,7.0,3.0,4.0,254.0,16.0,2.0,42.0,2.0,124.0,208.0,55.0,22.0,28.0,269.0,297.0,2.0,61.0,10.0,3.0,12.0,5.0,3.0,106.0,206.0,2.0,16.0,6.0,33.0,145.0,0.0,46.0,6.0,4.0,50.0,4.0,2.0,1388.0,14.0,34.0,96.0,72.0,5.0,8.0,3.0,48.0,11.0,37.0,10.0,7.0,0.0,45.0,44.0,17.0,56.0,341.0,5.0,11.0,9.0,8.0,7.0,98.0,22.0,29.0,11.0,27.0,220.0,3.0,19.0,10.0,34.0,10.0,3.0,4.0,4.0,133.0,51.0,7.0,54.0,126.0,26.0,49.0,60.0,10.0,10.0,29.0,20.0,4.0,0.0,43.0,3.0,8.0,119.0,6.0,0.0,2.0,15.0,14.0
13,130027649.0,0.0,2.0,1.0,2.0,4.0,2.0,0.0,4.0,2.0,0.0,2.0,25.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,63.0,0.0,2.0,1.0,1.0,0.0,3.0,8.0,2.0,1.0,0.0,2.0,0.0,28.0,64.0,1.0,8.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,9.0,0.0,0.0,15.0,0.0,5.0,6.0,9.0,5.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,10.0,13.0,0.0,30.0,0.0,11.0,1.0,0.0,79.0,0.0,18.0,7.0,1.0,0.0,9.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,5.0,0.0,8.0,4.0,0.0,0.0,0.0,6.0,1.0,5.0,5.0,12.0,1.0,1.0,1.0,1.0,6.0,5.0,0.0,1.0,5.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,8.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,3.0
14,13013112.0,0.0,0.0,2.0,8.0,20.0,0.0,5.0,2.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,11.0,2.0,9.0,3.0,12.0,1.0,5.0,6.0,3.0,6.0,0.0,1.0,2.0,0.0,12.0,8.0,5.0,2.0,0.0,1.0,2.0,9.0,1.0,5.0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,10.0,0.0,10.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,19.0,3.0,3.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,10.0,0.0,5.0,0.0,6.0,2.0,0.0,2.0,0.0,9.0,0.0,8.0,10.0,0.0,10.0,1.0,0.0,10.0,5.0,12.0,8.0,15.0,5.0,6.0,3.0,3.0,0.0,1.0,7.0,7.0,3.0,5.0,1.0,3.0,0.0,0.0,6.0,4.0,16.0,0.0,3.0,17.0,8.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,4.0
15,1309690194.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,7.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0
16,1316763114.0,0.0,1.0,23.0,38.0,14.0,1.0,12.0,1.0,24.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,1.0,17.0,24.0,6.0,3.0,6.0,26.0,0.0,18.0,17.0,7.0,12.0,0.0,0.0,1.0,0.0,41.0,12.0,14.0,6.0,0.0,1.0,11.0,26.0,4.0,13.0,2.0,0.0,0.0,5.0,4.0,6.0,0.0,11.0,2.0,0.0,2.0,16.0,0.0,28.0,0.0,15.0,21.0,6.0,6.0,1.0,11.0,18.0,15.0,0.0,33.0,0.0,20.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,1.0,3.0,3.0,1.0,41.0,5.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,19.0,1.0,2.0,0.0,32.0,18.0,0.0,17.0,0.0,9.0,1.0,0.0,0.0,0.0,18.0,1.0,20.0,24.0,0.0,10.0,1.0,0.0,43.0,20.0,40.0,14.0,37.0,8.0,27.0,15.0,11.0,0.0,3.0,31.0,19.0,12.0,8.0,4.0,10.0,0.0,2.0,33.0,15.0,33.0,0.0,29.0,44.0,21.0,7.0,0.0,1.0,1.0,34.0,0.0,1.0,3.0,0.0,0.0,0.0,11.0,14.0,1.0,16.0
17,132350168.0,2.0,18.0,1.0,3.0,8.0,1.0,2.0,3.0,6.0,4.0,4.0,65.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,7.0,6.0,2.0,1.0,2.0,1.0,4.0,6.0,10.0,1.0,0.0,2.0,0.0,1.0,15.0,0.0,9.0,3.0,2.0,3.0,0.0,5.0,0.0,16.0,1.0,0.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,13.0,3.0,28.0,5.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,18.0,2.0,0.0,20.0,0.0,7.0,4.0,22.0,9.0,1.0,0.0,2.0,1.0,47.0,1.0,2.0,4.0,24.0,1.0,6.0,0.0,11.0,4.0,0.0,9.0,1.0,2.0,6.0,2.0,0.0,26.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,8.0,0.0,5.0,11.0,0.0,2.0,9.0,12.0,2.0,12.0,8.0,1.0,4.0,2.0,3.0,0.0,17.0,10.0,5.0,2.0,0.0,2.0,1.0,5.0,4.0,6.0,3.0,2.0,0.0,13.0,2.0,7.0,6.0,7.0,1.0,11.0,15.0,8.0,1.0,0.0,22.0,3.0,3.0,0.0,13.0,0.0,1.0,25.0,18.0,0.0,1.0,31.0,3.0
18,136522872.0,0.0,0.0,6.0,12.0,5.0,0.0,5.0,1.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,2.0,2.0,9.0,0.0,5.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,1.0,0.0,1.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,5.0,1.0,6.0,0.0,5.0,0.0,0.0,2.0,4.0,0.0,11.0,0.0,5.0,7.0,3.0,7.0,0.0,3.0,5.0,6.0,0.0,11.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,14.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,12.0,11.0,0.0,6.0,0.0,4.0,1.0,0.0,1.0,0.0,7.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,12.0,9.0,15.0,4.0,12.0,3.0,7.0,4.0,3.0,0.0,2.0,11.0,7.0,4.0,2.0,1.0,4.0,0.0,2.0,16.0,6.0,10.0,0.0,13.0,18.0,8.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,7.0
19,138278423.0,10.0,1.0,0.0,1.0,2.0,3.0,0.0,13.0,0.0,0.0,2.0,37.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,6.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,3.0,19.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,2.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,21.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,13.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,8.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0
