,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
10,185667013.0,3.0,0.0,1.0,22.0,14.0,4.0,21.0,27.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,28.0,9.0,20.0,27.0,10.0,71.0,5.0,2.0,14.0,2.0,9.0,13.0,11.0,4.0,0.0,47.0,0.0,1.0,10.0,0.0,2.0,19.0,7.0,1.0,18.0,7.0,14.0,20.0,3.0,0.0,2.0,14.0,4.0,2.0,9.0,3.0,0.0,1.0,2.0
11,2339508653.0,0.0,15.0,10.0,20.0,6.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,21.0,17.0,8.0,17.0,8.0,0.0,16.0,6.0,15.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,6.0,7.0,0.0,1.0,0.0,19.0,0.0,0.0,11.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,5.0,0.0,0.0,0.0
12,2359328575.0,144.0,0.0,1.0,17.0,11.0,123.0,24.0,27.0,129.0,7.0,0.0,0.0,3.0,451.0,0.0,13.0,6.0,14.0,25.0,10.0,5.0,4.0,1.0,6.0,39.0,4.0,727.0,67.0,2.0,0.0,56.0,0.0,1.0,216.0,0.0,4.0,11.0,8.0,3.0,20.0,13.0,7.0,28.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,6.0,155.0
13,2481754254.0,1.0,27.0,16.0,49.0,20.0,1.0,46.0,24.0,1.0,5.0,7.0,3.0,0.0,3.0,0.0,48.0,41.0,40.0,39.0,20.0,8.0,35.0,3.0,39.0,0.0,5.0,4.0,5.0,20.0,0.0,20.0,8.0,17.0,6.0,1.0,0.0,43.0,3.0,2.0,43.0,3.0,46.0,32.0,1.0,0.0,0.0,3.0,15.0,3.0,9.0,12.0,0.0,0.0,2.0
14,253687000.0,68.0,3.0,0.0,8.0,7.0,109.0,14.0,16.0,80.0,5.0,0.0,451.0,3.0,0.0,0.0,11.0,4.0,9.0,10.0,9.0,4.0,3.0,0.0,5.0,19.0,2.0,881.0,26.0,1.0,0.0,29.0,0.0,1.0,110.0,0.0,2.0,8.0,10.0,1.0,13.0,8.0,4.0,15.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,5.0,89.0
15,2777267479.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2890704012.0,6.0,577.0,120.0,1041.0,65.0,6.0,572.0,238.0,4.0,28.0,21.0,13.0,48.0,11.0,1.0,0.0,428.0,301.0,588.0,86.0,28.0,822.0,20.0,292.0,3.0,48.0,27.0,47.0,95.0,0.0,228.0,33.0,56.0,20.0,1.0,6.0,365.0,17.0,4.0,272.0,10.0,257.0,143.0,3.0,0.0,2.0,29.0,50.0,8.0,20.0,34.0,0.0,1.0,9.0
17,2891849250.0,1.0,337.0,70.0,576.0,37.0,1.0,276.0,71.0,3.0,9.0,17.0,6.0,41.0,4.0,0.0,428.0,0.0,122.0,274.0,52.0,14.0,547.0,12.0,133.0,0.0,18.0,8.0,20.0,55.0,0.0,58.0,25.0,37.0,8.0,1.0,0.0,163.0,5.0,5.0,96.0,1.0,122.0,72.0,3.0,0.0,0.0,6.0,29.0,2.0,15.0,21.0,0.0,0.0,1.0
18,2904321841.0,3.0,156.0,53.0,358.0,49.0,4.0,245.0,189.0,2.0,20.0,8.0,14.0,40.0,9.0,1.0,301.0,122.0,0.0,277.0,71.0,29.0,131.0,10.0,217.0,2.0,45.0,22.0,37.0,54.0,0.0,250.0,37.0,31.0,19.0,1.0,2.0,228.0,12.0,6.0,221.0,8.0,229.0,114.0,1.0,0.0,1.0,11.0,35.0,16.0,9.0,35.0,0.0,2.0,7.0
19,2922747169.0,15.0,130.0,72.0,581.0,61.0,9.0,408.0,267.0,4.0,27.0,17.0,25.0,39.0,10.0,1.0,588.0,274.0,277.0,0.0,80.0,25.0,297.0,14.0,229.0,2.0,49.0,40.0,58.0,94.0,0.0,288.0,17.0,41.0,24.0,1.0,17.0,236.0,17.0,3.0,275.0,13.0,220.0,132.0,4.0,0.0,3.0,27.0,41.0,4.0,15.0,31.0,0.0,1.0,21.0
