,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
19,7.644788817345946e+17,1.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,4.0,3.0,11.0,2.0,0.0,21.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0
20,7.647486216443863e+17,3.0,62.0,0.0,0.0,0.0,30.0,0.0,7.0,3.0,33.0,1.0,7.0,12.0,6.0,33.0,26.0,2.0,5.0,2.0,0.0,21.0,15.0,3.0,13.0,0.0,3.0,2.0,8.0,5.0,0.0,0.0,0.0,1.0
21,7.67003112515199e+17,19.0,60.0,1.0,0.0,0.0,26.0,0.0,15.0,197.0,21.0,14.0,85.0,35.0,59.0,48.0,28.0,16.0,19.0,4.0,21.0,0.0,87.0,2.0,73.0,3.0,10.0,28.0,40.0,26.0,0.0,2.0,0.0,3.0
22,7.899100511001682e+17,21.0,60.0,2.0,0.0,0.0,14.0,0.0,13.0,92.0,12.0,8.0,69.0,27.0,26.0,23.0,28.0,14.0,14.0,3.0,15.0,87.0,0.0,3.0,51.0,2.0,8.0,17.0,24.0,25.0,0.0,1.0,1.0,7.0
23,8.090040431797248e+17,0.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,11.0,3.0,2.0,3.0,0.0,2.0,0.0,13.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
24,8.125253724578079e+17,15.0,31.0,1.0,0.0,0.0,12.0,0.0,13.0,87.0,8.0,19.0,45.0,23.0,35.0,29.0,11.0,9.0,13.0,2.0,13.0,73.0,51.0,2.0,0.0,1.0,2.0,19.0,25.0,19.0,0.0,3.0,2.0,2.0
25,8.127293339155825e+17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,49.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0
26,8.281565517729833e+17,2.0,16.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,6.0,6.0,1.0,5.0,7.0,3.0,4.0,21.0,3.0,10.0,8.0,13.0,2.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0
27,8.358754530302607e+17,4.0,26.0,2.0,0.0,0.0,4.0,0.0,14.0,15.0,2.0,16.0,20.0,16.0,10.0,8.0,11.0,5.0,11.0,2.0,2.0,28.0,17.0,1.0,19.0,1.0,3.0,0.0,29.0,14.0,0.0,5.0,6.0,2.0
28,8.554582450073395e+17,7.0,128.0,3.0,19.0,0.0,6.0,0.0,28.0,19.0,5.0,27.0,31.0,27.0,11.0,25.0,53.0,15.0,16.0,3.0,8.0,40.0,24.0,2.0,25.0,1.0,4.0,29.0,0.0,62.0,0.0,4.0,2.0,8.0
