,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
22,3118190760.0,0.0,31.0,9.0,0.0,18.0,2.0,22.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,49.0,9.0,1.0,163.0,137.0,0.0,86.0,4.0,3.0,0.0,0.0,2.0,3.0,33.0,2.0,5.0,48.0,0.0,0.0,65.0,6.0,0.0,125.0,0.0,1.0,0.0,3.0,2.0,2.0,108.0,2.0,24.0,0.0,0.0,10.0,17.0,18.0,15.0,0.0,0.0,16.0,0.0,53.0,1.0
23,3170883763.0,2.0,59.0,35.0,23.0,96.0,20.0,40.0,2.0,5.0,8.0,5.0,10.0,18.0,3.0,42.0,16.0,170.0,37.0,15.0,149.0,110.0,86.0,0.0,45.0,24.0,0.0,0.0,26.0,24.0,56.0,11.0,9.0,167.0,0.0,1.0,236.0,27.0,9.0,342.0,3.0,4.0,8.0,10.0,14.0,10.0,168.0,11.0,81.0,18.0,0.0,12.0,36.0,65.0,25.0,0.0,1.0,73.0,0.0,58.0,2.0
24,3189515778.0,6.0,12.0,204.0,36.0,308.0,133.0,6.0,0.0,0.0,24.0,0.0,2.0,92.0,67.0,82.0,33.0,39.0,78.0,35.0,11.0,4.0,4.0,45.0,0.0,249.0,0.0,0.0,176.0,107.0,0.0,75.0,14.0,46.0,0.0,9.0,25.0,204.0,21.0,78.0,9.0,15.0,10.0,0.0,198.0,20.0,14.0,10.0,15.0,55.0,1.0,0.0,6.0,34.0,5.0,0.0,4.0,11.0,5.0,2.0,1.0
25,3194843808.0,1.0,8.0,256.0,28.0,474.0,172.0,5.0,0.0,1.0,21.0,0.0,1.0,113.0,73.0,65.0,29.0,23.0,81.0,45.0,6.0,3.0,3.0,24.0,249.0,0.0,0.0,0.0,189.0,133.0,0.0,81.0,12.0,33.0,0.0,8.0,8.0,267.0,14.0,54.0,5.0,13.0,11.0,2.0,310.0,14.0,10.0,10.0,8.0,40.0,1.0,0.0,4.0,22.0,2.0,0.0,1.0,7.0,6.0,2.0,0.0
26,3248168326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3281494524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,3322590888.0,4.0,5.0,174.0,13.0,221.0,103.0,4.0,0.0,1.0,11.0,1.0,0.0,66.0,58.0,38.0,9.0,31.0,62.0,20.0,7.0,4.0,2.0,26.0,176.0,189.0,0.0,0.0,0.0,92.0,3.0,51.0,5.0,19.0,0.0,6.0,11.0,163.0,9.0,35.0,5.0,7.0,2.0,1.0,166.0,8.0,7.0,2.0,10.0,27.0,1.0,0.0,6.0,18.0,4.0,0.0,2.0,6.0,6.0,2.0,0.0
29,338872040.0,2.0,13.0,136.0,26.0,173.0,72.0,4.0,0.0,0.0,20.0,1.0,8.0,53.0,57.0,63.0,34.0,25.0,42.0,25.0,6.0,4.0,3.0,24.0,107.0,133.0,0.0,0.0,92.0,0.0,2.0,56.0,7.0,31.0,0.0,5.0,14.0,128.0,23.0,48.0,4.0,16.0,7.0,4.0,102.0,14.0,14.0,9.0,5.0,35.0,1.0,0.0,3.0,9.0,1.0,0.0,1.0,7.0,1.0,3.0,2.0
30,3628875433.0,0.0,31.0,3.0,0.0,8.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,1.0,0.0,36.0,37.0,33.0,56.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,52.0,1.0,1.0,67.0,0.0,1.0,0.0,2.0,2.0,0.0,67.0,0.0,27.0,2.0,0.0,7.0,18.0,9.0,15.0,0.0,0.0,11.0,0.0,29.0,1.0
31,4161259815.0,2.0,7.0,79.0,7.0,103.0,52.0,2.0,0.0,1.0,4.0,34.0,7.0,46.0,34.0,14.0,8.0,10.0,20.0,12.0,6.0,36.0,2.0,11.0,75.0,81.0,0.0,0.0,51.0,56.0,0.0,0.0,5.0,11.0,0.0,6.0,6.0,83.0,7.0,20.0,2.0,6.0,3.0,1.0,251.0,8.0,7.0,7.0,2.0,16.0,1.0,0.0,2.0,5.0,1.0,0.0,1.0,5.0,2.0,2.0,1.0
32,4202424553.0,84.0,5.0,11.0,17.0,19.0,13.0,4.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,121.0,4.0,12.0,11.0,8.0,5.0,3.0,5.0,9.0,14.0,12.0,0.0,0.0,5.0,7.0,0.0,5.0,0.0,8.0,0.0,2.0,1.0,9.0,1.0,11.0,2.0,2.0,4.0,0.0,5.0,16.0,4.0,6.0,2.0,11.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
33,434133183.0,4.0,67.0,43.0,24.0,98.0,24.0,44.0,2.0,2.0,13.0,0.0,3.0,19.0,5.0,47.0,23.0,140.0,23.0,28.0,109.0,75.0,48.0,167.0,46.0,33.0,0.0,0.0,19.0,31.0,42.0,11.0,8.0,0.0,0.0,3.0,173.0,36.0,14.0,268.0,2.0,9.0,8.0,5.0,20.0,15.0,104.0,10.0,79.0,23.0,1.0,9.0,33.0,41.0,29.0,0.0,1.0,66.0,1.0,62.0,1.0
34,445479286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4694377202.0,0.0,3.0,12.0,2.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,9.0,8.0,0.0,0.0,6.0,5.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
36,469439419.0,1.0,70.0,30.0,3.0,82.0,7.0,36.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,4.0,137.0,25.0,5.0,103.0,81.0,65.0,236.0,25.0,8.0,0.0,0.0,11.0,14.0,52.0,6.0,1.0,173.0,0.0,1.0,0.0,12.0,4.0,317.0,1.0,1.0,1.0,1.0,7.0,4.0,126.0,5.0,84.0,5.0,0.0,7.0,31.0,59.0,27.0,0.0,0.0,82.0,0.0,65.0,0.0
37,4880039583.0,2.0,7.0,198.0,20.0,303.0,148.0,9.0,0.0,2.0,16.0,1.0,2.0,101.0,73.0,61.0,29.0,21.0,74.0,32.0,8.0,5.0,6.0,27.0,204.0,267.0,0.0,0.0,163.0,128.0,1.0,83.0,9.0,36.0,0.0,8.0,12.0,0.0,18.0,47.0,3.0,20.0,7.0,5.0,217.0,18.0,16.0,11.0,10.0,33.0,1.0,0.0,3.0,13.0,3.0,0.0,1.0,8.0,7.0,3.0,1.0
38,607145367.0,4.0,2.0,11.0,32.0,36.0,7.0,0.0,0.0,1.0,20.0,0.0,1.0,10.0,18.0,53.0,35.0,7.0,5.0,8.0,0.0,3.0,0.0,9.0,21.0,14.0,0.0,0.0,9.0,23.0,1.0,7.0,1.0,14.0,0.0,0.0,4.0,18.0,0.0,25.0,0.0,23.0,2.0,1.0,12.0,7.0,4.0,3.0,3.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0
