,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,1670798282.0,3.0,3.0,2.0,2.0,2.0,9.0,7.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,13.0,5.0,1.0,1.0,0.0,2.0,6.0,3.0,3.0,0.0,4.0,0.0,1.0,2.0
11,19337106.0,0.0,1.0,1.0,4.0,4.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
12,195676282.0,1.0,4.0,0.0,4.0,3.0,4.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,6.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,8.0,0.0,2.0,3.0
13,20133907.0,0.0,3.0,19.0,6.0,14.0,6.0,7.0,0.0,6.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,33.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,10.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,9.0,6.0,2.0,0.0,11.0,4.0,1.0,2.0,0.0,1.0,8.0,0.0,3.0,0.0,4.0,0.0,2.0,1.0
14,207461693.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,223415493.0,2.0,42.0,0.0,0.0,2.0,2.0,42.0,0.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,160.0,39.0,0.0,0.0,18.0,0.0,0.0,41.0,0.0,0.0,21.0,1.0,0.0,6.0,16.0,1.0,11.0,6.0,0.0,5.0,0.0,9.0,2.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,3.0,60.0,7.0,47.0,8.0,3.0,0.0,18.0,0.0,65.0,1.0,1.0,0.0,7.0,4.0,7.0,7.0
16,2545476971.0,0.0,26.0,1.0,6.0,10.0,7.0,9.0,0.0,22.0,3.0,2.0,6.0,3.0,0.0,10.0,0.0,7.0,11.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,2.0,9.0,0.0,9.0,19.0,5.0,8.0,3.0,6.0,0.0,1.0,16.0,7.0,0.0,0.0,3.0,0.0,1.0,1.0,29.0,8.0,10.0,5.0,79.0,3.0,4.0,1.0,6.0,1.0,28.0,1.0,4.0,0.0,16.0,16.0,23.0,27.0
17,256156536.0,2.0,27.0,3.0,2.0,0.0,1.0,18.0,0.0,24.0,2.0,1.0,1.0,1.0,0.0,160.0,7.0,0.0,32.0,1.0,0.0,15.0,0.0,0.0,33.0,0.0,0.0,8.0,0.0,0.0,1.0,11.0,1.0,10.0,2.0,0.0,1.0,2.0,7.0,1.0,1.0,17.0,12.0,0.0,0.0,0.0,2.0,2.0,1.0,18.0,2.0,42.0,5.0,40.0,1.0,4.0,1.0,14.0,2.0,46.0,1.0,2.0,0.0,1.0,5.0,4.0,6.0
18,2585049200.0,2.0,56.0,3.0,2.0,8.0,3.0,27.0,0.0,42.0,5.0,1.0,2.0,2.0,0.0,39.0,11.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0,24.0,0.0,0.0,25.0,2.0,0.0,1.0,10.0,0.0,25.0,3.0,2.0,3.0,1.0,10.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,30.0,2.0,29.0,3.0,33.0,6.0,7.0,2.0,13.0,1.0,101.0,2.0,1.0,0.0,5.0,10.0,5.0,9.0
19,263503137.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,272753147.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
