,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146
10,117648035.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
11,117683777.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,118593643.0,0.0,6.0,1.0,0.0,26.0,1.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,19.0,42.0,7.0,0.0,0.0,19.0,5.0,6.0,3.0,29.0,0.0,1.0,22.0,13.0,18.0,1.0,14.0,0.0,1.0,34.0,80.0,0.0,1.0,14.0,12.0,11.0,1.0,4.0,1.0,7.0,32.0,17.0,14.0,2.0,1.0,3.0,22.0,0.0,0.0,0.0,37.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,52.0,40.0,1.0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,9.0,95.0,9.0,2.0,0.0,24.0,2.0,10.0,2.0,7.0,27.0,7.0,1.0,8.0,0.0,13.0,20.0,3.0,48.0,1.0,0.0,2.0,0.0,3.0,95.0,1.0,2.0,3.0,10.0,2.0,4.0,14.0,67.0,76.0,21.0,0.0,9.0,14.0,32.0,28.0,5.0,1.0,18.0,1.0,6.0,11.0,1.0,7.0,49.0,41.0,24.0,67.0,60.0,11.0,6.0,0.0,2.0,8.0,79.0,0.0,1.0,0.0,4.0,0.0,16.0,12.0,12.0,35.0,20.0,12.0,0.0
13,122322961.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,2.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
14,128547430.0,1.0,2.0,1.0,1.0,18.0,2.0,2.0,0.0,18.0,0.0,0.0,17.0,1.0,0.0,1.0,2.0,5.0,27.0,3.0,2.0,1.0,12.0,3.0,2.0,2.0,22.0,4.0,3.0,11.0,3.0,10.0,0.0,6.0,0.0,0.0,21.0,29.0,2.0,6.0,8.0,9.0,6.0,2.0,5.0,1.0,6.0,17.0,8.0,6.0,3.0,1.0,5.0,9.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,24.0,21.0,3.0,2.0,9.0,7.0,1.0,1.0,1.0,1.0,2.0,34.0,4.0,0.0,1.0,18.0,3.0,8.0,8.0,4.0,13.0,11.0,5.0,11.0,0.0,4.0,16.0,4.0,18.0,1.0,0.0,3.0,1.0,7.0,34.0,3.0,3.0,9.0,9.0,2.0,4.0,7.0,22.0,27.0,6.0,0.0,10.0,12.0,30.0,8.0,5.0,0.0,11.0,6.0,2.0,7.0,5.0,8.0,20.0,21.0,13.0,25.0,18.0,11.0,4.0,2.0,3.0,7.0,22.0,1.0,2.0,0.0,1.0,0.0,19.0,9.0,9.0,15.0,13.0,10.0,0.0
15,130027649.0,10.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,4.0,8.0,2.0,1.0,2.0,0.0,2.0,0.0,28.0,5.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,9.0,0.0,3.0,1.0,15.0,5.0,6.0,2.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,13.0,0.0,30.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,18.0,1.0,2.0,9.0,4.0,25.0,0.0,2.0,0.0,8.0,7.0,6.0,8.0,14.0,5.0,3.0,2.0,5.0,7.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,1.0,5.0,2.0,1.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,13013112.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,8.0,14.0,3.0,0.0,0.0,4.0,2.0,9.0,3.0,12.0,0.0,1.0,5.0,1.0,4.0,0.0,6.0,0.0,1.0,7.0,12.0,1.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,19.0,3.0,3.0,1.0,2.0,0.0,3.0,0.0,3.0,13.0,1.0,0.0,5.0,0.0,5.0,9.0,3.0,10.0,1.0,0.0,0.0,0.0,2.0,21.0,0.0,2.0,3.0,6.0,0.0,2.0,10.0,10.0,10.0,5.0,0.0,8.0,5.0,6.0,7.0,1.0,0.0,7.0,1.0,8.0,4.0,0.0,9.0,12.0,5.0,4.0,16.0,8.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,8.0,8.0,2.0,2.0,0.0
17,13203032.0,1.0,12.0,5.0,1.0,49.0,3.0,1.0,0.0,38.0,0.0,0.0,19.0,1.0,5.0,1.0,8.0,0.0,56.0,8.0,2.0,1.0,28.0,18.0,32.0,17.0,83.0,0.0,15.0,38.0,12.0,11.0,1.0,74.0,0.0,0.0,41.0,71.0,6.0,7.0,11.0,15.0,13.0,0.0,5.0,2.0,13.0,22.0,10.0,20.0,3.0,1.0,14.0,55.0,1.0,1.0,0.0,84.0,13.0,0.0,0.0,0.0,10.0,1.0,2.0,2.0,67.0,30.0,0.0,1.0,1.0,10.0,0.0,1.0,1.0,3.0,6.0,147.0,7.0,1.0,1.0,14.0,2.0,8.0,3.0,17.0,56.0,9.0,3.0,29.0,0.0,39.0,28.0,16.0,48.0,2.0,1.0,11.0,2.0,15.0,88.0,4.0,1.0,9.0,29.0,5.0,10.0,34.0,41.0,89.0,42.0,0.0,30.0,18.0,37.0,43.0,7.0,1.0,30.0,5.0,48.0,28.0,4.0,21.0,61.0,28.0,22.0,62.0,58.0,13.0,5.0,0.0,1.0,3.0,66.0,2.0,4.0,1.0,6.0,0.0,23.0,16.0,29.0,74.0,10.0,16.0,0.0
18,1354594075.0,1.0,16.0,0.0,1.0,143.0,1.0,1.0,0.0,61.0,0.0,0.0,42.0,0.0,27.0,1.0,14.0,56.0,0.0,10.0,1.0,0.0,35.0,22.0,52.0,17.0,85.0,0.0,0.0,31.0,18.0,33.0,1.0,51.0,0.0,0.0,111.0,173.0,4.0,2.0,32.0,22.0,25.0,1.0,10.0,0.0,27.0,51.0,21.0,46.0,2.0,1.0,2.0,41.0,0.0,0.0,0.0,117.0,18.0,0.0,0.0,0.0,8.0,21.0,1.0,1.0,94.0,62.0,0.0,1.0,11.0,2.0,10.0,1.0,1.0,1.0,30.0,230.0,9.0,0.0,4.0,35.0,0.0,25.0,2.0,34.0,92.0,27.0,1.0,40.0,0.0,60.0,77.0,2.0,55.0,1.0,0.0,12.0,1.0,2.0,170.0,0.0,0.0,1.0,53.0,2.0,11.0,57.0,65.0,127.0,46.0,0.0,57.0,40.0,98.0,67.0,9.0,0.0,59.0,10.0,38.0,30.0,1.0,51.0,151.0,56.0,30.0,108.0,69.0,60.0,10.0,1.0,2.0,13.0,100.0,1.0,2.0,2.0,11.0,0.0,41.0,36.0,47.0,171.0,25.0,47.0,0.0
19,136522872.0,0.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,8.0,10.0,0.0,0.0,0.0,9.0,3.0,2.0,2.0,9.0,0.0,1.0,5.0,6.0,3.0,0.0,6.0,0.0,0.0,14.0,15.0,2.0,1.0,4.0,1.0,4.0,0.0,3.0,0.0,1.0,12.0,5.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,14.0,4.0,0.0,1.0,6.0,0.0,2.0,1.0,5.0,8.0,2.0,0.0,4.0,0.0,10.0,9.0,2.0,11.0,0.0,0.0,2.0,0.0,2.0,13.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0,10.0,12.0,9.0,0.0,4.0,3.0,7.0,12.0,2.0,0.0,7.0,1.0,6.0,4.0,2.0,4.0,6.0,12.0,6.0,10.0,8.0,2.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,8.0,10.0,3.0,7.0,0.0
