,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,61567598.0,112.0,7.0,8.0,96.0,13.0,300.0,8.0,262.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,3.0,38.0,6.0,19.0,206.0,109.0,0.0,5.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,91.0,10.0,2.0,13.0,1.0,17.0,16.0,5.0,1.0,5.0,32.0,5.0,63.0,8.0,61.0,5.0,4.0,19.0,18.0,0.0,54.0,6.0,25.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,9.0,44.0,31.0,35.0,0.0,0.0,24.0,1.0,3.0,5.0,3.0,0.0,4.0,0.0,0.0,36.0,6.0,8.0,0.0,8.0,10.0,48.0,20.0,0.0,0.0
11,79573209.0,4.0,0.0,1.0,15.0,10.0,8.0,13.0,4.0,1.0,3.0,0.0,8.0,10.0,3.0,0.0,18.0,4.0,0.0,15.0,1.0,3.0,3.0,9.0,10.0,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,16.0,1.0,2.0,1.0,13.0,28.0,3.0,4.0,5.0,38.0,0.0,14.0,16.0,4.0,14.0,12.0,36.0,2.0,0.0,5.0,4.0,3.0,23.0,12.0,0.0,3.0,0.0,0.0,3.0,18.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0,8.0,14.0,12.0,0.0,19.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0
12,80801045.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,11.0,1.0,2.0,7.0,0.0,0.0,6.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,6.0,0.0,1.0,0.0,3.0,6.0,2.0,5.0,1.0,15.0,0.0,4.0,7.0,1.0,27.0,6.0,33.0,1.0,2.0,2.0,7.0,2.0,15.0,3.0,0.0,0.0,0.0,0.0,4.0,18.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,7.0,8.0,0.0,19.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
13,88955642.0,2.0,0.0,2.0,24.0,19.0,3.0,4.0,8.0,0.0,2.0,10.0,1.0,0.0,6.0,0.0,6.0,1.0,1.0,14.0,7.0,6.0,6.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,15.0,7.0,0.0,3.0,6.0,42.0,2.0,5.0,1.0,38.0,1.0,6.0,4.0,4.0,6.0,26.0,31.0,7.0,0.0,6.0,5.0,4.0,14.0,15.0,0.0,0.0,0.0,0.0,3.0,4.0,28.0,0.0,5.0,0.0,1.0,4.0,0.0,7.0,9.0,4.0,0.0,11.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0
14,100664808.0,4.0,4.0,2.0,2.0,12.0,4.0,1.0,5.0,0.0,3.0,3.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,30.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,10.0,3.0,1.0,1.0,14.0,2.0,6.0,0.0,21.0,0.0,3.0,1.0,4.0,1.0,4.0,26.0,10.0,0.0,10.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,33.0,0.0,12.0,0.0,1.0,6.0,0.0,3.0,18.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
15,101824385.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,105465745.0,1.0,0.0,0.0,38.0,22.0,6.0,110.0,3.0,0.0,3.0,18.0,11.0,6.0,2.0,0.0,0.0,1.0,2.0,24.0,0.0,0.0,5.0,59.0,110.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,14.0,30.0,1.0,1.0,6.0,57.0,73.0,58.0,2.0,49.0,36.0,1.0,25.0,138.0,4.0,145.0,40.0,236.0,5.0,0.0,8.0,13.0,12.0,38.0,65.0,0.0,0.0,0.0,0.0,66.0,129.0,11.0,1.0,6.0,1.0,6.0,4.0,0.0,35.0,27.0,54.0,0.0,76.0,0.0,2.0,17.0,2.0,10.0,10.0,3.0,0.0,6.0,11.0,0.0,0.0
17,108295368.0,26.0,1.0,2.0,36.0,2.0,72.0,3.0,41.0,0.0,38.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,34.0,18.0,31.0,20.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,1.0,9.0,1.0,9.0,11.0,9.0,2.0,4.0,10.0,5.0,27.0,2.0,34.0,13.0,4.0,11.0,5.0,0.0,20.0,2.0,7.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,6.0,29.0,10.0,11.0,0.0,2.0,12.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,21.0,2.0,0.0,0.0,3.0,7.0,24.0,12.0,0.0,0.0
18,113381335.0,3.0,0.0,0.0,21.0,2.0,10.0,2.0,12.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,34.0,0.0,5.0,4.0,3.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,16.0,0.0,1.0,1.0,10.0,6.0,3.0,0.0,6.0,6.0,0.0,5.0,1.0,4.0,9.0,3.0,10.0,2.0,0.0,3.0,3.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,4.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,1.0,8.0,7.0,0.0,0.0
19,115000873.0,14.0,6.0,3.0,26.0,216.0,22.0,20.0,22.0,0.0,19.0,15.0,7.0,14.0,30.0,0.0,24.0,18.0,5.0,0.0,14.0,13.0,0.0,14.0,21.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,54.0,93.0,21.0,3.0,24.0,47.0,13.0,12.0,6.0,112.0,0.0,58.0,24.0,24.0,25.0,16.0,185.0,85.0,0.0,116.0,67.0,45.0,28.0,5.0,0.0,1.0,0.0,1.0,10.0,34.0,264.0,4.0,77.0,0.0,5.0,46.0,2.0,24.0,164.0,12.0,0.0,32.0,0.0,1.0,15.0,14.0,7.0,12.0,15.0,8.0,17.0,21.0,0.0,0.0
