,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
10,71104209.0,3.0,0.0,5.0,17.0,3.0,26.0,14.0,3.0,16.0,0.0,5.0,14.0,23.0,2.0,12.0,8.0,0.0,6.0,34.0,8.0,7.0,33.0,2.0,8.0,18.0,8.0,0.0,0.0,0.0,1.0,22.0,16.0,0.0,15.0,44.0,4.0,21.0,35.0,2.0,4.0,4.0,2.0,7.0,0.0,27.0,1.0,22.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.0,0.0,1.0,8.0,0.0,2.0,20.0,1.0,5.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,1.0
11,79825512.0,1.0,0.0,10.0,10.0,1.0,15.0,9.0,6.0,6.0,5.0,0.0,3.0,7.0,1.0,9.0,0.0,0.0,0.0,31.0,8.0,2.0,21.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,31.0,0.0,11.0,15.0,1.0,10.0,12.0,1.0,2.0,2.0,1.0,1.0,1.0,11.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,1.0,0.0,7.0,0.0,3.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,2.0,0.0,0.0
12,85878730.0,1.0,0.0,9.0,16.0,2.0,11.0,11.0,2.0,10.0,14.0,3.0,0.0,14.0,2.0,8.0,9.0,0.0,3.0,31.0,7.0,6.0,23.0,2.0,9.0,33.0,13.0,0.0,0.0,0.0,1.0,15.0,8.0,0.0,13.0,19.0,11.0,7.0,27.0,0.0,2.0,2.0,0.0,0.0,0.0,26.0,1.0,16.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,63.0,0.0,1.0,2.0,0.0,3.0,26.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,5.0
13,97752537.0,9.0,3.0,29.0,13.0,8.0,31.0,21.0,6.0,17.0,23.0,7.0,14.0,0.0,21.0,6.0,127.0,0.0,38.0,27.0,77.0,13.0,37.0,27.0,286.0,18.0,7.0,0.0,2.0,3.0,4.0,293.0,14.0,1.0,127.0,23.0,9.0,129.0,27.0,2.0,198.0,141.0,150.0,189.0,3.0,39.0,11.0,21.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,79.0,23.0,7.0,17.0,0.0,3.0,46.0,13.0,149.0,3.0,26.0,0.0,16.0,1.0,154.0,4.0,0.0,2.0,11.0
14,105625903.0,4.0,0.0,2.0,10.0,0.0,1.0,2.0,1.0,10.0,2.0,1.0,2.0,21.0,0.0,1.0,15.0,0.0,5.0,3.0,9.0,3.0,4.0,8.0,15.0,3.0,3.0,0.0,0.0,1.0,3.0,24.0,2.0,0.0,12.0,3.0,1.0,19.0,6.0,0.0,12.0,11.0,16.0,12.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,11.0,1.0,7.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,1.0
15,113855131.0,1.0,0.0,12.0,20.0,1.0,20.0,17.0,2.0,12.0,12.0,9.0,8.0,6.0,1.0,0.0,1.0,0.0,3.0,44.0,8.0,11.0,30.0,3.0,4.0,39.0,18.0,0.0,1.0,0.0,3.0,10.0,13.0,1.0,13.0,19.0,10.0,8.0,30.0,2.0,1.0,3.0,5.0,2.0,1.0,22.0,1.0,32.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,66.0,0.0,0.0,4.0,1.0,2.0,18.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,1.0,6.0
16,115302731.0,9.0,1.0,21.0,6.0,5.0,16.0,14.0,0.0,6.0,8.0,0.0,9.0,127.0,15.0,1.0,0.0,0.0,17.0,12.0,41.0,17.0,22.0,32.0,122.0,16.0,4.0,0.0,1.0,1.0,7.0,179.0,7.0,0.0,84.0,7.0,12.0,50.0,18.0,0.0,77.0,78.0,97.0,103.0,1.0,20.0,5.0,22.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,64.0,6.0,5.0,10.0,0.0,0.0,26.0,6.0,83.0,1.0,35.0,0.0,5.0,7.0,93.0,4.0,1.0,0.0,12.0
17,147485988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,150881077.0,148.0,29.0,51.0,5.0,29.0,26.0,29.0,1.0,3.0,6.0,0.0,3.0,38.0,5.0,3.0,17.0,0.0,0.0,15.0,21.0,0.0,29.0,39.0,41.0,8.0,1.0,0.0,9.0,8.0,49.0,67.0,11.0,0.0,127.0,7.0,0.0,14.0,6.0,0.0,6.0,7.0,4.0,15.0,1.0,10.0,36.0,17.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,1.0,83.0,6.0,0.0,0.0,10.0,15.0,12.0,8.0,291.0,0.0,103.0,9.0,4.0,2.0,1.0,3.0,27.0
19,156277913.0,15.0,1.0,45.0,44.0,1.0,52.0,36.0,4.0,21.0,34.0,31.0,31.0,27.0,3.0,44.0,12.0,0.0,15.0,0.0,15.0,7.0,124.0,7.0,9.0,62.0,62.0,0.0,1.0,0.0,2.0,50.0,86.0,1.0,49.0,74.0,9.0,31.0,92.0,1.0,6.0,10.0,3.0,5.0,2.0,76.0,0.0,183.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,317.0,0.0,1.0,23.0,0.0,6.0,47.0,1.0,10.0,3.0,20.0,0.0,4.0,2.0,1.0,57.0,16.0,1.0,2.0
