,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
17,244811156.0,147.0,0.0,20.0,6.0,129.0,7.0,72.0,113.0,83.0,1.0,60.0,99.0,72.0,156.0,221.0,85.0,0.0,5.0,28.0,1.0,13.0,2.0,117.0,0.0,23.0,77.0,35.0,3.0,11.0,1.0,19.0,1.0,119.0,22.0,2.0,33.0,11.0
18,257849174.0,2.0,0.0,2.0,0.0,2.0,10.0,23.0,0.0,3.0,0.0,1.0,3.0,3.0,17.0,0.0,10.0,5.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,5.0,13.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,4.0
19,274246546.0,28.0,0.0,4.0,0.0,6.0,5.0,35.0,8.0,17.0,1.0,15.0,13.0,23.0,22.0,16.0,41.0,28.0,7.0,0.0,1.0,3.0,2.0,48.0,0.0,4.0,17.0,14.0,0.0,6.0,2.0,7.0,0.0,23.0,5.0,1.0,3.0,5.0
20,276228017.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,281553266.0,15.0,0.0,1.0,0.0,8.0,3.0,5.0,3.0,0.0,0.0,2.0,24.0,1.0,210.0,7.0,2.0,13.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,4.0,3.0,68.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
22,283718439.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0
23,291113631.0,62.0,0.0,6.0,3.0,49.0,7.0,50.0,42.0,24.0,2.0,50.0,13.0,32.0,57.0,72.0,114.0,117.0,2.0,48.0,1.0,4.0,1.0,0.0,0.0,3.0,22.0,19.0,0.0,7.0,1.0,9.0,0.0,37.0,23.0,0.0,5.0,12.0
24,315997012.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
25,327408048.0,12.0,0.0,1.0,0.0,6.0,13.0,14.0,10.0,1.0,0.0,1.0,7.0,6.0,44.0,11.0,5.0,23.0,5.0,4.0,2.0,2.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0
26,335473582.0,39.0,0.0,31.0,1.0,24.0,12.0,52.0,11.0,43.0,2.0,26.0,34.0,55.0,60.0,12.0,29.0,77.0,13.0,17.0,1.0,4.0,3.0,22.0,1.0,7.0,0.0,23.0,2.0,2.0,1.0,17.0,1.0,47.0,6.0,3.0,1.0,6.0
