,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
10,104947263.0,1.0,18.0,13.0,5.0,8.0,16.0,36.0,36.0,2.0,0.0,27.0,11.0,13.0,13.0,13.0,20.0,7.0,14.0,8.0,4.0,4.0,5.0,13.0,3.0,10.0,0.0,28.0,0.0,31.0,0.0,9.0,2.0,9.0,6.0,2.0,13.0,9.0,5.0,31.0,0.0,0.0
11,138047159.0,3.0,67.0,13.0,15.0,28.0,25.0,112.0,123.0,12.0,27.0,0.0,29.0,29.0,85.0,10.0,31.0,9.0,23.0,23.0,30.0,2.0,10.0,16.0,3.0,12.0,1.0,54.0,0.0,98.0,2.0,12.0,16.0,19.0,18.0,4.0,45.0,27.0,6.0,67.0,0.0,0.0
12,140198531.0,1.0,167.0,16.0,43.0,38.0,54.0,132.0,37.0,9.0,11.0,29.0,0.0,5.0,59.0,30.0,15.0,9.0,15.0,64.0,56.0,1.0,5.0,14.0,0.0,9.0,1.0,11.0,0.0,54.0,3.0,3.0,33.0,0.0,18.0,1.0,59.0,31.0,4.0,28.0,0.0,0.0
13,145401113.0,0.0,12.0,4.0,4.0,7.0,11.0,40.0,50.0,3.0,13.0,29.0,5.0,0.0,12.0,3.0,14.0,4.0,7.0,5.0,6.0,1.0,10.0,15.0,5.0,10.0,0.0,28.0,0.0,23.0,0.0,10.0,3.0,6.0,6.0,2.0,12.0,4.0,5.0,20.0,1.0,1.0
14,148653311.0,3.0,250.0,7.0,43.0,64.0,58.0,276.0,95.0,25.0,13.0,85.0,59.0,12.0,0.0,16.0,18.0,14.0,25.0,77.0,82.0,3.0,14.0,20.0,6.0,15.0,2.0,106.0,0.0,93.0,10.0,8.0,81.0,2.0,17.0,0.0,58.0,75.0,4.0,52.0,1.0,1.0
15,180261346.0,1.0,75.0,15.0,33.0,16.0,36.0,52.0,19.0,0.0,13.0,10.0,30.0,3.0,16.0,0.0,9.0,3.0,19.0,46.0,14.0,0.0,4.0,10.0,1.0,6.0,0.0,4.0,0.0,23.0,12.0,4.0,5.0,0.0,11.0,0.0,168.0,7.0,1.0,16.0,0.0,0.0
16,209651406.0,1.0,26.0,11.0,16.0,15.0,28.0,78.0,35.0,5.0,20.0,31.0,15.0,14.0,18.0,9.0,0.0,28.0,10.0,25.0,21.0,13.0,27.0,33.0,19.0,21.0,8.0,78.0,0.0,30.0,1.0,2.0,3.0,32.0,20.0,6.0,13.0,24.0,11.0,74.0,3.0,2.0
17,210824047.0,0.0,12.0,3.0,13.0,9.0,21.0,89.0,21.0,9.0,7.0,9.0,9.0,4.0,14.0,3.0,28.0,0.0,2.0,18.0,26.0,10.0,17.0,32.0,20.0,24.0,5.0,53.0,0.0,16.0,1.0,2.0,12.0,8.0,18.0,2.0,2.0,37.0,7.0,32.0,3.0,2.0
18,219402988.0,5.0,36.0,10.0,12.0,24.0,46.0,46.0,41.0,3.0,14.0,23.0,15.0,7.0,25.0,19.0,10.0,2.0,0.0,21.0,8.0,0.0,6.0,12.0,2.0,4.0,1.0,8.0,0.0,31.0,1.0,8.0,4.0,0.0,10.0,0.0,51.0,6.0,2.0,22.0,0.0,0.0
19,238169051.0,4.0,229.0,20.0,100.0,29.0,63.0,155.0,29.0,19.0,8.0,23.0,64.0,5.0,77.0,46.0,25.0,18.0,21.0,0.0,69.0,6.0,29.0,33.0,21.0,29.0,14.0,45.0,0.0,58.0,14.0,2.0,32.0,2.0,33.0,2.0,90.0,50.0,11.0,35.0,2.0,3.0
20,244896607.0,1.0,112.0,10.0,51.0,36.0,76.0,264.0,56.0,33.0,4.0,30.0,56.0,6.0,82.0,14.0,21.0,26.0,8.0,69.0,0.0,3.0,29.0,28.0,28.0,25.0,14.0,44.0,0.0,61.0,2.0,1.0,72.0,1.0,32.0,2.0,29.0,96.0,8.0,49.0,4.0,2.0
21,272738468.0,0.0,5.0,0.0,1.0,2.0,2.0,33.0,8.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,13.0,10.0,0.0,6.0,3.0,0.0,9.0,15.0,11.0,12.0,4.0,28.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,2.0,1.0,10.0,6.0,12.0,1.0,1.0
22,275519557.0,1.0,27.0,2.0,11.0,15.0,16.0,77.0,23.0,5.0,5.0,10.0,5.0,10.0,14.0,4.0,27.0,17.0,6.0,29.0,29.0,9.0,0.0,41.0,30.0,35.0,17.0,57.0,0.0,16.0,1.0,1.0,13.0,6.0,33.0,8.0,5.0,39.0,16.0,38.0,2.0,2.0
23,280461953.0,2.0,41.0,9.0,22.0,14.0,21.0,122.0,47.0,8.0,13.0,16.0,14.0,15.0,20.0,10.0,33.0,32.0,12.0,33.0,28.0,15.0,41.0,0.0,33.0,63.0,26.0,75.0,0.0,35.0,1.0,5.0,12.0,9.0,35.0,6.0,8.0,31.0,20.0,41.0,6.0,2.0
24,281014187.0,1.0,13.0,0.0,6.0,6.0,10.0,75.0,6.0,7.0,3.0,3.0,0.0,5.0,6.0,1.0,19.0,20.0,2.0,21.0,28.0,11.0,30.0,33.0,0.0,29.0,18.0,50.0,0.0,4.0,0.0,1.0,2.0,4.0,17.0,5.0,0.0,24.0,11.0,22.0,5.0,2.0
25,283669610.0,1.0,28.0,3.0,14.0,6.0,12.0,91.0,27.0,8.0,10.0,12.0,9.0,10.0,15.0,6.0,21.0,24.0,4.0,29.0,25.0,12.0,35.0,63.0,29.0,0.0,21.0,72.0,0.0,19.0,2.0,1.0,6.0,9.0,29.0,6.0,3.0,31.0,20.0,31.0,3.0,2.0
26,284059062.0,0.0,13.0,0.0,9.0,2.0,2.0,42.0,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,5.0,1.0,14.0,14.0,4.0,17.0,26.0,18.0,21.0,0.0,24.0,0.0,2.0,0.0,0.0,2.0,1.0,12.0,1.0,2.0,9.0,8.0,8.0,3.0,1.0
27,288479798.0,0.0,62.0,3.0,12.0,35.0,29.0,252.0,86.0,18.0,28.0,54.0,11.0,28.0,106.0,4.0,78.0,53.0,8.0,45.0,44.0,28.0,57.0,75.0,50.0,72.0,24.0,0.0,0.0,39.0,4.0,10.0,18.0,30.0,38.0,9.0,13.0,91.0,26.0,135.0,2.0,3.0
28,294523668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,296358688.0,6.0,152.0,20.0,37.0,19.0,52.0,253.0,104.0,6.0,31.0,98.0,54.0,23.0,93.0,23.0,30.0,16.0,31.0,58.0,61.0,0.0,16.0,35.0,4.0,19.0,2.0,39.0,0.0,0.0,6.0,9.0,29.0,5.0,25.0,4.0,51.0,41.0,7.0,62.0,0.0,0.0
30,302144631.0,1.0,16.0,2.0,5.0,3.0,2.0,18.0,1.0,2.0,0.0,2.0,3.0,0.0,10.0,12.0,1.0,1.0,1.0,14.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,7.0,16.0,0.0,2.0,0.0,117.0,5.0,0.0,0.0,0.0,0.0
31,318368471.0,0.0,9.0,2.0,3.0,7.0,10.0,18.0,8.0,2.0,9.0,12.0,3.0,10.0,8.0,4.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,10.0,0.0,9.0,7.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,0.0,11.0,0.0,0.0
32,325774787.0,0.0,105.0,5.0,18.0,35.0,49.0,155.0,22.0,14.0,2.0,16.0,33.0,3.0,81.0,5.0,3.0,12.0,4.0,32.0,72.0,1.0,13.0,12.0,2.0,6.0,2.0,18.0,0.0,29.0,16.0,0.0,0.0,0.0,15.0,0.0,31.0,65.0,2.0,17.0,2.0,1.0
33,329932082.0,0.0,10.0,1.0,2.0,8.0,1.0,12.0,14.0,1.0,9.0,19.0,0.0,6.0,2.0,0.0,32.0,8.0,0.0,2.0,1.0,5.0,6.0,9.0,4.0,9.0,1.0,30.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,7.0,6.0,28.0,0.0,0.0
34,348223934.0,1.0,35.0,6.0,18.0,14.0,23.0,86.0,32.0,6.0,6.0,18.0,18.0,6.0,17.0,11.0,20.0,18.0,10.0,33.0,32.0,6.0,33.0,35.0,17.0,29.0,12.0,38.0,0.0,25.0,2.0,2.0,15.0,2.0,0.0,5.0,5.0,31.0,11.0,36.0,1.0,1.0
35,349839280.0,0.0,3.0,0.0,0.0,3.0,2.0,9.0,5.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,6.0,2.0,0.0,2.0,2.0,2.0,8.0,6.0,5.0,6.0,1.0,9.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0
