,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
10,42198823.0,23.0,0.0,48.0,3.0,23.0,0.0,13.0,2.0,14.0,0.0,9.0,10.0,31.0,43.0,21.0,19.0,10.0,21.0,2.0,11.0,2.0,1.0,2.0,33.0,5.0,7.0,4.0,0.0,0.0,1.0,28.0,5.0,35.0,22.0,15.0,10.0,18.0,0.0,6.0,6.0,7.0,12.0,3.0,15.0,7.0,12.0,5.0,15.0,11.0,10.0,27.0,29.0,3.0,2.0,6.0,8.0,0.0,11.0,0.0,2.0,1.0,15.0,1.0,13.0,1.0,15.0,17.0,10.0,1.0,12.0,6.0,6.0,0.0,1.0,2.0,5.0,29.0,1.0,1.0,0.0,28.0,3.0,1.0,2.0,5.0,5.0,5.0,1.0,12.0,3.0,2.0,5.0,0.0,0.0,17.0,10.0,0.0,25.0,3.0,0.0,3.0
11,45192838.0,81.0,52.0,313.0,126.0,114.0,19.0,127.0,1.0,24.0,9.0,0.0,53.0,98.0,59.0,124.0,41.0,21.0,136.0,5.0,44.0,22.0,0.0,4.0,330.0,1.0,15.0,5.0,0.0,0.0,10.0,303.0,7.0,133.0,714.0,18.0,16.0,96.0,0.0,9.0,15.0,129.0,6.0,16.0,65.0,47.0,110.0,13.0,22.0,85.0,99.0,80.0,62.0,11.0,10.0,67.0,9.0,0.0,16.0,0.0,1.0,2.0,49.0,14.0,23.0,6.0,26.0,53.0,46.0,3.0,42.0,18.0,12.0,0.0,6.0,27.0,8.0,36.0,9.0,4.0,2.0,24.0,2.0,25.0,0.0,1.0,0.0,17.0,96.0,18.0,15.0,0.0,20.0,3.0,0.0,42.0,61.0,0.0,42.0,35.0,1.0,17.0
12,47379354.0,372.0,108.0,316.0,13.0,250.0,30.0,86.0,70.0,62.0,10.0,53.0,0.0,217.0,187.0,882.0,325.0,18.0,98.0,16.0,16.0,7.0,0.0,13.0,110.0,15.0,109.0,39.0,0.0,0.0,7.0,247.0,13.0,172.0,91.0,29.0,14.0,192.0,0.0,61.0,8.0,43.0,22.0,13.0,989.0,93.0,245.0,20.0,126.0,186.0,40.0,332.0,124.0,73.0,3.0,55.0,6.0,0.0,36.0,2.0,6.0,8.0,123.0,18.0,28.0,6.0,60.0,73.0,117.0,30.0,43.0,18.0,23.0,0.0,9.0,69.0,25.0,37.0,7.0,15.0,20.0,23.0,2.0,3.0,2.0,9.0,0.0,104.0,11.0,76.0,88.0,0.0,79.0,7.0,0.0,66.0,148.0,0.0,22.0,92.0,1.0,43.0
13,47655781.0,343.0,97.0,274.0,27.0,169.0,33.0,96.0,17.0,135.0,31.0,98.0,217.0,0.0,402.0,329.0,182.0,43.0,134.0,12.0,41.0,33.0,5.0,12.0,125.0,4.0,45.0,25.0,0.0,0.0,15.0,213.0,5.0,154.0,60.0,18.0,5.0,229.0,0.0,36.0,8.0,50.0,21.0,25.0,263.0,146.0,304.0,23.0,105.0,224.0,46.0,403.0,151.0,23.0,7.0,168.0,19.0,0.0,50.0,5.0,17.0,10.0,217.0,47.0,45.0,17.0,72.0,119.0,169.0,21.0,63.0,43.0,43.0,0.0,21.0,96.0,35.0,65.0,3.0,12.0,12.0,41.0,3.0,2.0,2.0,1.0,1.0,77.0,17.0,38.0,59.0,0.0,43.0,7.0,0.0,168.0,246.0,0.0,62.0,101.0,1.0,51.0
14,49323761.0,226.0,74.0,293.0,15.0,167.0,16.0,67.0,34.0,67.0,43.0,59.0,187.0,402.0,0.0,299.0,214.0,15.0,76.0,15.0,31.0,20.0,2.0,12.0,90.0,4.0,26.0,16.0,0.0,0.0,4.0,190.0,14.0,114.0,65.0,12.0,7.0,244.0,0.0,19.0,5.0,33.0,15.0,14.0,266.0,93.0,263.0,20.0,84.0,229.0,43.0,421.0,105.0,30.0,9.0,112.0,8.0,0.0,26.0,4.0,8.0,7.0,190.0,19.0,20.0,8.0,67.0,101.0,108.0,1.0,50.0,20.0,19.0,0.0,18.0,79.0,17.0,40.0,5.0,11.0,6.0,25.0,1.0,2.0,0.0,7.0,0.0,89.0,19.0,28.0,58.0,0.0,45.0,4.0,0.0,110.0,208.0,0.0,30.0,104.0,0.0,33.0
15,49817093.0,476.0,97.0,486.0,49.0,580.0,48.0,140.0,93.0,111.0,21.0,124.0,882.0,329.0,299.0,0.0,368.0,200.0,318.0,26.0,116.0,72.0,18.0,29.0,284.0,17.0,97.0,62.0,0.0,0.0,22.0,495.0,30.0,215.0,200.0,37.0,40.0,276.0,0.0,52.0,31.0,83.0,78.0,89.0,1243.0,264.0,498.0,64.0,197.0,336.0,123.0,698.0,403.0,42.0,12.0,305.0,78.0,0.0,166.0,13.0,10.0,35.0,342.0,67.0,122.0,42.0,242.0,384.0,394.0,8.0,252.0,127.0,142.0,0.0,18.0,154.0,59.0,270.0,18.0,36.0,22.0,208.0,20.0,18.0,9.0,21.0,13.0,140.0,37.0,136.0,85.0,4.0,179.0,32.0,0.0,273.0,437.0,0.0,299.0,165.0,7.0,105.0
16,50645038.0,226.0,59.0,274.0,12.0,243.0,117.0,86.0,95.0,76.0,19.0,41.0,325.0,182.0,214.0,368.0,0.0,30.0,144.0,19.0,35.0,24.0,9.0,19.0,164.0,10.0,183.0,65.0,0.0,0.0,8.0,273.0,17.0,291.0,272.0,27.0,16.0,108.0,0.0,89.0,16.0,38.0,34.0,16.0,476.0,87.0,189.0,75.0,154.0,209.0,76.0,364.0,130.0,111.0,1.0,48.0,10.0,0.0,50.0,3.0,18.0,8.0,144.0,13.0,35.0,4.0,69.0,59.0,124.0,24.0,33.0,18.0,24.0,0.0,10.0,59.0,16.0,48.0,9.0,15.0,17.0,32.0,2.0,8.0,1.0,17.0,1.0,167.0,22.0,102.0,108.0,1.0,80.0,8.0,0.0,63.0,95.0,0.0,31.0,63.0,0.0,43.0
17,55837229.0,22.0,1.0,54.0,26.0,87.0,8.0,20.0,0.0,23.0,10.0,21.0,18.0,43.0,15.0,200.0,30.0,0.0,68.0,2.0,59.0,14.0,9.0,3.0,54.0,2.0,16.0,5.0,0.0,0.0,7.0,76.0,2.0,30.0,38.0,9.0,11.0,26.0,0.0,9.0,8.0,17.0,39.0,66.0,29.0,55.0,69.0,21.0,22.0,13.0,25.0,57.0,114.0,2.0,3.0,66.0,44.0,0.0,61.0,0.0,0.0,14.0,38.0,26.0,62.0,19.0,88.0,166.0,107.0,0.0,104.0,56.0,101.0,0.0,2.0,22.0,12.0,148.0,2.0,2.0,3.0,103.0,22.0,8.0,7.0,5.0,16.0,7.0,7.0,19.0,2.0,1.0,59.0,9.0,0.0,79.0,72.0,0.0,171.0,11.0,1.0,23.0
18,60568628.0,132.0,40.0,253.0,59.0,257.0,26.0,91.0,29.0,48.0,21.0,136.0,98.0,134.0,76.0,318.0,144.0,68.0,0.0,17.0,61.0,25.0,5.0,16.0,314.0,9.0,58.0,15.0,0.0,0.0,17.0,244.0,19.0,258.0,269.0,18.0,30.0,83.0,0.0,41.0,20.0,70.0,47.0,41.0,137.0,83.0,255.0,38.0,84.0,113.0,94.0,173.0,189.0,7.0,12.0,110.0,35.0,0.0,112.0,8.0,9.0,20.0,134.0,39.0,88.0,17.0,86.0,176.0,151.0,5.0,142.0,59.0,72.0,0.0,5.0,49.0,24.0,140.0,12.0,18.0,12.0,113.0,9.0,8.0,6.0,11.0,7.0,45.0,12.0,87.0,39.0,3.0,86.0,16.0,0.0,115.0,151.0,0.0,116.0,50.0,2.0,39.0
19,63831819.0,12.0,0.0,28.0,2.0,21.0,0.0,9.0,5.0,3.0,2.0,5.0,16.0,12.0,15.0,26.0,19.0,2.0,17.0,0.0,3.0,2.0,1.0,43.0,17.0,3.0,5.0,0.0,0.0,0.0,21.0,26.0,37.0,11.0,9.0,0.0,3.0,13.0,0.0,10.0,15.0,1.0,5.0,1.0,13.0,7.0,12.0,1.0,14.0,14.0,7.0,15.0,25.0,22.0,1.0,3.0,1.0,0.0,7.0,10.0,17.0,0.0,11.0,1.0,5.0,0.0,7.0,10.0,10.0,0.0,10.0,2.0,5.0,0.0,53.0,1.0,1.0,9.0,5.0,38.0,2.0,4.0,0.0,1.0,1.0,4.0,0.0,49.0,3.0,55.0,3.0,0.0,9.0,1.0,0.0,10.0,9.0,0.0,8.0,2.0,0.0,3.0
