,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10,143531181.0,5.0,0.0,0.0,5.0,3.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,2.0
11,178779512.0,36.0,1.0,0.0,28.0,6.0,0.0,21.0,51.0,0.0,1.0,0.0,25.0,4.0,8.0,4.0,3.0,34.0,0.0,14.0,56.0,0.0,16.0,5.0,1.0,9.0,0.0,16.0,61.0,0.0,0.0,0.0,54.0,3.0,16.0,2.0,10.0,18.0,8.0,16.0,12.0,15.0,21.0,0.0,59.0,9.0
12,194920096.0,42.0,12.0,1.0,16.0,9.0,4.0,32.0,27.0,0.0,1.0,25.0,0.0,2.0,5.0,12.0,3.0,14.0,2.0,7.0,21.0,0.0,1.0,3.0,9.0,45.0,20.0,16.0,22.0,0.0,0.0,0.0,21.0,3.0,16.0,1.0,43.0,25.0,13.0,17.0,9.0,49.0,3.0,4.0,11.0,21.0
13,210824047.0,3.0,0.0,1.0,18.0,4.0,0.0,3.0,17.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,8.0,15.0,2.0,36.0,6.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,11.0,1.0,2.0,3.0,1.0,40.0,18.0,2.0,3.0,5.0,11.0,22.0
14,211390583.0,57.0,10.0,20.0,11.0,17.0,21.0,5.0,9.0,0.0,1.0,8.0,5.0,1.0,0.0,3.0,2.0,6.0,0.0,2.0,13.0,7.0,8.0,11.0,5.0,1.0,2.0,21.0,1.0,0.0,0.0,0.0,8.0,0.0,17.0,0.0,1.0,34.0,17.0,11.0,6.0,60.0,3.0,0.0,9.0,3.0
15,240401589.0,31.0,25.0,6.0,9.0,6.0,13.0,15.0,8.0,0.0,0.0,4.0,12.0,1.0,3.0,0.0,6.0,6.0,0.0,1.0,6.0,4.0,1.0,18.0,24.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,1.0,41.0,3.0,4.0,3.0,68.0,2.0,0.0,5.0,6.0
16,251106916.0,15.0,2.0,1.0,14.0,8.0,1.0,5.0,5.0,0.0,0.0,3.0,3.0,8.0,2.0,6.0,0.0,6.0,1.0,4.0,6.0,6.0,5.0,3.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,2.0,0.0,12.0,1.0,11.0,4.0,18.0,9.0,0.0,3.0,2.0
17,258047934.0,31.0,2.0,1.0,70.0,7.0,1.0,17.0,140.0,0.0,1.0,34.0,14.0,15.0,6.0,6.0,6.0,0.0,3.0,24.0,61.0,0.0,14.0,3.0,1.0,7.0,0.0,13.0,82.0,0.0,0.0,0.0,55.0,3.0,40.0,2.0,5.0,16.0,6.0,42.0,16.0,20.0,28.0,2.0,79.0,14.0
18,266562398.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0
19,272308325.0,4.0,1.0,0.0,23.0,1.0,0.0,5.0,35.0,0.0,0.0,14.0,7.0,36.0,2.0,1.0,4.0,24.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,17.0,0.0,0.0,0.0,8.0,4.0,8.0,3.0,9.0,3.0,2.0,53.0,24.0,1.0,2.0,12.0,9.0,40.0
20,273950708.0,42.0,3.0,1.0,59.0,9.0,1.0,20.0,107.0,0.0,2.0,56.0,21.0,6.0,13.0,6.0,6.0,61.0,1.0,14.0,0.0,0.0,15.0,7.0,3.0,10.0,2.0,21.0,74.0,0.0,0.0,0.0,67.0,2.0,26.0,2.0,9.0,27.0,7.0,16.0,12.0,21.0,23.0,0.0,105.0,9.0
21,274585158.0,25.0,3.0,3.0,1.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,36.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,45.0,0.0,1.0,54.0,2.0,0.0,0.0,0.0
22,275093764.0,19.0,1.0,0.0,24.0,8.0,0.0,5.0,32.0,0.0,2.0,16.0,1.0,3.0,8.0,1.0,5.0,14.0,0.0,0.0,15.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,36.0,0.0,6.0,0.0,0.0,9.0,3.0,17.0,0.0,6.0,48.0,0.0,27.0,1.0
23,275179952.0,20.0,53.0,3.0,7.0,11.0,27.0,9.0,11.0,0.0,1.0,5.0,3.0,6.0,11.0,18.0,3.0,3.0,1.0,1.0,7.0,4.0,2.0,0.0,44.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,20.0,0.0,1.0,129.0,6.0,3.0,3.0,137.0,3.0,0.0,4.0,4.0
