,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
10,52696957.0,15.0,206.0,3.0,27.0,0.0,40.0,171.0,19.0,108.0,0.0,23.0,245.0,114.0,0.0,0.0,112.0,7.0,120.0,8.0,155.0,14.0,247.0,62.0,26.0,79.0,55.0,24.0,2.0,22.0,37.0,26.0,64.0,9.0,53.0,14.0,5.0,19.0,8.0,9.0,23.0,6.0,5.0,79.0,4.0,6.0,2.0,1.0,17.0,12.0,9.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,33.0,18.0,0.0,15.0,19.0,93.0,0.0,13.0,0.0,78.0,81.0,9.0,7.0,51.0,2.0,8.0
11,72286165.0,18.0,25.0,1.0,4.0,0.0,53.0,19.0,15.0,11.0,23.0,0.0,20.0,5.0,0.0,0.0,39.0,2.0,7.0,5.0,7.0,0.0,15.0,6.0,27.0,23.0,19.0,4.0,1.0,4.0,3.0,15.0,17.0,2.0,1.0,2.0,14.0,2.0,8.0,2.0,1.0,5.0,1.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,31.0,5.0,1.0,23.0,4.0,99.0,0.0,18.0,0.0,26.0,4.0,14.0,6.0,1.0,3.0,4.0
12,80473367.0,23.0,302.0,8.0,39.0,0.0,24.0,211.0,19.0,191.0,245.0,20.0,0.0,296.0,0.0,0.0,199.0,11.0,132.0,9.0,126.0,7.0,314.0,62.0,37.0,112.0,89.0,25.0,1.0,43.0,22.0,19.0,75.0,9.0,48.0,19.0,8.0,19.0,11.0,11.0,24.0,5.0,5.0,93.0,2.0,9.0,4.0,2.0,11.0,4.0,8.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,47.0,19.0,0.0,18.0,21.0,101.0,0.0,19.0,0.0,85.0,99.0,7.0,5.0,63.0,4.0,7.0
13,89179715.0,5.0,209.0,2.0,15.0,0.0,24.0,178.0,3.0,127.0,114.0,5.0,296.0,0.0,0.0,2.0,50.0,5.0,81.0,7.0,69.0,3.0,139.0,36.0,12.0,31.0,24.0,16.0,0.0,33.0,25.0,10.0,51.0,3.0,43.0,4.0,3.0,10.0,4.0,1.0,10.0,3.0,0.0,37.0,2.0,9.0,0.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,12.0,1.0,7.0,10.0,74.0,0.0,6.0,0.0,48.0,99.0,2.0,6.0,32.0,3.0,4.0
14,94647128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,98724873.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,27.0,0.0,1.0,0.0,0.0,0.0,40.0,36.0,0.0,5.0,0.0,0.0,3.0,32.0,18.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,98.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
16,117482917.0,14.0,94.0,3.0,5.0,0.0,29.0,88.0,13.0,55.0,112.0,39.0,199.0,50.0,0.0,1.0,0.0,4.0,17.0,3.0,67.0,1.0,167.0,20.0,33.0,24.0,29.0,5.0,0.0,18.0,8.0,17.0,29.0,8.0,11.0,2.0,9.0,10.0,4.0,2.0,4.0,3.0,1.0,69.0,3.0,3.0,1.0,0.0,5.0,0.0,30.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,40.0,5.0,0.0,18.0,6.0,106.0,0.0,29.0,0.0,34.0,33.0,1.0,5.0,14.0,4.0,6.0
17,150121038.0,1.0,30.0,1.0,2.0,0.0,4.0,0.0,0.0,29.0,7.0,2.0,11.0,5.0,0.0,1.0,4.0,0.0,9.0,3.0,11.0,1.0,15.0,6.0,2.0,131.0,11.0,6.0,26.0,1.0,2.0,6.0,108.0,2.0,1.0,50.0,0.0,19.0,78.0,3.0,23.0,0.0,5.0,41.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,92.0,0.0,2.0,83.0,59.0,4.0,85.0,44.0,1.0,60.0,10.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,5.0,0.0,3.0
18,165404712.0,8.0,125.0,2.0,122.0,1.0,44.0,93.0,15.0,103.0,120.0,7.0,132.0,81.0,0.0,1.0,17.0,9.0,0.0,8.0,58.0,11.0,142.0,53.0,19.0,65.0,36.0,21.0,0.0,12.0,29.0,17.0,65.0,5.0,38.0,8.0,6.0,15.0,7.0,5.0,20.0,5.0,1.0,47.0,3.0,6.0,0.0,1.0,8.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,31.0,17.0,2.0,4.0,19.0,65.0,0.0,9.0,0.0,75.0,54.0,7.0,2.0,45.0,7.0,6.0
19,192534012.0,5.0,11.0,1.0,4.0,0.0,2.0,4.0,4.0,5.0,8.0,5.0,9.0,7.0,0.0,0.0,3.0,3.0,8.0,0.0,6.0,1.0,12.0,7.0,8.0,7.0,4.0,3.0,0.0,0.0,1.0,4.0,7.0,0.0,2.0,1.0,4.0,4.0,0.0,2.0,3.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,4.0,10.0,0.0,3.0,0.0,9.0,4.0,1.0,1.0,5.0,1.0,2.0
