,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
10,98724873.0,0.0,0.0,1.0,6.0,7.0,59.0,1.0,1.0,3.0,0.0,1.0,1.0,29.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,39.0,32.0,9.0,11.0,0.0,0.0,54.0,45.0,8.0,20.0,0.0,21.0,1.0,1.0,11.0,2.0,5.0,7.0,14.0,26.0,75.0,23.0,43.0,15.0,42.0,36.0,25.0,0.0,4.0,1.0,34.0,4.0,6.0,5.0,0.0,0.0,0.0,109.0,3.0,0.0,0.0,7.0,26.0,4.0,15.0,29.0,39.0,0.0,26.0,17.0,1.0,62.0,0.0,27.0,9.0,21.0,1.0,0.0,0.0,0.0,1.0,33.0,0.0,118.0,0.0,1.0,0.0,6.0,209.0,0.0,69.0,77.0,0.0,1.0,12.0,0.0,2.0,9.0,0.0,16.0,1.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,2.0,20.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,21.0,13.0,7.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
11,107913356.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,2.0,1.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,2.0,1.0,5.0,3.0,12.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,9.0,1.0,3.0,4.0,0.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,7.0,6.0,5.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0
12,150121038.0,46.0,0.0,0.0,0.0,2.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,1.0,176.0,1.0,0.0,1.0,0.0,74.0,36.0,26.0,0.0,4.0,0.0,4.0,36.0,93.0,4.0,1.0,0.0,2.0,0.0,2.0,2.0,50.0,7.0,1.0,0.0,3.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,23.0,0.0,2.0,0.0,1.0,7.0,2.0,0.0,0.0,92.0,10.0,8.0,8.0,0.0,7.0,42.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,67.0,2.0,92.0,0.0,1.0,1.0,114.0,0.0,0.0,0.0,86.0,1.0,10.0,1.0,83.0,59.0,85.0,1.0,1.0,44.0,2.0,1.0,0.0,60.0,0.0,0.0,3.0,1.0,131.0,1.0,42.0,60.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,190181946.0,42.0,7.0,7.0,33.0,3.0,131.0,12.0,10.0,22.0,29.0,5.0,10.0,0.0,12.0,32.0,11.0,3.0,35.0,0.0,24.0,46.0,14.0,136.0,107.0,36.0,43.0,17.0,107.0,86.0,70.0,34.0,95.0,3.0,119.0,12.0,52.0,88.0,8.0,14.0,35.0,40.0,109.0,61.0,59.0,98.0,67.0,71.0,138.0,74.0,27.0,0.0,17.0,95.0,33.0,36.0,13.0,32.0,18.0,10.0,177.0,3.0,15.0,11.0,17.0,98.0,8.0,24.0,100.0,96.0,0.0,75.0,58.0,31.0,103.0,30.0,61.0,53.0,70.0,28.0,0.0,1.0,1.0,38.0,39.0,7.0,116.0,25.0,25.0,50.0,12.0,146.0,13.0,149.0,129.0,0.0,36.0,34.0,10.0,12.0,20.0,32.0,68.0,20.0,57.0,0.0,10.0,100.0,0.0,0.0,9.0,2.0,15.0,42.0,4.0,37.0,10.0,44.0,13.0,11.0,17.0,52.0,67.0,18.0,23.0,0.0,4.0,24.0,6.0,8.0,0.0,24.0,6.0,49.0,0.0,6.0,3.0,5.0,5.0,2.0,0.0,0.0
14,197026372.0,0.0,2.0,0.0,3.0,0.0,7.0,3.0,1.0,6.0,2.0,2.0,1.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,6.0,6.0,4.0,0.0,4.0,10.0,9.0,6.0,6.0,1.0,5.0,3.0,2.0,7.0,7.0,0.0,5.0,5.0,11.0,2.0,6.0,9.0,7.0,4.0,5.0,6.0,5.0,0.0,9.0,16.0,5.0,2.0,1.0,0.0,0.0,0.0,21.0,2.0,3.0,0.0,6.0,10.0,1.0,2.0,21.0,6.0,0.0,5.0,2.0,2.0,5.0,0.0,8.0,3.0,7.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,4.0,9.0,0.0,15.0,8.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,6.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,6.0,2.0,0.0,1.0,11.0,5.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
15,201179429.0,114.0,1.0,0.0,4.0,4.0,49.0,8.0,4.0,3.0,4.0,1.0,176.0,32.0,2.0,0.0,2.0,1.0,10.0,0.0,143.0,81.0,63.0,6.0,12.0,4.0,5.0,92.0,212.0,6.0,1.0,1.0,3.0,7.0,9.0,5.0,110.0,8.0,7.0,0.0,4.0,7.0,31.0,2.0,1.0,8.0,8.0,3.0,37.0,3.0,6.0,2.0,3.0,12.0,6.0,1.0,1.0,275.0,28.0,26.0,14.0,1.0,9.0,67.0,1.0,16.0,2.0,0.0,11.0,7.0,0.0,8.0,2.0,114.0,13.0,328.0,5.0,3.0,5.0,273.0,0.0,1.0,0.0,248.0,2.0,12.0,6.0,222.0,166.0,258.0,1.0,10.0,98.0,15.0,10.0,0.0,167.0,0.0,0.0,3.0,1.0,331.0,7.0,101.0,197.0,0.0,66.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,78.0,19.0,2.0,1.0,1.0,8.0,4.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,4.0,4.0,28.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
16,210824047.0,1.0,1.0,0.0,2.0,9.0,9.0,4.0,3.0,8.0,1.0,8.0,1.0,11.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,4.0,1.0,3.0,6.0,2.0,2.0,1.0,17.0,7.0,1.0,1.0,7.0,2.0,8.0,3.0,8.0,5.0,0.0,0.0,0.0,4.0,5.0,1.0,4.0,8.0,7.0,7.0,8.0,5.0,36.0,3.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,0.0,0.0,1.0,24.0,1.0,5.0,9.0,0.0,4.0,4.0,3.0,7.0,2.0,2.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,18.0,0.0,12.0,11.0,0.0,1.0,1.0,2.0,18.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,10.0,14.0,7.0,0.0,8.0,9.0,1.0,2.0,0.0,7.0,6.0,0.0,1.0,0.0,11.0,2.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
17,224191683.0,2.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
18,232917031.0,18.0,1.0,0.0,3.0,4.0,27.0,1.0,1.0,8.0,4.0,3.0,1.0,35.0,0.0,10.0,9.0,0.0,0.0,0.0,5.0,144.0,0.0,20.0,34.0,3.0,7.0,12.0,31.0,6.0,6.0,5.0,23.0,0.0,38.0,0.0,11.0,14.0,2.0,1.0,2.0,6.0,21.0,5.0,8.0,26.0,12.0,14.0,19.0,19.0,15.0,5.0,0.0,9.0,5.0,116.0,1.0,6.0,1.0,8.0,11.0,1.0,0.0,2.0,2.0,23.0,20.0,1.0,19.0,31.0,0.0,17.0,14.0,2.0,12.0,4.0,13.0,10.0,7.0,3.0,1.0,0.0,0.0,5.0,5.0,1.0,16.0,6.0,2.0,5.0,3.0,59.0,0.0,29.0,58.0,0.0,1.0,2.0,1.0,3.0,0.0,7.0,9.0,4.0,5.0,0.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,11.0,0.0,202.0,2.0,14.0,2.0,12.0,18.0,3.0,4.0,0.0,2.0,91.0,0.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
19,238096920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
