,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,24842854.0,22.0,10.0,15.0,72.0,13.0,38.0,0.0,12.0,6.0,0.0,28.0,14.0,30.0,27.0,2.0,6.0,2.0,32.0,7.0,0.0,1.0,30.0,38.0,12.0,2.0,41.0,117.0,12.0,11.0,0.0,45.0,15.0,10.0,3.0,2.0,0.0,49.0,0.0,9.0,2.0,0.0,2.0,6.0,1.0,28.0,17.0,1.0,5.0,1.0,1.0,0.0,4.0,9.0,0.0,24.0,8.0,56.0,5.0,1.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9.0,4.0,0.0,5.0,48.0,10.0,1.0,28.0,0.0,1.0,2.0,7.0,1.0
11,31180024.0,56.0,7.0,28.0,8.0,89.0,244.0,0.0,5.0,18.0,28.0,0.0,17.0,1581.0,319.0,4.0,8.0,9.0,58.0,517.0,5.0,5.0,32.0,93.0,34.0,6.0,116.0,430.0,38.0,46.0,17.0,277.0,60.0,45.0,8.0,6.0,2.0,282.0,0.0,4.0,5.0,14.0,0.0,29.0,6.0,16.0,18.0,0.0,33.0,3.0,5.0,3.0,11.0,34.0,7.0,91.0,37.0,121.0,12.0,4.0,1.0,176.0,0.0,2.0,27.0,2.0,0.0,0.0,0.0,25.0,6.0,0.0,1.0,21.0,25.0,0.0,37.0,67.0,7.0,22.0,71.0,2.0,1.0,6.0,15.0,6.0
12,32841180.0,165.0,32.0,16.0,35.0,12.0,45.0,0.0,4.0,6.0,14.0,17.0,0.0,16.0,84.0,9.0,9.0,2.0,123.0,9.0,0.0,2.0,32.0,21.0,39.0,1.0,103.0,226.0,12.0,9.0,5.0,44.0,8.0,6.0,5.0,0.0,2.0,76.0,0.0,6.0,3.0,1.0,22.0,3.0,1.0,3.0,10.0,1.0,7.0,1.0,3.0,0.0,34.0,4.0,0.0,21.0,12.0,56.0,3.0,2.0,0.0,26.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,3.0,0.0,11.0,137.0,30.0,15.0,23.0,1.0,3.0,2.0,4.0,3.0
13,50552213.0,35.0,6.0,30.0,7.0,65.0,199.0,1.0,4.0,21.0,30.0,1581.0,16.0,0.0,238.0,3.0,11.0,6.0,64.0,486.0,5.0,3.0,26.0,101.0,35.0,5.0,109.0,353.0,39.0,42.0,14.0,245.0,56.0,28.0,9.0,3.0,2.0,245.0,0.0,7.0,3.0,6.0,0.0,23.0,5.0,14.0,16.0,0.0,37.0,4.0,5.0,2.0,12.0,36.0,7.0,81.0,46.0,105.0,8.0,2.0,1.0,197.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,19.0,3.0,0.0,2.0,23.0,28.0,0.0,37.0,61.0,6.0,10.0,86.0,2.0,3.0,10.0,18.0,4.0
14,53400136.0,212.0,13.0,39.0,24.0,97.0,292.0,0.0,6.0,32.0,27.0,319.0,84.0,238.0,0.0,4.0,11.0,7.0,87.0,170.0,0.0,3.0,52.0,100.0,55.0,8.0,115.0,479.0,35.0,50.0,9.0,287.0,49.0,28.0,11.0,5.0,3.0,286.0,0.0,8.0,3.0,2.0,7.0,26.0,6.0,12.0,21.0,4.0,31.0,5.0,6.0,0.0,17.0,46.0,1.0,167.0,33.0,130.0,9.0,4.0,1.0,34.0,0.0,1.0,28.0,9.0,0.0,0.0,0.0,17.0,2.0,0.0,3.0,27.0,30.0,0.0,41.0,88.0,9.0,12.0,87.0,3.0,3.0,7.0,14.0,6.0
15,57072321.0,4.0,10.0,2.0,5.0,1.0,8.0,0.0,2.0,0.0,2.0,4.0,9.0,3.0,4.0,0.0,10.0,0.0,5.0,2.0,1.0,0.0,2.0,6.0,5.0,1.0,14.0,7.0,4.0,3.0,0.0,11.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,9.0,40.0,27.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0
16,63831819.0,5.0,12.0,12.0,25.0,5.0,9.0,1.0,5.0,4.0,6.0,8.0,9.0,11.0,11.0,10.0,0.0,3.0,5.0,3.0,0.0,0.0,6.0,12.0,10.0,0.0,18.0,19.0,12.0,5.0,1.0,14.0,9.0,5.0,3.0,3.0,0.0,14.0,0.0,2.0,11.0,6.0,2.0,2.0,2.0,6.0,12.0,1.0,3.0,1.0,3.0,0.0,2.0,13.0,0.0,10.0,6.0,13.0,3.0,4.0,2.0,0.0,0.0,3.0,11.0,53.0,0.0,0.0,0.0,11.0,2.0,2.0,1.0,4.0,2.0,0.0,21.0,49.0,63.0,3.0,55.0,5.0,3.0,3.0,2.0,5.0
17,78985632.0,1.0,2.0,7.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,9.0,2.0,6.0,7.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,2.0,14.0,4.0,0.0,10.0,15.0,4.0,4.0,0.0,10.0,6.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,7.0,4.0,11.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,9.0,0.0,0.0,1.0,2.0,0.0
18,80791048.0,68.0,15.0,25.0,21.0,29.0,146.0,0.0,6.0,15.0,32.0,58.0,123.0,64.0,87.0,5.0,5.0,2.0,0.0,33.0,0.0,2.0,117.0,106.0,35.0,24.0,87.0,379.0,24.0,27.0,6.0,119.0,22.0,9.0,8.0,2.0,1.0,74.0,0.0,10.0,5.0,4.0,12.0,17.0,8.0,6.0,28.0,6.0,19.0,14.0,13.0,2.0,26.0,12.0,0.0,56.0,32.0,74.0,13.0,6.0,1.0,11.0,0.0,2.0,27.0,4.0,0.0,0.0,0.0,11.0,6.0,2.0,2.0,25.0,13.0,0.0,23.0,92.0,10.0,11.0,44.0,5.0,2.0,4.0,7.0,4.0
19,98730352.0,33.0,0.0,9.0,3.0,17.0,129.0,0.0,2.0,6.0,7.0,517.0,9.0,486.0,170.0,2.0,3.0,3.0,33.0,0.0,3.0,4.0,7.0,34.0,15.0,4.0,33.0,141.0,12.0,18.0,13.0,160.0,17.0,7.0,1.0,1.0,0.0,75.0,0.0,0.0,1.0,3.0,0.0,11.0,1.0,1.0,6.0,0.0,20.0,2.0,2.0,4.0,9.0,11.0,15.0,29.0,27.0,29.0,4.0,0.0,0.0,140.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,16.0,11.0,0.0,9.0,22.0,3.0,8.0,26.0,0.0,1.0,0.0,5.0,2.0
