,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
10,19712559.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,8.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0
11,20404217.0,4.0,0.0,24.0,0.0,10.0,10.0,9.0,8.0,30.0,0.0,0.0,0.0,4.0,3.0,12.0,6.0,20.0,5.0,18.0,30.0,7.0,6.0,2.0,0.0,8.0,12.0,16.0,6.0,7.0,25.0,10.0,4.0,8.0,8.0,18.0,5.0,0.0,4.0,7.0,11.0,6.0,7.0,12.0,12.0,5.0,6.0,2.0,2.0,4.0,1.0,3.0,7.0,35.0,9.0,0.0,6.0,8.0,12.0,0.0,9.0,0.0,12.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,12.0,4.0,1.0,15.0,14.0,0.0,3.0,7.0,0.0,1.0,11.0,5.0,0.0,4.0,5.0,7.0,35.0,10.0,14.0,3.0,3.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,10.0,20.0,3.0
12,21501550.0,13.0,0.0,1.0,1.0,1.0,10.0,4.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,3.0,3.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,7.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0
13,23053980.0,33.0,9.0,62.0,1.0,91.0,171.0,66.0,10.0,53.0,2.0,4.0,4.0,0.0,82.0,85.0,29.0,14.0,47.0,11.0,55.0,183.0,17.0,3.0,6.0,31.0,46.0,47.0,19.0,9.0,142.0,94.0,9.0,25.0,26.0,10.0,77.0,1.0,3.0,52.0,14.0,45.0,15.0,35.0,8.0,108.0,42.0,32.0,1.0,45.0,1.0,4.0,66.0,34.0,9.0,6.0,38.0,47.0,66.0,0.0,22.0,3.0,113.0,48.0,8.0,96.0,17.0,0.0,0.0,19.0,0.0,1.0,0.0,9.0,4.0,0.0,62.0,9.0,1.0,33.0,205.0,15.0,7.0,6.0,0.0,1.0,118.0,3.0,1.0,4.0,9.0,24.0,61.0,63.0,104.0,21.0,29.0,80.0,0.0,33.0,110.0,0.0,0.0,2.0,102.0,68.0,4.0
14,25161342.0,30.0,14.0,127.0,2.0,333.0,235.0,297.0,28.0,161.0,0.0,3.0,2.0,82.0,0.0,279.0,72.0,11.0,222.0,7.0,125.0,63.0,146.0,7.0,53.0,15.0,142.0,51.0,102.0,10.0,294.0,201.0,50.0,38.0,94.0,10.0,41.0,0.0,5.0,111.0,19.0,264.0,25.0,94.0,12.0,167.0,149.0,157.0,19.0,53.0,72.0,8.0,29.0,34.0,7.0,7.0,145.0,127.0,267.0,0.0,67.0,1.0,462.0,11.0,29.0,292.0,138.0,3.0,0.0,186.0,0.0,2.0,5.0,114.0,4.0,0.0,113.0,37.0,21.0,84.0,240.0,2.0,10.0,11.0,34.0,1.0,228.0,13.0,20.0,63.0,10.0,31.0,49.0,263.0,240.0,26.0,61.0,29.0,15.0,305.0,368.0,2.0,2.0,26.0,99.0,226.0,4.0
15,28091521.0,49.0,16.0,132.0,4.0,209.0,259.0,215.0,35.0,142.0,1.0,12.0,5.0,85.0,279.0,0.0,76.0,32.0,107.0,18.0,114.0,50.0,98.0,15.0,16.0,42.0,124.0,112.0,67.0,16.0,236.0,176.0,36.0,36.0,47.0,20.0,42.0,2.0,11.0,98.0,38.0,185.0,36.0,77.0,27.0,118.0,111.0,84.0,7.0,60.0,34.0,11.0,25.0,73.0,26.0,12.0,104.0,87.0,152.0,0.0,43.0,1.0,286.0,11.0,18.0,163.0,94.0,3.0,0.0,122.0,0.0,3.0,2.0,77.0,8.0,0.0,132.0,28.0,10.0,101.0,214.0,4.0,14.0,6.0,18.0,1.0,212.0,4.0,11.0,39.0,12.0,40.0,57.0,161.0,178.0,35.0,62.0,41.0,6.0,185.0,172.0,0.0,1.0,12.0,172.0,166.0,8.0
16,29560262.0,23.0,5.0,60.0,1.0,75.0,62.0,44.0,20.0,55.0,0.0,6.0,2.0,29.0,72.0,76.0,0.0,11.0,53.0,7.0,18.0,43.0,22.0,11.0,6.0,20.0,29.0,44.0,17.0,9.0,96.0,59.0,16.0,17.0,23.0,11.0,17.0,0.0,5.0,34.0,12.0,44.0,12.0,40.0,12.0,19.0,29.0,31.0,3.0,6.0,2.0,8.0,15.0,27.0,11.0,2.0,35.0,47.0,45.0,0.0,10.0,0.0,60.0,9.0,7.0,52.0,10.0,3.0,0.0,16.0,0.0,2.0,1.0,9.0,3.0,0.0,37.0,8.0,4.0,63.0,69.0,1.0,7.0,1.0,0.0,1.0,43.0,0.0,0.0,5.0,9.0,17.0,28.0,42.0,70.0,13.0,29.0,12.0,0.0,23.0,60.0,1.0,0.0,8.0,54.0,65.0,5.0
17,30393191.0,27.0,3.0,114.0,0.0,23.0,93.0,19.0,15.0,68.0,1.0,20.0,3.0,14.0,11.0,32.0,11.0,0.0,10.0,266.0,200.0,21.0,10.0,12.0,2.0,26.0,16.0,47.0,9.0,30.0,65.0,67.0,12.0,21.0,25.0,13.0,7.0,0.0,4.0,11.0,16.0,17.0,10.0,15.0,18.0,5.0,7.0,5.0,0.0,37.0,3.0,8.0,14.0,45.0,32.0,2.0,8.0,19.0,14.0,0.0,10.0,2.0,25.0,2.0,1.0,24.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,7.0,3.0,0.0,31.0,8.0,0.0,38.0,41.0,4.0,4.0,16.0,0.0,0.0,48.0,13.0,0.0,3.0,2.0,32.0,66.0,30.0,34.0,13.0,2.0,16.0,0.0,6.0,15.0,0.0,0.0,0.0,81.0,61.0,3.0
18,30641827.0,36.0,12.0,63.0,56.0,244.0,143.0,115.0,18.0,82.0,0.0,5.0,3.0,47.0,222.0,107.0,53.0,10.0,0.0,11.0,45.0,49.0,66.0,9.0,15.0,21.0,46.0,50.0,58.0,14.0,135.0,165.0,40.0,36.0,63.0,13.0,34.0,0.0,8.0,44.0,12.0,128.0,16.0,49.0,15.0,105.0,65.0,95.0,11.0,15.0,14.0,8.0,22.0,22.0,13.0,3.0,86.0,95.0,135.0,0.0,13.0,2.0,560.0,7.0,32.0,150.0,30.0,4.0,0.0,55.0,0.0,1.0,5.0,46.0,3.0,0.0,86.0,28.0,17.0,52.0,139.0,6.0,15.0,5.0,13.0,1.0,106.0,4.0,2.0,22.0,6.0,18.0,40.0,80.0,134.0,24.0,25.0,23.0,1.0,67.0,277.0,2.0,1.0,6.0,59.0,166.0,3.0
19,33988809.0,7.0,2.0,98.0,0.0,13.0,18.0,13.0,8.0,34.0,0.0,18.0,0.0,11.0,7.0,18.0,7.0,266.0,11.0,0.0,513.0,13.0,5.0,6.0,3.0,14.0,24.0,21.0,7.0,24.0,52.0,26.0,12.0,16.0,22.0,10.0,4.0,0.0,4.0,12.0,13.0,15.0,9.0,14.0,11.0,2.0,9.0,7.0,2.0,30.0,0.0,5.0,22.0,32.0,20.0,0.0,17.0,20.0,10.0,0.0,12.0,0.0,31.0,1.0,3.0,19.0,10.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,12.0,5.0,1.0,25.0,21.0,2.0,0.0,33.0,0.0,0.0,24.0,40.0,0.0,4.0,2.0,11.0,94.0,57.0,25.0,10.0,6.0,11.0,0.0,7.0,9.0,0.0,0.0,1.0,35.0,32.0,3.0
