,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17,243336397.0,2.0,59.0,2.0,0.0,45.0,179.0,20.0,113.0,16.0,105.0,290.0,54.0,8.0,24.0,55.0,13.0,0.0,5.0,53.0,9.0,62.0,176.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,184.0,87.0,0.0,0.0,5.0,199.0,1.0,67.0,0.0,31.0,16.0,0.0,1.0,0.0,56.0,63.0
18,257917968.0,0.0,4.0,0.0,0.0,3.0,11.0,0.0,4.0,0.0,3.0,17.0,12.0,7.0,1.0,0.0,1.0,5.0,0.0,20.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,2.0
19,265961701.0,0.0,13.0,3.0,0.0,21.0,66.0,3.0,31.0,3.0,24.0,38.0,16.0,1.0,18.0,18.0,4.0,53.0,20.0,0.0,4.0,18.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,29.0,0.0,0.0,1.0,51.0,1.0,21.0,0.0,8.0,6.0,0.0,1.0,0.0,15.0,13.0
20,267936533.0,0.0,15.0,7.0,0.0,0.0,2.0,8.0,2.0,37.0,7.0,12.0,1.0,1.0,136.0,3.0,3.0,9.0,6.0,4.0,0.0,11.0,21.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,0.0,0.0,28.0,10.0,16.0,1.0,0.0,5.0,5.0,1.0,10.0,21.0,27.0,27.0
21,270762885.0,8.0,46.0,3.0,0.0,22.0,49.0,13.0,57.0,21.0,60.0,107.0,32.0,4.0,62.0,43.0,4.0,62.0,1.0,18.0,11.0,0.0,131.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,67.0,0.0,0.0,0.0,115.0,5.0,13.0,0.0,5.0,2.0,1.0,4.0,0.0,36.0,22.0
22,271428783.0,12.0,38.0,5.0,0.0,46.0,112.0,13.0,99.0,21.0,127.0,210.0,49.0,8.0,77.0,87.0,6.0,176.0,4.0,52.0,21.0,131.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,114.0,113.0,0.0,1.0,6.0,231.0,1.0,55.0,2.0,21.0,16.0,0.0,6.0,0.0,82.0,26.0
23,278893978.0,1.0,4.0,4.0,0.0,6.0,12.0,5.0,6.0,19.0,9.0,5.0,3.0,0.0,114.0,6.0,1.0,5.0,0.0,3.0,30.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,12.0,11.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,20.0,6.0,7.0
24,283718439.0,1.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0
25,285094191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,289513787.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
