,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
25,320565200.0,13.0,25.0,83.0,4.0,32.0,0.0,0.0,12.0,30.0,2.0,2.0,0.0,0.0,1.0,213.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,21.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,35.0,0.0,1.0,0.0
26,344843392.0,0.0,3.0,2.0,6.0,23.0,0.0,0.0,3.0,7.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,2.0
27,371045468.0,93.0,14.0,15.0,38.0,95.0,0.0,12.0,41.0,90.0,43.0,6.0,17.0,10.0,7.0,296.0,24.0,45.0,0.0,24.0,0.0,0.0,85.0,9.0,128.0,9.0,4.0,0.0,18.0,62.0,49.0,19.0,322.0,0.0,17.0,19.0
28,373157754.0,15.0,7.0,0.0,10.0,102.0,0.0,1.0,44.0,36.0,2.0,2.0,2.0,7.0,17.0,84.0,3.0,3.0,0.0,10.0,0.0,0.0,4.0,2.0,9.0,0.0,0.0,18.0,0.0,10.0,3.0,24.0,83.0,0.0,4.0,1.0
29,380409830.0,51.0,2.0,1.0,4.0,19.0,0.0,4.0,6.0,22.0,4.0,0.0,15.0,0.0,2.0,123.0,4.0,8.0,0.0,6.0,0.0,0.0,24.0,0.0,28.0,1.0,0.0,62.0,10.0,0.0,12.0,0.0,74.0,0.0,0.0,1.0
30,381909729.0,10.0,1.0,3.0,8.0,18.0,0.0,3.0,9.0,12.0,3.0,1.0,5.0,1.0,1.0,33.0,5.0,4.0,0.0,3.0,0.0,0.0,19.0,5.0,20.0,4.0,0.0,49.0,3.0,12.0,0.0,1.0,31.0,0.0,1.0,3.0
31,394285779.0,17.0,7.0,0.0,23.0,130.0,0.0,5.0,59.0,63.0,3.0,11.0,1.0,29.0,122.0,57.0,8.0,9.0,0.0,19.0,3.0,0.0,10.0,24.0,16.0,0.0,5.0,19.0,24.0,0.0,1.0,0.0,25.0,3.0,42.0,21.0
32,401651305.0,191.0,29.0,26.0,48.0,140.0,0.0,10.0,66.0,123.0,13.0,12.0,21.0,4.0,15.0,504.0,25.0,52.0,0.0,42.0,1.0,0.0,93.0,12.0,195.0,35.0,3.0,322.0,83.0,74.0,31.0,25.0,0.0,0.0,12.0,7.0
33,406855411.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
34,425842620.0,16.0,7.0,4.0,26.0,60.0,0.0,7.0,32.0,63.0,4.0,7.0,1.0,15.0,21.0,59.0,8.0,5.0,0.0,21.0,3.0,0.0,4.0,7.0,11.0,1.0,5.0,17.0,4.0,0.0,1.0,42.0,12.0,0.0,0.0,155.0
35,430530678.0,14.0,12.0,0.0,26.0,30.0,0.0,6.0,23.0,75.0,7.0,3.0,0.0,10.0,8.0,59.0,7.0,3.0,0.0,15.0,3.0,0.0,5.0,6.0,8.0,0.0,2.0,19.0,1.0,1.0,3.0,21.0,7.0,1.0,155.0,0.0
