,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
16,230844017.0,0.0,12.0,35.0,2.0,10.0,6.0,2.0,0.0,45.0,1.0,50.0,0.0,2.0,24.0,1.0,0.0,0.0,0.0,8.0,76.0,1.0,17.0,73.0,87.0,99.0,0.0,1.0,14.0,40.0,116.0,11.0,6.0,1.0,0.0,1.0,10.0,2.0,0.0,12.0,15.0,0.0,4.0,0.0,0.0
17,235252116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,235653027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,247535605.0,7.0,60.0,102.0,73.0,61.0,72.0,28.0,0.0,13.0,15.0,69.0,2.0,62.0,51.0,10.0,8.0,0.0,0.0,0.0,12.0,35.0,35.0,120.0,16.0,11.0,24.0,7.0,31.0,57.0,81.0,7.0,34.0,25.0,0.0,2.0,21.0,5.0,8.0,17.0,166.0,6.0,9.0,27.0,0.0
20,251196980.0,0.0,11.0,13.0,4.0,2.0,2.0,4.0,0.0,113.0,1.0,38.0,1.0,2.0,7.0,1.0,76.0,0.0,0.0,12.0,0.0,5.0,28.0,112.0,92.0,70.0,1.0,3.0,28.0,5.0,104.0,33.0,8.0,1.0,1.0,2.0,16.0,7.0,11.0,25.0,6.0,0.0,3.0,0.0,0.0
21,253204705.0,8.0,31.0,35.0,37.0,26.0,13.0,17.0,0.0,7.0,10.0,37.0,0.0,21.0,22.0,5.0,1.0,0.0,0.0,35.0,5.0,0.0,18.0,49.0,9.0,2.0,13.0,2.0,16.0,11.0,33.0,7.0,13.0,12.0,0.0,0.0,9.0,0.0,0.0,12.0,31.0,0.0,5.0,13.0,0.0
22,255408158.0,3.0,33.0,37.0,22.0,19.0,29.0,17.0,0.0,47.0,4.0,60.0,1.0,24.0,15.0,3.0,17.0,0.0,0.0,35.0,28.0,18.0,0.0,132.0,48.0,47.0,14.0,6.0,41.0,10.0,106.0,43.0,21.0,14.0,0.0,4.0,11.0,3.0,8.0,33.0,36.0,2.0,1.0,17.0,0.0
23,258536563.0,14.0,85.0,182.0,100.0,73.0,96.0,43.0,0.0,189.0,26.0,194.0,8.0,58.0,73.0,14.0,73.0,0.0,0.0,120.0,112.0,49.0,132.0,0.0,176.0,149.0,35.0,35.0,108.0,52.0,443.0,128.0,66.0,23.0,2.0,9.0,26.0,11.0,38.0,73.0,136.0,2.0,19.0,38.0,0.0
24,267088381.0,1.0,28.0,97.0,12.0,17.0,6.0,8.0,0.0,66.0,1.0,133.0,0.0,3.0,50.0,3.0,87.0,0.0,0.0,16.0,92.0,9.0,48.0,176.0,0.0,84.0,1.0,20.0,22.0,35.0,243.0,38.0,22.0,0.0,1.0,5.0,8.0,2.0,1.0,17.0,54.0,0.0,4.0,0.0,0.0
25,269031038.0,1.0,11.0,22.0,6.0,5.0,3.0,4.0,0.0,87.0,2.0,41.0,1.0,4.0,4.0,1.0,99.0,0.0,0.0,11.0,70.0,2.0,47.0,149.0,84.0,0.0,3.0,0.0,55.0,2.0,102.0,44.0,6.0,1.0,0.0,1.0,10.0,1.0,5.0,27.0,3.0,2.0,0.0,2.0,0.0
