,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
10,39592755.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,47847315.0,38.0,88.0,9.0,298.0,305.0,0.0,93.0,134.0,17.0,0.0,0.0,11.0,12.0,82.0,7.0,1.0,152.0,15.0,0.0,94.0,89.0,0.0,10.0,99.0,15.0,44.0,13.0,494.0,3.0,72.0,25.0,0.0,74.0,14.0,4.0,26.0,13.0,31.0,10.0,134.0,10.0,6.0,82.0,3.0,2.0,32.0,12.0,54.0,1.0,34.0,27.0,2.0,5.0,10.0,36.0,0.0,35.0,73.0,84.0,7.0,85.0,56.0,4.0,2.0,1.0,18.0,0.0,0.0,25.0,5.0,51.0,1.0,3.0,51.0,9.0,222.0,266.0,12.0,20.0,15.0,177.0,2.0,13.0,17.0,5.0,4.0,10.0,0.0,9.0,18.0,1.0,5.0,8.0,19.0,3.0,0.0,2.0,5.0,28.0,46.0,2.0,0.0,5.0,4.0,252.0,10.0,69.0,15.0,24.0,3.0,18.0,6.0,0.0,2.0,12.0,7.0,6.0,39.0,18.0,11.0,2.0,0.0,68.0,1.0,2.0,120.0,0.0,2.0,1.0,33.0,1.0,5.0,5.0,2.0,64.0,2.0,3.0,1.0,0.0,13.0,0.0,9.0,3.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,41.0,1.0,1.0,0.0,31.0
12,48315317.0,6.0,13.0,0.0,13.0,71.0,0.0,0.0,45.0,0.0,0.0,11.0,0.0,1.0,7.0,0.0,0.0,30.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,8.0,5.0,18.0,1.0,8.0,17.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,8.0,0.0,21.0,9.0,2.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,26.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,30.0,1.0,10.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
13,49367709.0,2.0,8.0,0.0,11.0,13.0,0.0,11.0,16.0,1.0,0.0,12.0,1.0,0.0,5.0,0.0,0.0,13.0,3.0,0.0,4.0,12.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,15.0,2.0,0.0,19.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,10.0,2.0,0.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,8.0,0.0,13.0,5.0,2.0,3.0,2.0,18.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0
14,49666447.0,24.0,50.0,1.0,85.0,169.0,0.0,24.0,184.0,1.0,0.0,82.0,7.0,5.0,0.0,15.0,1.0,100.0,7.0,0.0,11.0,64.0,0.0,0.0,47.0,12.0,35.0,2.0,17.0,3.0,31.0,5.0,1.0,21.0,14.0,5.0,6.0,7.0,19.0,5.0,88.0,9.0,2.0,8.0,3.0,1.0,51.0,4.0,15.0,0.0,6.0,15.0,3.0,15.0,22.0,13.0,1.0,36.0,18.0,107.0,4.0,69.0,42.0,1.0,1.0,1.0,39.0,0.0,0.0,20.0,13.0,44.0,1.0,2.0,38.0,3.0,130.0,59.0,10.0,18.0,4.0,211.0,3.0,6.0,6.0,13.0,14.0,8.0,5.0,10.0,15.0,6.0,6.0,4.0,5.0,0.0,4.0,9.0,7.0,30.0,41.0,5.0,0.0,3.0,3.0,50.0,1.0,55.0,17.0,24.0,1.0,17.0,1.0,0.0,1.0,41.0,9.0,3.0,54.0,5.0,38.0,0.0,0.0,36.0,0.0,13.0,43.0,0.0,1.0,8.0,29.0,0.0,2.0,2.0,1.0,17.0,1.0,4.0,2.0,0.0,13.0,0.0,8.0,1.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,5.0,5.0,23.0,1.0,1.0,0.0,15.0
15,51792690.0,15.0,22.0,15.0,15.0,22.0,0.0,5.0,19.0,9.0,3.0,7.0,0.0,0.0,15.0,0.0,0.0,54.0,6.0,0.0,4.0,29.0,1.0,31.0,8.0,3.0,11.0,11.0,4.0,8.0,8.0,5.0,0.0,3.0,8.0,9.0,6.0,52.0,16.0,47.0,47.0,4.0,1.0,2.0,18.0,1.0,6.0,22.0,10.0,2.0,2.0,11.0,9.0,19.0,2.0,1.0,17.0,7.0,25.0,50.0,76.0,42.0,22.0,2.0,22.0,4.0,1.0,1.0,8.0,36.0,2.0,13.0,1.0,10.0,68.0,16.0,28.0,44.0,25.0,6.0,1.0,13.0,30.0,16.0,17.0,4.0,2.0,6.0,38.0,21.0,3.0,8.0,6.0,8.0,4.0,2.0,2.0,10.0,6.0,16.0,51.0,0.0,2.0,1.0,2.0,14.0,15.0,24.0,19.0,27.0,9.0,44.0,16.0,0.0,3.0,5.0,4.0,9.0,8.0,9.0,5.0,3.0,0.0,13.0,2.0,4.0,12.0,4.0,1.0,3.0,12.0,2.0,0.0,31.0,32.0,3.0,0.0,3.0,0.0,1.0,39.0,0.0,11.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,6.0,5.0,8.0,3.0,0.0,1.0
16,52729838.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,52821663.0,78.0,180.0,16.0,241.0,368.0,0.0,44.0,248.0,15.0,0.0,152.0,30.0,13.0,100.0,54.0,2.0,0.0,32.0,0.0,51.0,332.0,0.0,18.0,91.0,26.0,55.0,21.0,27.0,20.0,79.0,26.0,1.0,26.0,46.0,20.0,36.0,47.0,58.0,54.0,209.0,14.0,7.0,61.0,7.0,12.0,69.0,35.0,56.0,3.0,23.0,52.0,11.0,42.0,26.0,10.0,11.0,100.0,102.0,169.0,45.0,151.0,120.0,16.0,11.0,7.0,29.0,2.0,1.0,82.0,18.0,92.0,5.0,12.0,188.0,20.0,285.0,265.0,50.0,27.0,17.0,216.0,22.0,39.0,22.0,35.0,22.0,16.0,26.0,29.0,21.0,10.0,31.0,26.0,15.0,3.0,5.0,11.0,19.0,66.0,126.0,8.0,1.0,5.0,10.0,150.0,11.0,132.0,39.0,55.0,9.0,107.0,21.0,0.0,2.0,105.0,14.0,11.0,113.0,22.0,61.0,2.0,0.0,106.0,2.0,24.0,135.0,1.0,2.0,14.0,80.0,1.0,1.0,11.0,12.0,39.0,2.0,9.0,4.0,0.0,45.0,0.0,25.0,0.0,81.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,13.0,21.0,76.0,2.0,3.0,1.0,23.0
18,57246038.0,6.0,5.0,2.0,15.0,17.0,0.0,9.0,12.0,4.0,0.0,15.0,1.0,3.0,7.0,6.0,0.0,32.0,0.0,0.0,9.0,21.0,0.0,1.0,3.0,2.0,7.0,4.0,5.0,1.0,7.0,4.0,0.0,6.0,4.0,0.0,4.0,3.0,8.0,5.0,21.0,1.0,0.0,4.0,1.0,2.0,1.0,4.0,38.0,0.0,6.0,14.0,1.0,2.0,2.0,2.0,0.0,2.0,9.0,13.0,3.0,17.0,6.0,3.0,0.0,2.0,5.0,1.0,0.0,20.0,0.0,3.0,0.0,2.0,52.0,3.0,17.0,35.0,11.0,4.0,28.0,14.0,0.0,8.0,5.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,7.0,10.0,0.0,0.0,1.0,2.0,16.0,0.0,8.0,5.0,10.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,11.0,1.0,0.0,10.0,0.0,1.0,14.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,11.0,0.0,0.0,0.0,5.0
19,58225107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
