,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
10,210824047.0,7.0,0.0,9.0,0.0,1.0,1.0,4.0,2.0,28.0,0.0,1.0,9.0,1.0,7.0,7.0,7.0,11.0,0.0,0.0,2.0,36.0,19.0,3.0,0.0,5.0,9.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,24.0,11.0,1.0,17.0,45.0,0.0,1.0,0.0,2.0,1.0,6.0,2.0,2.0,1.0,18.0,0.0,1.0,2.0,2.0,0.0,10.0,18.0,7.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,7.0,0.0,3.0
11,231948749.0,4.0,2.0,0.0,0.0,19.0,8.0,10.0,6.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,37.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0
12,241314646.0,106.0,12.0,11.0,1.0,20.0,23.0,55.0,103.0,31.0,9.0,3.0,0.0,40.0,15.0,24.0,11.0,17.0,56.0,7.0,0.0,17.0,44.0,1.0,117.0,45.0,13.0,30.0,1.0,4.0,12.0,0.0,0.0,53.0,155.0,7.0,15.0,91.0,72.0,44.0,0.0,1.0,0.0,3.0,147.0,44.0,123.0,30.0,0.0,19.0,49.0,1.0,16.0,68.0,27.0,12.0,19.0,13.0,83.0,28.0,61.0,0.0,5.0,4.0,1.0,4.0,0.0,18.0
13,243672286.0,8.0,1.0,2.0,0.0,3.0,3.0,0.0,13.0,2.0,1.0,0.0,40.0,0.0,0.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,3.0,0.0,29.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,27.0,0.0,0.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,16.0,2.0,0.0,0.0,9.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,3.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
14,252991272.0,3.0,0.0,13.0,0.0,3.0,2.0,6.0,6.0,29.0,7.0,1.0,15.0,0.0,0.0,29.0,6.0,2.0,1.0,4.0,5.0,15.0,33.0,1.0,0.0,25.0,13.0,5.0,1.0,7.0,6.0,3.0,0.0,1.0,0.0,7.0,32.0,1.0,49.0,7.0,0.0,0.0,0.0,4.0,1.0,4.0,7.0,0.0,2.0,15.0,0.0,0.0,0.0,2.0,0.0,23.0,2.0,10.0,2.0,12.0,0.0,0.0,16.0,1.0,0.0,3.0,0.0,2.0
15,253606493.0,2.0,1.0,84.0,0.0,6.0,0.0,1.0,12.0,24.0,7.0,0.0,24.0,2.0,29.0,0.0,47.0,1.0,4.0,38.0,21.0,12.0,100.0,5.0,4.0,55.0,79.0,67.0,0.0,38.0,20.0,2.0,0.0,5.0,8.0,9.0,25.0,7.0,69.0,3.0,0.0,0.0,0.0,28.0,5.0,4.0,8.0,0.0,5.0,121.0,1.0,0.0,1.0,4.0,0.0,84.0,2.0,46.0,1.0,67.0,4.0,0.0,45.0,17.0,0.0,0.0,0.0,1.0
16,253766102.0,6.0,0.0,82.0,0.0,22.0,3.0,2.0,8.0,12.0,7.0,3.0,11.0,2.0,6.0,47.0,0.0,4.0,1.0,42.0,27.0,12.0,135.0,1.0,1.0,52.0,75.0,45.0,0.0,46.0,29.0,0.0,0.0,2.0,2.0,3.0,16.0,3.0,67.0,4.0,0.0,1.0,0.0,51.0,3.0,3.0,7.0,2.0,14.0,114.0,2.0,0.0,6.0,6.0,0.0,103.0,6.0,49.0,2.0,76.0,0.0,0.0,54.0,41.0,0.0,1.0,0.0,6.0
17,260046126.0,19.0,0.0,2.0,0.0,6.0,6.0,15.0,8.0,19.0,11.0,1.0,17.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,9.0,15.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,8.0,36.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,0.0,5.0,19.0,0.0,0.0,10.0,0.0,12.0,6.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,13.0
18,263539634.0,10.0,2.0,2.0,0.0,3.0,2.0,5.0,23.0,4.0,0.0,0.0,56.0,7.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,10.0,0.0,24.0,7.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,16.0,34.0,1.0,1.0,24.0,10.0,3.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0,4.0,1.0,4.0,23.0,1.0,2.0,10.0,7.0,1.0,2.0,0.0,8.0,7.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
19,264429719.0,3.0,1.0,60.0,0.0,8.0,0.0,0.0,5.0,10.0,0.0,0.0,7.0,1.0,4.0,38.0,42.0,0.0,1.0,0.0,20.0,4.0,69.0,0.0,2.0,33.0,63.0,28.0,0.0,35.0,18.0,0.0,0.0,1.0,4.0,4.0,4.0,1.0,50.0,2.0,0.0,0.0,0.0,37.0,1.0,2.0,2.0,0.0,5.0,80.0,0.0,0.0,1.0,3.0,0.0,85.0,1.0,36.0,0.0,49.0,0.0,0.0,39.0,22.0,0.0,0.0,0.0,0.0
