,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
12,28343595.0,350.0,10.0,62.0,54.0,34.0,126.0,47.0,195.0,123.0,277.0,38.0,0.0,7.0,13.0,0.0,3.0,195.0,0.0,168.0,54.0,85.0,16.0,81.0,73.0,42.0,0.0,11.0,103.0,34.0,2.0,62.0,73.0,32.0,186.0,85.0,78.0,255.0,4.0,68.0,8.0,162.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,43.0,23.0,109.0,60.0,10.0,79.0,17.0,50.0,19.0,8.0,0.0,10.0,93.0,29.0,5.0,1.0,0.0,6.0,42.0,42.0,3.0,42.0,6.0,2.0,18.0,31.0,16.0,1.0,17.0,45.0,0.0,159.0,5.0,11.0,42.0,81.0,104.0,138.0,0.0,4.0,4.0,3.0,0.0,122.0,46.0,0.0
13,36414339.0,51.0,0.0,4.0,3.0,13.0,14.0,3.0,43.0,22.0,25.0,16.0,7.0,0.0,4.0,0.0,0.0,7.0,0.0,39.0,11.0,39.0,5.0,98.0,12.0,1.0,0.0,18.0,9.0,4.0,0.0,6.0,16.0,1.0,7.0,6.0,22.0,153.0,2.0,4.0,40.0,17.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,13.0,22.0,3.0,0.0,9.0,0.0,109.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,2.0,0.0,13.0,0.0,2.0,28.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,78.0,3.0,0.0
14,39066856.0,67.0,2.0,3.0,18.0,7.0,30.0,9.0,44.0,12.0,18.0,13.0,13.0,4.0,0.0,0.0,1.0,9.0,0.0,41.0,1.0,4.0,0.0,23.0,11.0,8.0,3.0,2.0,4.0,10.0,2.0,6.0,8.0,15.0,29.0,14.0,38.0,49.0,4.0,23.0,1.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,71.0,19.0,0.0,20.0,1.0,12.0,2.0,0.0,0.0,0.0,46.0,3.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,4.0,1.0,0.0,1.0,26.0,2.0,0.0,1.0,1.0,1.0,42.0,3.0,2.0,27.0,11.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,44.0,14.0,0.0
15,41079136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,41197792.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
17,48495906.0,332.0,2.0,54.0,38.0,128.0,140.0,68.0,237.0,147.0,436.0,43.0,195.0,7.0,9.0,0.0,3.0,0.0,23.0,306.0,102.0,176.0,35.0,55.0,119.0,83.0,1.0,8.0,176.0,54.0,1.0,36.0,73.0,18.0,207.0,82.0,77.0,261.0,3.0,48.0,9.0,243.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,59.0,73.0,85.0,38.0,3.0,59.0,8.0,32.0,26.0,6.0,0.0,8.0,89.0,18.0,3.0,0.0,0.0,3.0,31.0,63.0,0.0,32.0,6.0,3.0,27.0,13.0,7.0,0.0,16.0,65.0,0.0,153.0,1.0,12.0,28.0,84.0,171.0,305.0,0.0,5.0,4.0,12.0,0.0,133.0,22.0,0.0
18,48983320.0,6.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,14.0,16.0,11.0,1.0,0.0,14.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
19,50645038.0,455.0,39.0,91.0,111.0,130.0,133.0,106.0,389.0,196.0,386.0,85.0,168.0,39.0,41.0,0.0,4.0,306.0,14.0,0.0,78.0,248.0,43.0,267.0,156.0,84.0,16.0,24.0,145.0,84.0,7.0,136.0,145.0,66.0,326.0,79.0,332.0,661.0,12.0,135.0,78.0,196.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,41.0,76.0,237.0,160.0,5.0,146.0,8.0,185.0,10.0,7.0,0.0,6.0,192.0,117.0,5.0,1.0,0.0,2.0,85.0,65.0,2.0,42.0,5.0,4.0,51.0,76.0,21.0,1.0,17.0,32.0,2.0,402.0,7.0,14.0,71.0,109.0,63.0,95.0,0.0,1.0,5.0,5.0,0.0,530.0,75.0,0.0
20,53223847.0,62.0,0.0,12.0,7.0,116.0,23.0,3.0,50.0,44.0,102.0,5.0,54.0,11.0,1.0,0.0,0.0,102.0,16.0,78.0,0.0,114.0,15.0,17.0,91.0,10.0,0.0,5.0,42.0,7.0,2.0,9.0,63.0,0.0,16.0,8.0,5.0,150.0,0.0,8.0,23.0,41.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,17.0,6.0,6.0,0.0,8.0,0.0,21.0,4.0,1.0,0.0,1.0,15.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,1.0,0.0,14.0,0.0,5.0,8.0,17.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,78.0,4.0,0.0
21,59587240.0,148.0,3.0,123.0,32.0,165.0,36.0,19.0,159.0,137.0,238.0,24.0,85.0,39.0,4.0,0.0,0.0,176.0,11.0,248.0,114.0,0.0,32.0,186.0,131.0,65.0,0.0,12.0,101.0,41.0,1.0,108.0,53.0,14.0,62.0,25.0,49.0,844.0,8.0,53.0,90.0,188.0,89.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,32.0,98.0,49.0,76.0,2.0,50.0,3.0,211.0,2.0,3.0,0.0,1.0,73.0,38.0,1.0,0.0,0.0,0.0,12.0,10.0,0.0,16.0,2.0,0.0,33.0,8.0,6.0,0.0,7.0,16.0,0.0,95.0,6.0,3.0,46.0,73.0,15.0,30.0,0.0,0.0,2.0,2.0,0.0,252.0,15.0,0.0
22,69445657.0,19.0,1.0,14.0,1.0,19.0,8.0,2.0,19.0,22.0,23.0,5.0,16.0,5.0,0.0,0.0,0.0,35.0,1.0,43.0,15.0,32.0,0.0,13.0,6.0,6.0,0.0,2.0,13.0,7.0,0.0,6.0,10.0,0.0,28.0,0.0,3.0,64.0,0.0,4.0,12.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,12.0,5.0,4.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,2.0,7.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0
