,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
12,150121038.0,0.0,8.0,9.0,1.0,1.0,10.0,6.0,5.0,2.0,48.0,0.0,0.0,17.0,1.0,85.0,7.0,109.0,1.0,36.0,37.0,0.0,8.0,4.0,5.0,10.0,35.0,67.0,9.0,25.0,5.0,4.0,3.0,1.0,1.0,84.0,19.0,2.0,2.0,43.0,62.0,26.0,84.0,3.0,83.0,2.0,1.0,2.0,63.0,5.0,2.0,13.0,32.0,0.0,15.0,99.0,8.0,36.0,18.0,55.0,63.0,18.0,78.0,54.0,1.0,0.0,68.0,2.0,1.0,74.0,0.0,48.0,0.0,1.0,3.0,11.0,98.0,3.0,0.0,3.0,0.0,131.0,7.0,4.0,1.0,1.0,2.0,8.0,1.0,73.0,3.0,72.0,60.0,49.0,61.0,0.0,4.0,25.0,0.0,0.0,2.0,0.0,0.0,58.0,42.0,2.0
13,184478628.0,0.0,8.0,3.0,13.0,2.0,6.0,4.0,7.0,1.0,9.0,3.0,17.0,0.0,5.0,23.0,3.0,48.0,2.0,13.0,21.0,6.0,8.0,6.0,3.0,1.0,10.0,34.0,5.0,5.0,7.0,4.0,10.0,1.0,2.0,14.0,5.0,4.0,4.0,10.0,23.0,7.0,30.0,2.0,27.0,2.0,4.0,7.0,30.0,6.0,5.0,15.0,14.0,2.0,17.0,33.0,5.0,11.0,13.0,21.0,19.0,7.0,30.0,17.0,1.0,3.0,21.0,14.0,2.0,32.0,0.0,20.0,3.0,1.0,1.0,7.0,36.0,0.0,0.0,5.0,1.0,34.0,7.0,2.0,0.0,7.0,1.0,8.0,1.0,25.0,4.0,18.0,22.0,21.0,22.0,0.0,11.0,6.0,0.0,1.0,9.0,1.0,1.0,21.0,17.0,6.0
14,210824047.0,1.0,11.0,11.0,10.0,2.0,5.0,2.0,1.0,3.0,1.0,6.0,1.0,5.0,0.0,0.0,2.0,4.0,7.0,4.0,1.0,6.0,104.0,35.0,45.0,0.0,0.0,4.0,0.0,15.0,34.0,0.0,6.0,11.0,3.0,0.0,27.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,4.0,36.0,0.0,6.0,2.0,12.0,5.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,24.0,0.0,5.0,1.0,6.0,5.0,1.0,0.0,6.0,25.0,0.0,3.0,1.0,1.0,26.0,0.0,3.0,6.0,0.0,1.0,18.0,0.0,72.0,1.0,1.0,18.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,7.0,1.0,1.0,2.0,6.0
15,211993075.0,1.0,10.0,26.0,4.0,2.0,10.0,30.0,4.0,4.0,60.0,4.0,85.0,23.0,0.0,0.0,27.0,208.0,3.0,35.0,39.0,1.0,7.0,6.0,6.0,11.0,68.0,119.0,21.0,42.0,3.0,6.0,2.0,1.0,1.0,136.0,35.0,5.0,1.0,91.0,95.0,67.0,133.0,9.0,123.0,0.0,8.0,4.0,141.0,3.0,1.0,10.0,90.0,2.0,11.0,136.0,18.0,41.0,48.0,132.0,157.0,16.0,154.0,86.0,1.0,1.0,76.0,2.0,12.0,120.0,0.0,67.0,2.0,1.0,3.0,14.0,162.0,7.0,0.0,2.0,0.0,174.0,13.0,2.0,0.0,0.0,7.0,1.0,2.0,109.0,2.0,91.0,112.0,75.0,84.0,0.0,12.0,30.0,3.0,7.0,2.0,0.0,0.0,115.0,97.0,10.0
16,212973087.0,4.0,75.0,315.0,5.0,164.0,232.0,214.0,7.0,15.0,1.0,26.0,7.0,3.0,2.0,27.0,0.0,12.0,28.0,3.0,3.0,20.0,82.0,26.0,119.0,0.0,1.0,18.0,0.0,422.0,19.0,0.0,11.0,20.0,0.0,4.0,116.0,2.0,2.0,2.0,3.0,0.0,4.0,60.0,2.0,6.0,135.0,0.0,3.0,3.0,1.0,3.0,8.0,5.0,33.0,5.0,4.0,1.0,41.0,4.0,13.0,51.0,16.0,3.0,0.0,2.0,1.0,0.0,17.0,21.0,0.0,3.0,0.0,1.0,32.0,0.0,8.0,137.0,0.0,17.0,1.0,4.0,249.0,1.0,0.0,4.0,20.0,58.0,20.0,5.0,7.0,2.0,5.0,2.0,3.0,1.0,71.0,0.0,100.0,9.0,2.0,2.0,0.0,3.0,34.0,9.0
17,226702557.0,0.0,30.0,17.0,38.0,5.0,19.0,9.0,15.0,2.0,82.0,12.0,109.0,48.0,4.0,208.0,12.0,0.0,5.0,112.0,68.0,19.0,23.0,24.0,17.0,11.0,84.0,172.0,33.0,28.0,15.0,18.0,23.0,5.0,10.0,160.0,26.0,7.0,16.0,108.0,159.0,78.0,172.0,6.0,222.0,18.0,8.0,27.0,234.0,22.0,24.0,42.0,116.0,0.0,64.0,255.0,31.0,65.0,72.0,219.0,152.0,25.0,212.0,126.0,11.0,4.0,141.0,33.0,7.0,226.0,0.0,87.0,8.0,26.0,4.0,27.0,222.0,3.0,2.0,12.0,1.0,330.0,10.0,6.0,2.0,31.0,3.0,24.0,4.0,187.0,7.0,136.0,206.0,113.0,114.0,0.0,26.0,51.0,1.0,1.0,26.0,5.0,0.0,168.0,98.0,23.0
18,244071747.0,1.0,27.0,46.0,5.0,5.0,19.0,6.0,1.0,5.0,0.0,13.0,1.0,2.0,7.0,3.0,28.0,5.0,0.0,0.0,1.0,8.0,29.0,28.0,49.0,0.0,0.0,1.0,0.0,34.0,12.0,0.0,6.0,11.0,0.0,2.0,39.0,5.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,7.0,10.0,4.0,0.0,1.0,1.0,1.0,4.0,3.0,13.0,0.0,3.0,0.0,21.0,1.0,2.0,9.0,4.0,1.0,0.0,4.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,2.0,28.0,0.0,4.0,11.0,1.0,9.0,2.0,1.0,19.0,0.0,0.0,6.0,1.0,34.0,5.0,3.0,8.0,0.0,3.0,0.0,1.0,0.0,17.0,0.0,6.0,1.0,0.0,6.0,0.0,0.0,9.0,2.0
19,244511558.0,0.0,21.0,5.0,13.0,1.0,5.0,4.0,44.0,0.0,34.0,7.0,36.0,13.0,4.0,35.0,3.0,112.0,0.0,0.0,28.0,14.0,27.0,11.0,7.0,4.0,19.0,41.0,17.0,6.0,3.0,12.0,16.0,0.0,1.0,67.0,1.0,0.0,19.0,19.0,39.0,14.0,66.0,1.0,65.0,12.0,1.0,13.0,91.0,9.0,26.0,42.0,49.0,0.0,57.0,56.0,62.0,17.0,14.0,75.0,33.0,3.0,55.0,32.0,1.0,4.0,23.0,15.0,5.0,73.0,0.0,25.0,3.0,6.0,1.0,3.0,60.0,1.0,1.0,6.0,1.0,114.0,2.0,25.0,1.0,18.0,0.0,17.0,0.0,43.0,3.0,60.0,47.0,25.0,32.0,0.0,13.0,15.0,0.0,0.0,194.0,3.0,0.0,36.0,23.0,14.0
20,244679902.0,0.0,15.0,1.0,4.0,1.0,6.0,3.0,5.0,3.0,24.0,2.0,37.0,21.0,1.0,39.0,3.0,68.0,1.0,28.0,0.0,3.0,4.0,4.0,4.0,2.0,24.0,36.0,12.0,7.0,3.0,4.0,11.0,0.0,0.0,28.0,4.0,1.0,3.0,23.0,34.0,10.0,40.0,3.0,49.0,4.0,2.0,4.0,49.0,1.0,6.0,12.0,25.0,0.0,17.0,56.0,12.0,31.0,19.0,37.0,31.0,8.0,51.0,34.0,0.0,0.0,31.0,1.0,2.0,56.0,0.0,32.0,0.0,0.0,1.0,7.0,46.0,1.0,0.0,6.0,0.0,62.0,7.0,4.0,0.0,2.0,1.0,5.0,2.0,43.0,4.0,45.0,43.0,28.0,40.0,0.0,11.0,16.0,0.0,1.0,5.0,1.0,0.0,37.0,29.0,9.0
21,246003191.0,2.0,24.0,13.0,13.0,2.0,19.0,5.0,7.0,4.0,3.0,18.0,0.0,6.0,6.0,1.0,20.0,19.0,8.0,14.0,3.0,0.0,70.0,24.0,43.0,0.0,0.0,18.0,1.0,20.0,13.0,3.0,12.0,10.0,2.0,1.0,24.0,0.0,29.0,1.0,2.0,2.0,2.0,8.0,1.0,10.0,9.0,7.0,3.0,6.0,11.0,12.0,9.0,2.0,26.0,4.0,2.0,0.0,5.0,7.0,4.0,11.0,9.0,3.0,1.0,6.0,0.0,14.0,1.0,12.0,2.0,3.0,9.0,4.0,23.0,0.0,2.0,5.0,2.0,14.0,0.0,4.0,19.0,1.0,1.0,8.0,2.0,53.0,4.0,4.0,5.0,1.0,8.0,2.0,5.0,0.0,21.0,1.0,4.0,0.0,22.0,3.0,1.0,1.0,10.0,9.0
