,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
10,63579041.0,8.0,4.0,6.0,2.0,3.0,3.0,2.0,4.0,31.0,0.0,0.0,5.0,0.0,5.0,5.0,1.0,1.0,21.0,6.0,3.0,0.0,19.0,0.0,1.0,30.0,5.0,1.0,0.0,3.0,33.0,6.0,17.0,13.0,7.0,1.0,0.0,0.0,5.0,0.0,4.0,5.0,1.0,0.0,12.0,17.0,2.0,26.0,0.0,12.0,0.0,0.0,14.0,0.0
11,73027585.0,3.0,12.0,20.0,5.0,4.0,8.0,1.0,4.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,7.0,1.0,9.0,0.0,0.0,1.0,5.0,3.0,20.0,8.0,13.0,16.0,5.0,1.0,2.0,6.0,0.0,6.0,7.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,13.0,2.0,0.0,14.0,1.0,0.0,0.0,1.0
12,78787098.0,90.0,211.0,20.0,48.0,12.0,176.0,59.0,201.0,72.0,5.0,2.0,0.0,2.0,6.0,2.0,40.0,44.0,34.0,20.0,89.0,17.0,46.0,2.0,5.0,24.0,20.0,107.0,18.0,169.0,73.0,52.0,46.0,11.0,18.0,54.0,0.0,9.0,55.0,0.0,19.0,153.0,0.0,1.0,45.0,11.0,42.0,21.0,1.0,22.0,1.0,0.0,8.0,6.0
13,85657389.0,8.0,3.0,1.0,3.0,0.0,1.0,7.0,15.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,18.0,0.0,2.0,6.0,16.0,13.0,0.0,0.0,2.0,0.0,2.0,5.0,5.0,5.0,1.0,2.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,42.0,0.0,37.0,0.0,0.0,0.0,3.0,4.0
14,91172895.0,3.0,9.0,11.0,2.0,5.0,9.0,2.0,3.0,24.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,4.0,5.0,0.0,9.0,0.0,1.0,5.0,5.0,1.0,2.0,7.0,20.0,17.0,4.0,3.0,3.0,5.0,0.0,1.0,9.0,0.0,1.0,7.0,0.0,0.0,4.0,8.0,4.0,11.0,0.0,8.0,0.0,0.0,7.0,2.0
15,101710782.0,4.0,5.0,6.0,0.0,3.0,5.0,1.0,1.0,10.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,7.0,5.0,0.0,10.0,0.0,2.0,6.0,2.0,1.0,0.0,4.0,12.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,3.0,0.0
16,115773894.0,53.0,43.0,5.0,13.0,2.0,27.0,43.0,40.0,32.0,1.0,1.0,40.0,15.0,0.0,0.0,0.0,43.0,0.0,3.0,39.0,61.0,44.0,0.0,0.0,20.0,1.0,24.0,19.0,8.0,35.0,1.0,11.0,2.0,16.0,19.0,0.0,0.0,1.0,0.0,3.0,66.0,0.0,1.0,27.0,10.0,54.0,7.0,12.0,0.0,0.0,0.0,9.0,8.0
17,117482917.0,68.0,100.0,10.0,25.0,4.0,51.0,39.0,44.0,34.0,1.0,1.0,44.0,18.0,1.0,0.0,43.0,0.0,3.0,3.0,95.0,36.0,13.0,0.0,2.0,9.0,4.0,29.0,12.0,25.0,27.0,18.0,14.0,1.0,12.0,53.0,0.0,3.0,10.0,0.0,5.0,90.0,0.0,2.0,13.0,10.0,52.0,5.0,4.0,3.0,0.0,0.0,9.0,39.0
18,124407978.0,13.0,72.0,33.0,10.0,35.0,69.0,22.0,37.0,83.0,21.0,3.0,34.0,0.0,10.0,12.0,0.0,3.0,0.0,68.0,38.0,1.0,89.0,0.0,4.0,38.0,32.0,15.0,3.0,70.0,124.0,93.0,50.0,51.0,29.0,15.0,0.0,10.0,68.0,0.0,35.0,50.0,2.0,0.0,33.0,26.0,8.0,111.0,1.0,108.0,3.0,0.0,26.0,5.0
19,230844017.0,25.0,61.0,34.0,7.0,19.0,79.0,28.0,67.0,50.0,6.0,10.0,20.0,2.0,4.0,7.0,3.0,3.0,68.0,0.0,14.0,1.0,71.0,1.0,6.0,11.0,10.0,32.0,21.0,84.0,53.0,87.0,26.0,27.0,15.0,10.0,0.0,3.0,44.0,0.0,25.0,23.0,1.0,1.0,20.0,10.0,18.0,34.0,1.0,102.0,1.0,0.0,8.0,0.0
