,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
10,30368137.0,0.0,36.0,142.0,38.0,54.0,21.0,25.0,84.0,5.0,0.0,2.0,6.0,0.0,5.0,2.0,0.0,1.0,4.0,13.0,10.0,29.0,4.0,2.0,28.0,6.0,1.0,131.0,0.0,2.0,4.0,56.0,0.0,20.0,1.0,4.0,1.0,0.0,1.0,64.0,10.0,1.0,2.0,33.0,10.0,0.0,6.0,13.0,1.0,0.0,38.0,24.0,1.0,0.0,1.0,35.0,37.0,2.0,1.0,6.0,11.0,29.0,1.0,69.0,22.0,6.0,21.0,0.0,0.0,1.0,8.0,59.0,0.0,40.0,1.0,25.0,10.0,1.0,3.0,26.0,26.0,1.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,25.0,22.0,1.0,3.0,0.0,2.0,2.0,28.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,17.0,60.0,0.0,2.0,1.0
11,39953073.0,0.0,0.0,14.0,6.0,2.0,2.0,1.0,12.0,0.0,2.0,0.0,3.0,4.0,0.0,2.0,2.0,11.0,4.0,5.0,11.0,10.0,2.0,2.0,1.0,9.0,11.0,5.0,108.0,0.0,0.0,12.0,0.0,1.0,12.0,10.0,3.0,9.0,1.0,9.0,0.0,0.0,10.0,13.0,3.0,0.0,20.0,1.0,6.0,1.0,5.0,35.0,1.0,0.0,50.0,14.0,6.0,0.0,0.0,2.0,51.0,4.0,6.0,0.0,5.0,9.0,115.0,89.0,0.0,12.0,25.0,5.0,33.0,6.0,2.0,12.0,2.0,0.0,0.0,6.0,13.0,93.0,10.0,1.0,0.0,3.0,1.0,3.0,0.0,7.0,60.0,0.0,4.0,8.0,12.0,1.0,21.0,23.0,1.0,56.0,0.0,2.0,0.0,5.0,2.0,0.0,4.0,18.0,5.0,10.0,0.0,1.0,0.0,2.0
12,49928644.0,0.0,10.0,49.0,27.0,4.0,7.0,5.0,19.0,2.0,6.0,3.0,0.0,0.0,2.0,2.0,2.0,14.0,7.0,4.0,4.0,19.0,1.0,26.0,5.0,2.0,5.0,14.0,9.0,1.0,5.0,30.0,2.0,4.0,22.0,11.0,0.0,5.0,0.0,8.0,5.0,3.0,5.0,18.0,5.0,0.0,8.0,0.0,2.0,1.0,1.0,15.0,0.0,0.0,1.0,12.0,6.0,0.0,0.0,4.0,12.0,20.0,5.0,0.0,6.0,9.0,11.0,1.0,0.0,5.0,11.0,7.0,3.0,6.0,2.0,9.0,0.0,0.0,0.0,2.0,22.0,8.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,6.0,27.0,6.0,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,13.0,25.0,1.0,2.0,12.0,2.0,12.0,7.0,1.0,0.0,1.0
13,52094731.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,0.0,4.0,2.0,0.0,7.0,0.0,10.0,14.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,10.0,1.0,0.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,1.0,4.0,0.0,5.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,1.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,3.0,0.0,2.0,0.0,2.0
14,52725453.0,0.0,2.0,17.0,9.0,5.0,2.0,1.0,21.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,16.0,0.0,5.0,4.0,4.0,1.0,19.0,4.0,7.0,2.0,22.0,2.0,7.0,21.0,5.0,6.0,1.0,0.0,12.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,14.0,5.0,0.0,13.0,8.0,0.0,0.0,0.0,20.0,26.0,0.0,0.0,3.0,0.0,24.0,9.0,2.0,6.0,3.0,3.0,0.0,0.0,2.0,9.0,17.0,0.0,9.0,1.0,1.0,4.0,0.0,5.0,2.0,23.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,7.0,0.0,11.0,4.0,2.0,1.0,0.0
15,55312746.0,0.0,4.0,53.0,2.0,0.0,17.0,28.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,24.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,23.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,6.0,1.0,116.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
16,56655188.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0,5.0,12.0,0.0,2.0,1.0,0.0,8.0,0.0,12.0,3.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0,19.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,3.0,2.0,2.0,0.0,14.0,23.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,3.0,8.0,2.0,8.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,34.0,1.0,3.0,1.0,0.0,0.0,1.0
17,59089780.0,0.0,1.0,10.0,5.0,1.0,0.0,1.0,9.0,0.0,1.0,11.0,14.0,8.0,4.0,0.0,5.0,0.0,5.0,3.0,13.0,16.0,0.0,27.0,0.0,34.0,45.0,4.0,35.0,0.0,2.0,38.0,0.0,6.0,18.0,31.0,1.0,21.0,0.0,1.0,0.0,1.0,12.0,10.0,6.0,0.0,22.0,1.0,12.0,9.0,4.0,32.0,0.0,0.0,9.0,35.0,6.0,0.0,0.0,3.0,2.0,12.0,20.0,0.0,3.0,16.0,4.0,6.0,0.0,29.0,81.0,7.0,1.0,14.0,4.0,18.0,0.0,0.0,0.0,14.0,18.0,19.0,17.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,40.0,0.0,3.0,9.0,0.0,8.0,1.0,1.0,0.0,13.0,2.0,0.0,8.0,102.0,2.0,28.0,1.0,1.0,5.0,2.0
18,61501388.0,0.0,3.0,20.0,41.0,3.0,2.0,8.0,24.0,1.0,4.0,4.0,7.0,7.0,0.0,2.0,12.0,5.0,0.0,3.0,2.0,9.0,3.0,5.0,11.0,9.0,6.0,15.0,3.0,0.0,10.0,29.0,1.0,5.0,11.0,2.0,1.0,3.0,1.0,5.0,3.0,1.0,2.0,30.0,12.0,0.0,29.0,1.0,0.0,1.0,5.0,13.0,1.0,0.0,3.0,22.0,6.0,0.0,0.0,12.0,13.0,11.0,7.0,2.0,13.0,29.0,14.0,2.0,0.0,14.0,11.0,3.0,0.0,16.0,4.0,10.0,3.0,1.0,0.0,13.0,31.0,3.0,7.0,3.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0,1.0,15.0,9.0,4.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,12.0,19.0,0.0,0.0,6.0,3.0,10.0,4.0,0.0,0.0,5.0
19,62073342.0,0.0,6.0,24.0,16.0,5.0,2.0,1.0,20.0,0.0,13.0,5.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,9.0,14.0,2.0,3.0,5.0,15.0,2.0,22.0,3.0,1.0,10.0,20.0,1.0,7.0,8.0,4.0,4.0,8.0,0.0,6.0,0.0,0.0,0.0,13.0,5.0,0.0,9.0,2.0,4.0,1.0,9.0,21.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,3.0,7.0,11.0,5.0,3.0,12.0,19.0,16.0,0.0,0.0,5.0,5.0,15.0,0.0,27.0,1.0,23.0,2.0,0.0,0.0,11.0,11.0,1.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,4.0,0.0,12.0,4.0,0.0,3.0,4.0
