,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
10,22926126.0,26.0,0.0,38.0,12.0,1.0,0.0,44.0,12.0,2.0,0.0,0.0,1.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,18.0,4.0,0.0,15.0,1.0,0.0,16.0,0.0,4.0,3.0,3.0,43.0,0.0,5.0,29.0,11.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,5.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,23412516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,24892031.0,9.0,1.0,27.0,12.0,12.0,8.0,113.0,12.0,8.0,1.0,0.0,0.0,7.0,2.0,15.0,1.0,0.0,5.0,1.0,5.0,2.0,8.0,5.0,3.0,9.0,0.0,5.0,42.0,13.0,0.0,12.0,0.0,0.0,7.0,0.0,6.0,3.0,2.0,4.0,1.0,3.0,11.0,1.0,2.0,4.0,8.0,4.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0,8.0,9.0,3.0,8.0,2.0,0.0,12.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,0.0,8.0,1.0,5.0,3.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,27968690.0,245.0,3.0,298.0,178.0,29.0,3.0,295.0,83.0,37.0,32.0,0.0,7.0,0.0,11.0,47.0,3.0,0.0,12.0,2.0,7.0,0.0,53.0,33.0,5.0,7.0,0.0,27.0,32.0,64.0,7.0,43.0,3.0,0.0,18.0,0.0,18.0,90.0,6.0,135.0,16.0,12.0,38.0,6.0,5.0,67.0,115.0,15.0,5.0,12.0,9.0,6.0,16.0,0.0,3.0,50.0,30.0,14.0,77.0,14.0,0.0,120.0,150.0,4.0,0.0,17.0,2.0,5.0,4.0,55.0,0.0,3.0,29.0,54.0,27.0,1.0,3.0,4.0,11.0,36.0,13.0,10.0,1.0,19.0,12.0,20.0,30.0,1.0,13.0,9.0,23.0,19.0,77.0,2.0,0.0,1.0,8.0,3.0,3.0,3.0,0.0,1.0,0.0
14,28096651.0,6.0,2.0,26.0,28.0,11.0,1.0,24.0,9.0,12.0,0.0,0.0,2.0,11.0,0.0,19.0,0.0,0.0,3.0,0.0,10.0,0.0,22.0,15.0,0.0,4.0,0.0,12.0,15.0,21.0,10.0,17.0,0.0,1.0,7.0,0.0,4.0,4.0,4.0,4.0,4.0,7.0,17.0,1.0,2.0,10.0,19.0,6.0,0.0,0.0,1.0,4.0,8.0,0.0,1.0,20.0,23.0,6.0,17.0,2.0,0.0,22.0,9.0,0.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,5.0,4.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,2.0,6.0,5.0,20.0,0.0,12.0,5.0,3.0,9.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
15,32418585.0,34.0,3.0,72.0,66.0,21.0,5.0,67.0,26.0,8.0,3.0,0.0,15.0,47.0,19.0,0.0,2.0,0.0,7.0,0.0,8.0,0.0,35.0,31.0,2.0,8.0,0.0,15.0,42.0,34.0,7.0,38.0,1.0,0.0,20.0,0.0,16.0,21.0,4.0,30.0,9.0,14.0,29.0,3.0,5.0,19.0,23.0,16.0,10.0,13.0,2.0,8.0,9.0,0.0,4.0,29.0,35.0,13.0,20.0,5.0,0.0,62.0,50.0,0.0,0.0,5.0,3.0,4.0,2.0,26.0,0.0,6.0,17.0,26.0,9.0,2.0,1.0,3.0,8.0,24.0,8.0,5.0,1.0,17.0,9.0,18.0,18.0,1.0,19.0,10.0,18.0,7.0,41.0,2.0,2.0,0.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0
16,33530023.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,33608790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,39473395.0,10.0,0.0,21.0,14.0,7.0,2.0,10.0,9.0,8.0,0.0,0.0,5.0,12.0,3.0,7.0,1.0,0.0,0.0,1.0,5.0,1.0,10.0,11.0,1.0,4.0,0.0,7.0,3.0,16.0,4.0,6.0,1.0,0.0,3.0,0.0,7.0,4.0,1.0,5.0,1.0,4.0,10.0,0.0,2.0,9.0,14.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,15.0,13.0,4.0,9.0,1.0,0.0,14.0,11.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,9.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,5.0,0.0,9.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
19,41197792.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
