,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
22,55312035.0,206.0,30.0,6.0,186.0,0.0,53.0,36.0,13.0,3.0,0.0,1.0,15.0,3.0,37.0,8.0,1.0,8.0,38.0,32.0,0.0,49.0,0.0,2.0,9.0,2.0,16.0,1.0,133.0,28.0,0.0,54.0,2.0,91.0,100.0,2.0,5.0,12.0,117.0,7.0,0.0,6.0,0.0,146.0,68.0,1.0,10.0,40.0,94.0,22.0,3.0,143.0,43.0,15.0,13.0,8.0,0.0,9.0,3.0,10.0,0.0,54.0,6.0,5.0,19.0,12.0,7.0,14.0,3.0,5.0,33.0,5.0,1.0,5.0,1.0,4.0,6.0,4.0,15.0,23.0,9.0,1.0,37.0,0.0,0.0,21.0,3.0,62.0,22.0,1.0,0.0,2.0,35.0,38.0,38.0,3.0,0.0,28.0,7.0
23,69772862.0,7.0,26.0,0.0,19.0,0.0,5.0,5.0,2.0,0.0,10.0,0.0,24.0,8.0,12.0,2.0,28.0,3.0,7.0,0.0,0.0,29.0,2.0,0.0,1.0,0.0,7.0,0.0,7.0,1.0,0.0,6.0,0.0,4.0,25.0,1.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,10.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0
24,80155484.0,146.0,9.0,15.0,40.0,16.0,105.0,20.0,11.0,14.0,0.0,6.0,80.0,43.0,24.0,16.0,0.0,60.0,33.0,32.0,6.0,41.0,9.0,1.0,0.0,12.0,6.0,0.0,43.0,37.0,11.0,82.0,3.0,68.0,206.0,4.0,89.0,2.0,36.0,42.0,0.0,1.0,0.0,18.0,7.0,23.0,51.0,27.0,11.0,3.0,0.0,8.0,0.0,169.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,89.0,0.0,2.0,0.0,5.0,1.0,0.0,2.0,7.0,4.0,1.0,32.0,17.0,13.0,0.0,13.0,0.0,33.0,206.0,0.0,0.0,0.0,8.0,7.0,12.0,28.0,0.0,31.0,1.0
25,89222644.0,51.0,11.0,18.0,19.0,26.0,33.0,115.0,6.0,9.0,0.0,3.0,18.0,26.0,11.0,18.0,0.0,16.0,90.0,21.0,22.0,386.0,2.0,0.0,12.0,0.0,114.0,1.0,15.0,12.0,8.0,7.0,2.0,233.0,104.0,4.0,47.0,2.0,70.0,28.0,0.0,1.0,0.0,3.0,3.0,23.0,20.0,9.0,3.0,2.0,0.0,0.0,0.0,38.0,53.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,41.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,19.0,3.0,0.0,55.0,10.0,70.0,0.0,7.0,0.0,10.0,29.0,0.0,0.0,0.0,2.0,9.0,13.0,35.0,0.0,114.0,1.0
26,98730352.0,50.0,23.0,16.0,129.0,2.0,31.0,382.0,26.0,2.0,2.0,7.0,28.0,4.0,6.0,179.0,2.0,11.0,486.0,15.0,2.0,169.0,16.0,7.0,6.0,114.0,0.0,3.0,13.0,14.0,8.0,19.0,2.0,163.0,141.0,4.0,14.0,13.0,160.0,11.0,0.0,2.0,0.0,36.0,10.0,0.0,11.0,25.0,40.0,49.0,1.0,5.0,0.0,14.0,16.0,2.0,0.0,0.0,11.0,6.0,0.0,2.0,6.0,1.0,17.0,8.0,9.0,19.0,3.0,1.0,23.0,0.0,1.0,6.0,1.0,3.0,1.0,8.0,21.0,24.0,13.0,4.0,21.0,6.0,1.0,26.0,2.0,10.0,10.0,3.0,0.0,2.0,15.0,22.0,22.0,10.0,0.0,219.0,2.0
27,101824385.0,8.0,1.0,0.0,0.0,0.0,7.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
28,104771512.0,424.0,67.0,14.0,177.0,1.0,301.0,37.0,19.0,6.0,7.0,4.0,87.0,38.0,76.0,19.0,7.0,40.0,54.0,30.0,3.0,130.0,133.0,7.0,43.0,15.0,13.0,0.0,0.0,56.0,13.0,113.0,2.0,125.0,254.0,11.0,30.0,6.0,148.0,20.0,0.0,1.0,0.0,138.0,22.0,27.0,55.0,48.0,88.0,10.0,0.0,67.0,6.0,147.0,34.0,4.0,0.0,1.0,0.0,1.0,0.0,29.0,1.0,0.0,18.0,2.0,0.0,10.0,0.0,0.0,78.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,19.0,11.0,2.0,7.0,39.0,15.0,0.0,31.0,0.0,132.0,142.0,0.0,0.0,0.0,27.0,23.0,15.0,5.0,0.0,41.0,2.0
29,109179092.0,144.0,12.0,28.0,88.0,2.0,60.0,50.0,21.0,12.0,0.0,9.0,33.0,2.0,21.0,14.0,0.0,25.0,78.0,33.0,1.0,71.0,28.0,1.0,37.0,12.0,14.0,2.0,56.0,0.0,16.0,58.0,6.0,143.0,153.0,6.0,25.0,4.0,71.0,27.0,0.0,0.0,0.0,21.0,12.0,3.0,14.0,47.0,20.0,3.0,0.0,13.0,0.0,42.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,11.0,2.0,0.0,11.0,0.0,0.0,84.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,5.0,0.0,7.0,26.0,5.0,0.0,32.0,0.0,17.0,40.0,0.0,0.0,0.0,27.0,27.0,13.0,8.0,0.0,49.0,0.0
30,110202867.0,38.0,4.0,11.0,20.0,1.0,21.0,15.0,11.0,3.0,0.0,6.0,6.0,0.0,1.0,7.0,0.0,6.0,22.0,21.0,0.0,24.0,0.0,0.0,11.0,8.0,8.0,1.0,13.0,16.0,0.0,13.0,3.0,37.0,26.0,4.0,6.0,0.0,33.0,5.0,0.0,0.0,0.0,10.0,3.0,2.0,6.0,16.0,10.0,2.0,0.0,6.0,0.0,8.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,8.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,5.0,7.0,0.0,0.0,14.0,0.0,7.0,21.0,0.0,0.0,0.0,8.0,8.0,10.0,4.0,0.0,20.0,0.0
31,116644138.0,205.0,41.0,8.0,113.0,0.0,104.0,28.0,18.0,1.0,6.0,6.0,53.0,38.0,39.0,13.0,1.0,30.0,59.0,12.0,1.0,83.0,54.0,6.0,82.0,7.0,19.0,0.0,113.0,58.0,13.0,0.0,2.0,90.0,201.0,19.0,13.0,4.0,84.0,15.0,0.0,0.0,0.0,57.0,11.0,12.0,37.0,53.0,43.0,4.0,0.0,20.0,1.0,60.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,15.0,1.0,0.0,12.0,0.0,0.0,48.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,9.0,0.0,3.0,52.0,8.0,0.0,22.0,0.0,58.0,141.0,0.0,0.0,0.0,21.0,14.0,15.0,4.0,0.0,39.0,0.0
