,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,34240147.0,22.0,13.0,107.0,110.0,650.0,437.0,129.0,37.0,2.0,0.0,3.0,50.0,146.0,227.0,1.0,125.0,37.0,325.0,28.0,118.0,59.0,35.0,28.0,138.0,14.0,490.0,36.0,30.0,90.0,56.0,377.0,18.0,211.0,0.0,14.0,11.0,41.0,2.0,105.0,3.0,101.0,2.0,15.0,17.0,72.0,104.0,1.0,32.0,1.0,2.0,12.0,4.0,48.0,42.0,148.0,12.0,7.0,127.0,49.0,2.0,96.0,519.0,9.0,13.0,0.0
11,49052075.0,0.0,0.0,0.0,4.0,2.0,8.0,4.0,4.0,2.0,3.0,0.0,0.0,6.0,1.0,0.0,5.0,19.0,5.0,5.0,4.0,1.0,2.0,2.0,11.0,2.0,4.0,1.0,2.0,0.0,4.0,5.0,2.0,7.0,0.0,5.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
12,51008496.0,2.0,1.0,6.0,14.0,31.0,30.0,24.0,5.0,0.0,50.0,0.0,0.0,18.0,36.0,0.0,17.0,11.0,49.0,1.0,13.0,0.0,7.0,8.0,32.0,6.0,33.0,0.0,8.0,7.0,15.0,20.0,2.0,39.0,0.0,2.0,5.0,11.0,1.0,36.0,1.0,34.0,0.0,6.0,2.0,1.0,7.0,0.0,2.0,0.0,0.0,8.0,0.0,9.0,0.0,5.0,0.0,1.0,10.0,14.0,1.0,18.0,56.0,5.0,2.0,0.0
13,52696957.0,28.0,15.0,42.0,80.0,141.0,229.0,54.0,39.0,4.0,146.0,6.0,18.0,0.0,59.0,3.0,140.0,76.0,111.0,54.0,156.0,52.0,14.0,18.0,106.0,41.0,112.0,30.0,34.0,53.0,34.0,276.0,19.0,202.0,1.0,34.0,12.0,42.0,1.0,27.0,4.0,25.0,17.0,4.0,71.0,17.0,47.0,2.0,9.0,1.0,1.0,7.0,0.0,49.0,3.0,93.0,5.0,20.0,96.0,78.0,1.0,54.0,81.0,4.0,8.0,0.0
14,57811254.0,19.0,2.0,30.0,54.0,294.0,105.0,55.0,20.0,1.0,227.0,1.0,36.0,59.0,0.0,0.0,60.0,16.0,124.0,8.0,56.0,12.0,13.0,21.0,67.0,10.0,102.0,13.0,26.0,29.0,23.0,132.0,7.0,115.0,0.0,6.0,7.0,15.0,0.0,50.0,0.0,46.0,0.0,7.0,7.0,6.0,22.0,0.0,3.0,0.0,1.0,7.0,0.0,16.0,4.0,22.0,0.0,5.0,46.0,25.0,1.0,37.0,164.0,5.0,7.0,0.0
15,58430383.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
16,73525922.0,23.0,3.0,71.0,71.0,198.0,206.0,34.0,19.0,3.0,125.0,5.0,17.0,140.0,60.0,1.0,0.0,41.0,58.0,10.0,35.0,18.0,12.0,14.0,55.0,18.0,41.0,9.0,13.0,28.0,35.0,156.0,6.0,87.0,0.0,22.0,11.0,19.0,2.0,32.0,2.0,28.0,399.0,3.0,44.0,13.0,21.0,0.0,8.0,0.0,0.0,3.0,0.0,17.0,2.0,51.0,1.0,28.0,59.0,45.0,0.0,31.0,71.0,4.0,9.0,0.0
17,78874298.0,23.0,7.0,12.0,35.0,39.0,65.0,19.0,23.0,3.0,37.0,19.0,11.0,76.0,16.0,0.0,41.0,0.0,38.0,40.0,43.0,19.0,1.0,13.0,61.0,18.0,23.0,8.0,16.0,14.0,16.0,59.0,18.0,59.0,1.0,20.0,11.0,18.0,1.0,12.0,3.0,8.0,1.0,1.0,15.0,3.0,21.0,1.0,4.0,2.0,1.0,9.0,0.0,15.0,3.0,37.0,1.0,9.0,35.0,31.0,2.0,21.0,27.0,2.0,4.0,0.0
18,97534492.0,42.0,7.0,67.0,90.0,185.0,172.0,128.0,47.0,4.0,325.0,5.0,49.0,111.0,124.0,2.0,58.0,38.0,0.0,37.0,94.0,27.0,25.0,25.0,99.0,31.0,158.0,23.0,31.0,78.0,35.0,182.0,26.0,166.0,1.0,28.0,19.0,38.0,1.0,67.0,10.0,66.0,1.0,10.0,17.0,27.0,69.0,1.0,10.0,0.0,1.0,13.0,1.0,42.0,4.0,45.0,2.0,20.0,76.0,60.0,1.0,72.0,203.0,12.0,12.0,0.0
19,180261346.0,30.0,39.0,6.0,31.0,23.0,47.0,22.0,41.0,1.0,28.0,5.0,1.0,54.0,8.0,1.0,10.0,40.0,37.0,0.0,38.0,23.0,3.0,10.0,46.0,22.0,21.0,12.0,11.0,12.0,10.0,56.0,6.0,67.0,2.0,49.0,16.0,13.0,3.0,4.0,6.0,7.0,0.0,0.0,33.0,2.0,15.0,3.0,12.0,2.0,0.0,7.0,0.0,11.0,2.0,167.0,8.0,6.0,80.0,46.0,0.0,16.0,11.0,7.0,2.0,0.0
20,194008664.0,15.0,7.0,29.0,62.0,98.0,110.0,65.0,34.0,4.0,118.0,4.0,13.0,156.0,56.0,0.0,35.0,43.0,94.0,38.0,0.0,41.0,6.0,20.0,67.0,15.0,75.0,20.0,21.0,38.0,23.0,124.0,19.0,95.0,1.0,20.0,12.0,28.0,0.0,25.0,3.0,17.0,1.0,3.0,16.0,11.0,42.0,1.0,2.0,0.0,1.0,9.0,1.0,28.0,2.0,44.0,3.0,11.0,98.0,47.0,0.0,31.0,72.0,4.0,4.0,0.0
21,194920096.0,7.0,12.0,17.0,23.0,32.0,43.0,16.0,18.0,4.0,59.0,1.0,0.0,52.0,12.0,1.0,18.0,19.0,27.0,23.0,41.0,0.0,2.0,9.0,13.0,8.0,41.0,8.0,11.0,14.0,8.0,73.0,12.0,37.0,10.0,74.0,2.0,23.0,3.0,5.0,2.0,15.0,0.0,0.0,15.0,25.0,21.0,10.0,10.0,6.0,0.0,4.0,11.0,19.0,4.0,49.0,1.0,9.0,56.0,39.0,0.0,23.0,18.0,5.0,3.0,0.0
