,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
10,162151197.0,4.0,0.0,21.0,1.0,48.0,14.0,17.0,13.0,42.0,0.0,2.0,0.0,5.0,5.0,75.0,0.0,41.0,8.0,28.0,38.0,2.0,71.0,34.0,59.0,8.0,1.0,0.0,0.0,12.0,29.0,0.0,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,8.0,16.0,26.0,2.0,0.0,14.0,0.0,49.0,0.0,28.0,3.0,4.0,8.0,2.0,7.0,0.0,17.0,13.0,0.0,14.0,6.0,0.0,4.0,47.0,1.0,1.0
11,195061906.0,3.0,0.0,2.0,0.0,3.0,0.0,5.0,7.0,2.0,2.0,0.0,0.0,3.0,0.0,9.0,0.0,1.0,1.0,3.0,1.0,3.0,12.0,0.0,5.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,1.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,2.0,28.0,0.0,0.0
12,202667966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,210824047.0,3.0,2.0,86.0,5.0,24.0,4.0,74.0,4.0,62.0,5.0,3.0,0.0,0.0,2.0,9.0,0.0,8.0,13.0,33.0,31.0,1.0,42.0,32.0,49.0,19.0,20.0,0.0,0.0,5.0,53.0,0.0,21.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,0.0,3.0,0.0,68.0,6.0,0.0,22.0,0.0,72.0,0.0,27.0,0.0,40.0,21.0,23.0,0.0,0.0,37.0,3.0,0.0,5.0,1.0,0.0,28.0,23.0,6.0,20.0
14,212895664.0,4.0,0.0,13.0,5.0,5.0,12.0,14.0,6.0,4.0,5.0,0.0,0.0,2.0,0.0,25.0,0.0,12.0,6.0,10.0,19.0,3.0,8.0,9.0,7.0,7.0,2.0,0.0,0.0,4.0,14.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,10.0,1.0,0.0,12.0,0.0,12.0,0.0,9.0,2.0,5.0,2.0,1.0,0.0,0.0,5.0,6.0,0.0,48.0,0.0,0.0,6.0,17.0,0.0,2.0
15,241314646.0,32.0,1.0,73.0,31.0,53.0,18.0,40.0,49.0,50.0,75.0,9.0,0.0,9.0,25.0,0.0,1.0,51.0,35.0,37.0,48.0,2.0,70.0,62.0,77.0,10.0,4.0,0.0,0.0,21.0,52.0,0.0,30.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,15.0,35.0,21.0,96.0,43.0,10.0,8.0,35.0,0.0,59.0,0.0,38.0,29.0,34.0,6.0,2.0,88.0,0.0,25.0,145.0,1.0,55.0,3.0,0.0,7.0,70.0,1.0,3.0
16,243368411.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,243536865.0,6.0,3.0,23.0,2.0,75.0,25.0,19.0,19.0,57.0,41.0,1.0,0.0,8.0,12.0,51.0,2.0,0.0,13.0,24.0,41.0,2.0,78.0,56.0,77.0,8.0,1.0,1.0,0.0,23.0,47.0,0.0,29.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,14.0,2.0,50.0,7.0,0.0,25.0,0.0,51.0,0.0,25.0,1.0,7.0,6.0,3.0,1.0,0.0,13.0,5.0,0.0,32.0,1.0,0.0,6.0,55.0,0.0,2.0
18,250100275.0,7.0,2.0,36.0,15.0,27.0,6.0,35.0,10.0,21.0,8.0,1.0,0.0,13.0,6.0,35.0,1.0,13.0,0.0,19.0,28.0,4.0,24.0,36.0,34.0,14.0,6.0,1.0,0.0,11.0,35.0,0.0,21.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,15.0,2.0,28.0,4.0,2.0,40.0,0.0,35.0,0.0,26.0,4.0,20.0,9.0,1.0,0.0,0.0,14.0,7.0,0.0,11.0,2.0,0.0,9.0,38.0,1.0,7.0
19,254828321.0,8.0,2.0,97.0,8.0,61.0,24.0,105.0,17.0,92.0,28.0,3.0,0.0,33.0,10.0,37.0,2.0,24.0,19.0,0.0,82.0,3.0,114.0,50.0,108.0,34.0,24.0,0.0,0.0,30.0,106.0,0.0,45.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,1.0,2.0,11.0,6.0,112.0,23.0,1.0,49.0,1.0,107.0,0.0,55.0,2.0,57.0,38.0,23.0,2.0,0.0,42.0,7.0,1.0,21.0,6.0,0.0,36.0,65.0,1.0,24.0
